beat,position,pitch,duration,program
0,0,78,7,40
0,8,76,1,40
0,9,74,1,40
0,10,73,2,40
1,0,71,3,40
1,3,78,1,40
1,4,71,2,40
1,6,71,3,40
1,9,78,1,40
1,10,71,2,40
2,0,71,3,40
2,3,70,3,40
2,8,71,1,40
2,9,73,1,40
2,10,74,2,40
3,0,76,3,40
3,3,79,1,40
3,4,76,2,40
3,6,76,3,40
3,9,79,1,40
3,10,76,2,40
4,0,76,3,40
4,3,74,3,40
4,8,76,1,40
4,9,78,1,40
4,10,79,2,40
5,0,81,3,40
5,3,75,1,40
5,4,81,2,40
5,6,81,3,40
5,9,71,1,40
5,10,81,2,40
6,0,81,3,40
6,3,79,1,40
6,4,76,2,40
6,6,72,9,40
7,3,71,1,40
7,4,69,2,40
7,6,77,7,40
8,2,78,1,40
8,3,74,1,40
8,4,76,2,40
8,6,73,6,40
9,0,71,6,40
9,6,74,9,40
10,3,76,1,40
10,4,73,2,40
10,6,69,3,40
10,9,81,1,40
10,10,79,2,40
11,0,78,15,40
12,3,80,1,40
12,4,81,2,40
12,6,80,4,40
12,10,78,2,40
13,0,77,1,40
13,2,75,1,40
13,3,73,3,40
13,6,78,9,40
14,3,79,1,40
14,4,81,2,40
14,6,75,3,40
14,9,76,1,40
14,10,78,2,40
15,0,71,6,40
15,6,79,9,40
16,3,78,1,40
16,4,76,2,40
16,6,81,7,40
17,2,83,1,40
17,3,79,1,40
17,4,81,2,40
17,6,78,6,40
18,0,76,7,40
18,8,79,1,40
18,9,73,1,40
18,10,79,2,40
19,0,78,1,40
19,2,74,1,40
19,3,69,1,40
19,4,74,2,40
19,6,73,4,40
19,10,74,2,40
20,0,74,7,40
20,8,76,1,40
20,9,78,1,40
20,10,70,2,40
21,0,71,3,40
21,3,79,1,40
21,4,78,2,40
21,6,76,1,40
21,8,74,1,40
21,9,73,1,40
21,10,74,0,40
21,10,76,1,40
21,11,78,1,40
22,0,70,6,40
22,9,78,1,40
22,10,71,2,40
23,0,71,3,40
23,3,78,1,40
23,4,71,2,40
23,6,71,3,40
23,9,78,1,40
23,10,71,2,40
24,0,71,1,40
24,2,70,1,40
24,3,71,3,40
24,9,79,1,40
24,10,73,2,40
25,0,73,3,40
25,3,79,1,40
25,4,73,2,40
25,6,73,3,40
25,9,74,3,40
26,0,76,7,40
26,8,76,1,40
26,9,78,1,40
26,10,79,2,40
27,0,78,3,40
27,3,76,1,40
27,4,74,2,40
27,6,73,6,40
28,0,71,6,40
28,9,78,1,40
28,10,71,2,40
29,0,71,9,40
29,9,79,1,40
29,10,72,5,40
30,3,71,1,40
30,4,70,2,40
30,6,71,7,40
31,2,78,1,40
31,3,76,1,40
31,4,74,2,40
31,6,73,6,40
32,0,71,24,40
34,3,83,3,40
34,6,71,3,40
34,9,79,3,40
35,0,70,3,40
35,3,78,3,40
35,6,76,3,40
35,9,82,3,40
36,0,83,3,40
36,3,78,1,40
36,4,71,2,40
36,6,76,7,40
37,2,78,1,40
37,3,74,1,40
37,4,76,2,40
37,6,73,6,40
38,0,71,1,40
38,2,74,1,40
38,3,73,1,40
38,4,74,2,40
38,6,71,1,40
38,8,73,1,40
38,9,74,1,40
38,10,76,2,40
39,0,78,1,40
39,2,76,1,40
39,3,78,1,40
39,4,80,2,40
39,6,81,1,40
39,8,80,1,40
39,9,81,1,40
39,10,78,2,40
40,0,80,1,40
40,2,78,1,40
40,3,80,1,40
40,4,81,2,40
40,6,83,1,40
40,8,81,1,40
40,9,83,1,40
40,10,80,2,40
41,0,81,1,40
41,2,80,1,40
41,3,81,1,40
41,4,83,2,40
41,6,80,1,40
41,8,81,1,40
41,9,78,1,40
41,10,80,2,40
42,0,77,3,40
42,3,78,6,40
42,9,77,3,40
43,0,78,1,40
43,2,78,1,40
43,3,76,1,40
43,4,78,2,40
43,6,71,1,40
43,8,83,1,40
43,9,81,1,40
43,10,83,2,40
44,0,79,1,40
44,2,76,1,40
44,3,74,1,40
44,4,76,2,40
44,6,73,1,40
44,8,81,1,40
44,9,79,1,40
44,10,81,2,40
45,0,78,1,40
