beat,position,pitch,duration,program
0,0,47,6,6
0,6,47,3,6
0,9,49,3,6
1,0,50,6,6
1,6,50,3,6
1,9,52,3,6
2,0,54,3,6
2,3,54,3,6
2,6,52,3,6
2,9,50,3,6
3,0,49,6,6
3,6,46,6,6
4,0,47,3,6
4,3,59,3,6
4,6,57,3,6
4,9,55,3,6
5,0,54,6,6
5,6,51,6,6
6,0,52,6,6
6,6,52,3,6
6,9,54,3,6
7,0,55,9,6
7,9,56,3,6
8,0,46,3,6
8,3,47,3,6
8,6,54,3,6
8,9,42,3,6
9,0,47,3,6
9,3,59,3,6
9,6,54,3,6
9,9,59,3,6
10,0,55,3,6
10,3,52,3,6
10,6,49,3,6
10,9,45,3,6
11,0,50,3,6
11,3,49,3,6
11,6,50,3,6
11,9,45,3,6
12,0,47,6,6
12,6,48,6,6
13,0,49,3,6
13,3,61,3,6
13,6,57,3,6
13,9,54,3,6
14,0,51,6,6
14,6,47,3,6
14,9,45,3,6
15,0,43,3,6
15,3,42,3,6
15,6,40,3,6
15,9,47,3,6
16,0,48,6,6
16,9,60,3,6
17,0,51,3,6
17,3,52,3,6
17,6,59,3,6
17,9,47,3,6
18,0,52,3,6
18,3,52,3,6
18,6,49,3,6
18,9,45,3,6
19,0,50,3,6
19,3,54,1,6
19,4,55,2,6
19,6,57,3,6
19,9,45,3,6
20,0,50,3,6
20,3,52,3,6
20,6,54,3,6
20,9,42,3,6
21,0,43,6,6
21,9,52,3,6
22,0,54,3,6
22,3,54,1,6
22,4,52,2,6
22,6,50,3,6
22,9,47,3,6
23,0,52,3,6
23,3,50,3,6
23,6,52,3,6
23,9,54,3,6
24,0,55,3,6
24,3,55,1,6
24,4,54,2,6
24,6,55,3,6
24,9,52,3,6
25,0,40,3,6
25,3,52,3,6
25,6,52,3,6
25,9,50,3,6
26,0,49,3,6
26,3,50,3,6
26,6,49,3,6
26,9,47,3,6
27,0,46,3,6
27,3,47,3,6
27,6,54,3,6
27,9,42,3,6
28,0,47,3,6
28,3,59,3,6
28,6,47,6,6
29,3,59,3,6
29,6,50,3,6
29,9,52,3,6
30,0,52,3,6
30,3,54,3,6
30,6,55,3,6
30,9,55,3,6
31,0,50,3,6
31,3,52,3,6
31,6,54,3,6
31,9,42,3,6
32,0,47,24,6
39,3,54,3,6
39,6,42,3,6
39,9,50,3,6
40,0,41,3,6
40,3,49,3,6
40,6,44,3,6
40,9,53,3,6
41,0,54,3,6
41,3,49,1,6
41,4,42,2,6
41,6,47,7,6
42,2,49,1,6
42,3,45,1,6
42,4,47,2,6
42,6,44,6,6
43,0,42,6,6
43,8,50,1,6
43,9,49,1,6
43,10,50,2,6
44,0,52,6,6
44,8,49,1,6
44,9,47,1,6
44,10,49,2,6
45,0,50,6,6
45,8,47,1,6
45,9,45,1,6
45,10,47,2,6
46,0,49,6,6
46,8,46,1,6
46,9,44,1,6
46,10,46,2,6
47,0,47,1,6
47,2,46,1,6
47,3,47,1,6
47,4,49,2,6
47,6,50,1,6
47,8,49,1,6
47,9,47,1,6
47,10,50,2,6
48,0,49,1,6
48,2,47,1,6
48,3,49,1,6
48,4,50,2,6
48,6,52,1,6
48,8,50,1,6
48,9,49,1,6
48,10,52,2,6
49,0,50,1,6
49,2,49,1,6
49,3,50,1,6
49,4,52,2,6
49,6,49,1,6
49,8,50,1,6
49,9,47,1,6
49,10,49,2,6
50,0,46,3,6
50,3,47,6,6
50,9,46,3,6
51,0,47,3,6
51,3,59,3,6
51,6,58,3,6
51,9,54,3,6
52,0,59,3,6
52,3,50,3,6
52,6,49,3,6
52,9,45,3,6
53,0,50,3,6
53,3,49,3,6
53,6,47,3,6
53,9,49,3,6
54,0,45,3,6
54,3,50,3,6
54,6,55,3,6
54,9,43,3,6
55,0,45,3,6
55,3,42,3,6
55,6,43,3,6
55,9,45,3,6
56,0,50,3,6
56,3,62,3,6
56,6,50,3,6
56,9,59,3,6
57,0,49,3,6
57,3,57,3,6
57,6,52,3,6
57,9,61,3,6
58,0,62,3,6
58,3,57,1,6
58,4,50,2,6
58,6,55,7,6
59,2,57,1,6
59,3,54,1,6
59,4,55,2,6
59,6,52,6,6
60,0,50,6,6
60,6,59,6,6
61,0,61,3,6
61,3,57,3,6
61,6,59,3,6
61,9,61,3,6
62,0,54,1,6
62,2,53,1,6
62,3,54,1,6
62,4,56,2,6
62,6,57,1,6
62,8,56,1,6
62,9,54,1,6
62,10,57,2,6
63,0,56,1,6
63,2,54,1,6
63,3,56,1,6
63,4,57,2,6
63,6,59,1,6
63,8,57,1,6
63,9,56,1,6
63,10,59,2,6
64,0,57,1,6
64,2,56,1,6
64,3,57,1,6
64,4,59,2,6
64,6,56,1,6
64,8,57,1,6
64,9,54,1,6
64,10,56,2,6
65,0,53,3,6
65,3,54,6,6
65,9,53,3,6
66,0,54,6,6
66,8,50,1,6
