beat,position,pitch,duration,program
0,0,43,6,6
0,9,55,3,6
1,0,54,2,6
1,2,55,1,6
1,3,57,1,6
1,4,55,2,6
1,6,54,3,6
1,9,53,3,6
2,0,52,2,6
2,2,53,1,6
2,3,55,1,6
2,4,53,2,6
2,6,52,3,6
2,9,51,3,6
3,0,50,3,6
3,3,55,6,6
3,9,54,3,6
4,0,55,2,6
4,2,50,1,6
4,3,52,1,6
4,4,54,2,6
4,6,55,2,6
4,8,57,1,6
4,9,58,1,6
4,10,55,2,6
5,0,57,2,6
5,2,55,1,6
5,3,53,1,6
5,4,52,2,6
5,6,50,2,6
5,8,60,1,6
5,9,58,1,6
5,10,57,2,6
6,0,55,2,6
6,2,53,1,6
6,3,51,1,6
6,4,50,2,6
6,6,48,2,6
6,8,58,1,6
6,9,57,1,6
6,10,55,2,6
7,0,62,2,6
7,2,60,1,6
7,3,58,1,6
7,4,62,2,6
7,6,60,2,6
7,8,58,1,6
7,9,57,1,6
7,10,60,2,6
8,0,58,2,6
8,2,57,1,6
8,3,55,1,6
8,4,57,2,6
8,6,58,2,6
8,8,60,1,6
8,9,62,1,6
8,10,58,2,6
9,0,60,3,6
9,3,51,3,6
9,6,53,3,6
9,9,41,3,6
10,0,46,3,6
10,3,58,3,6
10,6,57,3,6
10,9,62,3,6
11,0,58,3,6
11,3,55,3,6
11,6,57,3,6
11,9,45,3,6
12,0,38,2,6
12,2,45,1,6
12,3,47,1,6
12,4,49,2,6
12,6,50,2,6
12,8,52,1,6
12,9,53,1,6
12,10,50,2,6
13,0,52,2,6
13,2,50,1,6
13,3,49,1,6
13,4,47,2,6
13,6,45,2,6
13,8,55,1,6
13,9,53,1,6
13,10,52,2,6
14,0,50,2,6
14,2,48,1,6
14,3,47,1,6
14,4,45,2,6
14,6,43,2,6
14,8,53,1,6
14,9,52,1,6
14,10,50,2,6
15,0,57,2,6
15,2,55,1,6
15,3,53,1,6
15,4,57,2,6
15,6,55,2,6
15,8,53,1,6
15,9,52,1,6
15,10,55,2,6
16,0,53,2,6
16,2,52,1,6
16,3,50,1,6
16,4,53,2,6
16,6,52,2,6
16,8,50,1,6
16,9,49,1,6
16,10,52,2,6
17,0,50,2,6
17,2,52,1,6
17,3,53,1,6
17,4,50,2,6
17,6,55,2,6
17,8,57,1,6
17,9,58,1,6
17,10,55,2,6
18,0,61,2,6
18,2,57,1,6
18,3,59,1,6
18,4,61,2,6
18,6,62,2,6
18,8,53,1,6
18,9,55,1,6
18,10,57,2,6
19,0,58,2,6
19,2,52,1,6
19,3,53,1,6
19,4,55,2,6
19,6,57,3,6
19,9,45,3,6
20,0,50,6,6
20,8,50,1,6
20,9,52,1,6
20,10,53,2,6
21,0,55,2,6
21,2,57,1,6
21,3,58,1,6
21,4,55,2,6
21,6,60,3,6
21,9,48,3,6
22,0,53,3,6
22,3,51,1,6
22,4,50,2,6
22,6,51,2,6
22,8,53,1,6
22,9,55,1,6
22,10,51,2,6
23,0,53,2,6
23,2,51,1,6
23,3,50,1,6
23,4,48,2,6
23,6,47,2,6
23,8,56,1,6
23,9,55,1,6
23,10,53,2,6
24,0,51,2,6
24,2,50,1,6
24,3,48,1,6
24,4,50,2,6
24,6,51,2,6
24,8,53,1,6
24,9,55,1,6
24,10,56,2,6
25,0,47,3,6
25,3,43,3,6
25,9,43,3,6
26,0,44,2,6
26,2,43,1,6
26,3,41,1,6
26,4,43,2,6
26,6,44,3,6
26,9,45,3,6
27,0,46,2,6
27,2,45,1,6
27,3,43,1,6
27,4,45,2,6
27,6,46,3,6
27,9,47,3,6
28,0,48,2,6
28,2,43,1,6
28,3,45,1,6
28,4,47,2,6
28,6,48,2,6
28,8,50,1,6
28,9,51,1,6
28,10,48,2,6
29,0,50,2,6
29,2,48,1,6
29,3,47,1,6
29,4,45,2,6
29,6,43,2,6
29,8,53,1,6
29,9,51,1,6
29,10,50,2,6
30,0,48,2,6
30,2,46,1,6
30,3,44,1,6
30,4,43,2,6
30,6,41,2,6
30,8,39,1,6
30,9,41,1,6
30,10,43,2,6
31,0,36,2,6
31,2,50,1,6
31,3,51,1,6
31,4,53,2,6
31,6,55,2,6
31,8,56,1,6
31,9,58,1,6
31,10,55,2,6
32,0,56,2,6
32,2,55,1,6
32,3,53,1,6
32,4,51,2,6
32,6,50,2,6
32,8,60,1,6
32,9,58,1,6
32,10,56,2,6
33,0,55,2,6
33,2,53,1,6
33,3,55,1,6
33,4,57,2,6
33,6,58,2,6
33,8,60,1,6
33,9,62,1,6
33,10,58,2,6
34,0,60,2,6
34,2,58,1,6
34,3,57,1,6
34,4,55,2,6
34,6,54,2,6
34,8,63,1,6
34,9,62,1,6
34,10,60,2,6
35,0,58,8,6
35,8,60,1,6
35,9,62,1,6
35,10,63,2,6
36,0,54,2,6
36,2,55,1,6
36,3,57,1,6
36,4,55,2,6
36,6,54,3,6
36,9,53,3,6
37,0,52,2,6
37,2,53,1,6
37,3,55,1,6
37,4,53,2,6
37,6,52,3,6
37,9,51,3,6
38,0,50,3,6
38,3,55,6,6
38,9,54,3,6
39,0,50,3,6
39,3,58,6,6
39,9,57,3,6
40,0,50,3,6
40,3,62,6,6
40,9,60,5,6
41,2,63,1,6
41,3,62,1,6
41,4,60,2,6
41,6,58,2,6
41,8,57,1,6
41,9,55,1,6
41,10,58,2,6
42,0,51,8,6
42,8,50,1,6
42,9,48,1,6
42,10,51,2,6
43,0,45,3,6
43,3,50,6,6
43,9,48,3,6
44,0,46,3,6
44,3,45,1,6
44,4,43,2,6
44,6,50,3,6
44,9,38,3,6
45,0,43,12,6
