beat,position,pitch,duration,program
0,0,79,9,74
0,9,82,1,74
0,10,81,2,74
1,0,81,9,74
1,9,84,1,74
1,10,82,2,74
2,0,82,3,74
2,3,81,1,74
2,4,79,2,74
2,6,78,4,74
2,10,79,2,74
3,0,81,3,74
3,3,74,3,74
3,9,81,3,74
4,0,82,3,74
4,3,81,1,74
4,4,79,2,74
4,6,77,4,74
4,10,75,2,74
5,0,74,3,74
5,3,72,1,74
5,4,70,2,74
5,6,77,6,74
6,3,75,1,74
6,4,74,2,74
6,6,74,6,74
7,3,72,1,74
7,4,70,2,74
7,6,70,3,74
7,9,77,3,74
8,0,79,2,74
8,2,81,1,74
8,3,82,1,74
8,4,72,2,74
8,6,74,3,74
8,9,72,2,74
8,11,70,1,74
9,0,70,6,74
10,0,74,9,74
10,9,76,1,74
10,10,77,2,74
11,0,76,3,74
11,3,78,1,74
11,4,79,2,74
11,6,78,3,74
11,9,79,3,74
12,0,81,3,74
12,3,74,3,74
12,9,81,3,74
13,0,82,4,74
13,4,81,2,74
13,6,79,2,74
13,8,77,1,74
13,9,76,1,74
13,10,74,2,74
14,0,73,3,74
14,3,69,3,74
14,9,81,3,74
15,0,79,1,74
15,1,81,1,74
15,2,82,1,74
15,3,81,3,74
15,9,77,3,74
16,0,79,3,74
16,3,77,3,74
16,9,81,3,74
17,0,82,3,74
17,3,74,3,74
17,6,79,9,74
18,3,81,3,74
18,6,77,3,74
18,9,76,3,74
19,0,77,4,74
19,4,79,1,74
19,5,76,1,74
19,6,76,4,74
19,10,74,2,74
20,0,74,6,74
21,0,86,9,74
21,9,77,3,74
22,0,75,3,74
22,3,84,3,74
22,6,74,3,74
22,9,83,3,74
23,0,84,9,74
23,9,75,3,74
24,0,74,3,74
24,3,82,3,74
24,6,72,3,74
24,9,81,3,74
25,0,82,3,74
25,3,74,3,74
25,6,79,6,74
26,3,76,3,74
26,6,81,6,74
27,3,81,3,74
27,6,86,3,74
27,9,84,3,74
28,0,82,3,74
28,3,81,3,74
28,6,84,3,74
28,9,82,3,74
29,0,81,3,74
29,3,79,3,74
29,6,78,3,74
29,9,79,3,74
30,0,81,3,74
30,3,74,3,74
30,9,74,3,74
31,0,72,1,74
31,1,74,1,74
31,2,75,1,74
31,3,74,3,74
31,9,74,3,74
32,0,79,3,74
32,3,78,3,74
32,6,84,9,74
33,3,86,3,74
33,6,82,3,74
33,9,81,3,74
34,0,82,4,74
34,4,84,1,74
34,5,81,1,74
34,6,81,4,74
34,10,79,2,74
35,0,79,3,74
35,3,82,2,74
35,5,79,1,74
35,6,75,9,74
36,3,74,2,74
36,5,72,1,74
36,6,74,9,74
37,3,79,3,74
37,6,72,4,74
37,10,74,2,74
38,0,74,24,74
