beat,position,pitch,duration,program
0,0,55,3,6
0,3,57,3,6
0,6,58,3,6
0,9,55,3,6
1,0,60,3,6
1,3,57,3,6
1,6,62,3,6
1,9,50,3,6
2,0,55,3,6
2,3,58,3,6
2,6,57,3,6
2,9,55,3,6
3,0,50,3,6
3,3,52,3,6
3,6,54,3,6
3,9,50,3,6
4,0,55,3,6
4,3,58,3,6
4,6,57,3,6
4,9,53,3,6
5,0,58,3,6
5,3,46,3,6
5,9,57,3,6
6,0,55,3,6
6,3,43,3,6
6,9,53,3,6
7,0,51,3,6
7,3,39,3,6
7,6,38,3,6
7,9,50,3,6
8,0,51,3,6
8,3,46,3,6
8,6,53,3,6
8,9,41,3,6
9,0,46,3,6
9,3,50,2,6
9,5,48,1,6
9,6,46,3,6
9,9,45,3,6
10,0,43,3,6
10,3,55,3,6
10,6,58,3,6
10,9,55,3,6
11,0,60,3,6
11,3,58,3,6
11,6,57,3,6
11,9,55,3,6
12,0,54,3,6
12,3,54,1,6
12,4,52,2,6
12,6,54,3,6
12,9,50,3,6
13,0,55,3,6
13,3,57,3,6
13,6,58,3,6
13,9,55,3,6
14,0,57,3,6
14,3,61,3,6
14,6,62,3,6
14,9,57,3,6
15,3,50,3,6
15,6,58,3,6
15,9,57,3,6
16,3,57,3,6
16,6,55,3,6
16,9,53,3,6
17,0,55,3,6
17,3,53,3,6
17,6,52,3,6
17,9,50,3,6
18,0,49,3,6
18,3,45,3,6
18,6,50,3,6
18,9,55,3,6
19,0,57,3,6
19,3,55,3,6
19,6,57,3,6
19,9,45,3,6
20,0,50,3,6
20,3,53,1,6
20,4,51,2,6
20,6,50,3,6
20,9,48,3,6
21,0,47,3,6
21,3,45,3,6
21,6,47,3,6
21,9,43,3,6
22,0,48,3,6
22,3,51,3,6
22,6,53,3,6
22,9,55,3,6
23,0,51,3,6
23,3,48,3,6
23,6,53,3,6
23,9,57,3,6
24,0,58,3,6
24,3,55,3,6
24,6,51,3,6
24,9,53,3,6
25,0,46,9,6
25,9,43,3,6
26,0,48,9,6
26,9,45,3,6
27,0,50,6,6
27,9,50,3,6
28,0,55,3,6
28,3,53,3,6
28,6,51,3,6
28,9,50,3,6
29,0,48,3,6
29,3,46,3,6
29,6,45,3,6
29,9,43,3,6
30,0,50,3,6
30,3,54,3,6
30,6,55,3,6
30,9,54,3,6
31,3,54,3,6
31,6,55,3,6
31,9,50,3,6
32,3,50,3,6
32,6,51,3,6
32,9,48,3,6
33,0,50,3,6
33,3,38,3,6
33,6,43,3,6
33,9,48,3,6
34,0,50,3,6
34,3,48,3,6
34,6,50,3,6
34,9,38,3,6
35,0,43,9,6
35,9,55,3,6
36,0,53,9,6
36,9,46,3,6
37,0,51,12,6
38,0,50,24,6
