beat,position,pitch,duration,program
0,0,55,3,6
0,3,54,3,6
0,6,55,3,6
0,9,57,3,6
1,0,58,3,6
1,3,60,3,6
1,6,62,3,6
1,9,63,3,6
2,0,62,3,6
2,3,60,3,6
2,6,58,3,6
2,9,55,3,6
3,0,60,3,6
3,3,57,3,6
3,6,62,6,6
4,0,50,6,6
4,6,55,3,6
4,9,50,3,6
5,0,55,3,6
5,3,54,3,6
5,6,55,3,6
5,9,57,3,6
6,0,58,2,6
6,2,60,1,6
6,3,62,1,6
6,4,60,2,6
6,6,58,2,6
6,8,60,1,6
6,9,57,1,6
6,10,58,2,6
7,0,55,2,6
7,2,57,1,6
7,3,53,1,6
7,4,55,2,6
7,6,51,6,6
8,0,63,6,6
9,0,57,2,6
9,2,58,1,6
9,3,60,1,6
9,4,58,2,6
9,6,57,2,6
9,8,58,1,6
9,9,55,1,6
9,10,57,2,6
10,0,53,2,6
10,2,55,1,6
10,3,51,1,6
10,4,53,2,6
10,6,50,6,6
11,0,62,6,6
12,0,55,2,6
12,2,57,1,6
12,3,58,1,6
12,4,57,2,6
12,6,55,2,6
12,8,57,1,6
12,9,53,1,6
12,10,55,2,6
13,0,51,2,6
13,2,53,1,6
13,3,50,1,6
13,4,51,2,6
13,6,48,6,6
14,0,60,6,6
15,0,53,2,6
15,2,55,1,6
15,3,57,1,6
15,4,55,2,6
15,6,53,2,6
15,8,55,1,6
15,9,51,1,6
15,10,53,2,6
16,0,50,2,6
16,2,51,1,6
16,3,48,1,6
16,4,50,2,6
16,6,46,6,6
17,0,58,6,6
18,0,51,2,6
18,2,53,1,6
18,3,55,1,6
18,4,53,2,6
18,6,51,2,6
18,8,53,1,6
18,9,50,1,6
18,10,51,2,6
19,0,48,2,6
19,2,50,1,6
19,3,46,1,6
19,4,48,2,6
19,6,45,6,6
20,0,57,6,6
21,0,50,6,6
21,6,46,6,6
22,0,43,6,6
22,6,50,6,6
23,0,54,6,6
23,6,50,6,6
24,0,55,6,6
24,6,58,6,6
25,0,60,6,6
25,6,53,6,6
26,0,57,6,6
26,6,58,6,6
27,0,52,6,6
27,6,55,6,6
28,0,57,6,6
28,6,50,6,6
29,0,52,6,6
29,6,53,6,6
30,0,55,6,6
30,6,58,6,6
31,0,55,6,6
31,6,45,3,6
31,9,57,1,6
31,10,55,2,6
32,0,53,2,6
32,2,55,1,6
32,3,52,1,6
32,4,53,2,6
32,6,50,2,6
32,8,52,1,6
32,9,48,1,6
32,10,50,2,6
33,0,46,3,6
33,3,58,1,6
33,4,57,2,6
33,6,55,2,6
33,8,57,1,6
33,9,53,1,6
33,10,55,2,6
34,0,52,2,6
34,2,53,1,6
34,3,50,1,6
34,4,52,2,6
34,6,49,6,6
35,0,61,6,6
35,6,62,6,6
36,0,55,6,6
36,6,57,6,6
37,0,45,6,6
37,6,50,3,6
37,9,57,1,6
37,10,55,2,6
38,0,53,2,6
38,2,55,1,6
38,3,52,1,6
38,4,53,2,6
38,6,50,2,6
38,8,52,1,6
38,9,48,1,6
38,10,50,2,6
39,0,46,3,6
39,3,58,1,6
39,4,57,2,6
39,6,55,2,6
39,8,57,1,6
39,9,53,1,6
39,10,55,2,6
40,0,52,2,6
40,2,53,1,6
40,3,50,1,6
40,4,52,2,6
40,6,49,6,6
41,0,45,6,6
41,6,50,6,6
42,0,43,6,6
42,6,45,12,6
43,6,50,3,6
43,9,51,3,6
44,0,50,3,6
44,3,48,3,6
44,6,46,3,6
44,9,45,3,6
45,0,46,3,6
45,3,45,3,6
45,6,46,3,6
45,9,48,3,6
46,0,50,3,6
46,3,51,3,6
46,6,53,3,6
46,9,55,3,6
47,0,53,3,6
47,3,51,3,6
47,6,50,3,6
47,9,46,3,6
48,0,51,3,6
48,3,48,3,6
48,6,53,3,6
48,9,51,3,6
49,0,53,3,6
49,3,41,3,6
49,6,46,3,6
49,9,57,3,6
50,0,58,3,6
