beat,position,pitch,duration,program
0,0,74,6,74
0,6,79,4,74
0,10,81,2,74
1,0,78,9,74
1,9,74,3,74
2,0,79,6,74
2,6,81,6,74
3,0,82,12,74
4,0,74,6,74
4,6,81,6,74
5,0,82,9,74
5,9,81,3,74
6,0,82,6,74
6,6,84,6,74
7,0,81,12,74
8,0,81,6,74
8,6,82,6,74
9,0,79,9,74
9,9,78,3,74
10,0,79,6,74
10,6,81,6,74
11,0,78,12,74
12,0,79,6,74
12,6,74,6,74
13,0,75,9,74
13,9,74,3,74
14,0,75,6,74
14,6,77,6,74
15,0,74,9,74
15,9,77,3,74
16,0,82,6,74
16,6,84,6,74
17,0,81,9,74
17,9,77,3,74
18,0,82,9,74
18,9,77,3,74
19,0,79,3,74
19,3,77,3,74
19,6,75,3,74
19,9,74,3,74
20,0,72,6,74
20,6,81,6,74
21,0,82,12,74
22,0,77,6,74
22,6,82,3,74
22,9,81,3,74
23,0,79,3,74
23,3,77,3,74
23,6,75,3,74
23,9,74,3,74
24,0,72,9,74
24,9,70,3,74
25,0,70,12,74
26,0,74,3,74
26,3,77,3,74
26,6,72,3,74
26,9,77,3,74
27,0,74,3,74
27,3,77,3,74
27,6,72,3,74
27,9,77,3,74
28,0,74,3,74
28,3,77,3,74
28,6,72,3,74
28,9,77,3,74
29,0,74,12,74
30,0,75,3,74
30,3,79,3,74
30,6,74,3,74
30,9,79,3,74
31,0,75,3,74
31,3,79,3,74
31,6,74,3,74
31,9,79,3,74
32,0,75,3,74
32,3,79,3,74
32,6,74,3,74
32,9,79,3,74
33,0,75,9,74
33,9,79,3,74
34,0,72,6,74
34,6,77,9,74
35,3,79,3,74
35,6,75,3,74
35,9,74,3,74
36,0,74,9,74
36,9,72,3,74
37,0,72,9,74
37,9,72,3,74
38,0,77,6,74
38,6,75,4,74
38,10,74,2,74
39,0,74,9,74
39,9,74,3,74
40,0,79,6,74
40,6,77,4,74
40,10,76,2,74
41,0,76,9,74
41,9,76,3,74
42,0,81,6,74
42,6,79,4,74
42,10,78,2,74
43,0,78,9,74
43,9,79,3,74
44,0,81,6,74
44,6,86,6,74
45,0,82,9,74
45,9,81,3,74
46,0,79,6,74
46,6,77,3,74
46,9,79,3,74
47,0,75,6,74
47,6,74,6,74
48,0,72,9,74
48,9,74,3,74
49,0,74,12,74
50,0,74,6,74
50,6,79,4,74
50,10,81,2,74
51,0,78,9,74
51,9,74,3,74
52,0,79,6,74
52,6,81,6,74
53,0,82,9,74
53,9,81,3,74
54,0,82,3,74
54,3,86,3,74
54,6,81,3,74
54,9,86,3,74
55,0,82,3,74
55,3,86,3,74
55,6,81,3,74
55,9,86,3,74
56,0,82,3,74
56,3,86,3,74
56,6,78,3,74
56,9,86,3,74
57,0,79,9,74
57,9,79,3,74
58,0,84,3,74
58,3,82,3,74
58,6,81,3,74
58,9,79,3,74
59,0,78,6,74
59,6,79,3,74
59,9,84,3,74
60,0,82,6,74
60,6,81,4,74
60,10,79,2,74
61,0,79,9,74
61,9,77,3,74
62,0,75,3,74
62,3,74,3,74
62,6,72,9,74
63,3,74,3,74
63,6,70,3,74
63,9,69,3,74
64,0,69,9,74
64,9,67,3,74
65,0,67,12,74
