beat,position,pitch,duration,program
0,0,72,3,74
0,3,74,3,74
0,6,76,3,74
0,9,77,3,74
1,0,79,6,74
1,6,84,6,74
2,0,83,6,74
2,6,81,6,74
3,0,79,6,74
3,6,72,6,74
4,0,71,6,74
4,6,69,6,74
5,0,67,6,74
5,6,72,6,74
6,0,77,6,74
6,6,76,3,74
6,9,77,3,74
7,0,74,12,74
8,0,79,3,74
8,3,76,3,74
8,6,72,3,74
8,9,67,3,74
9,0,69,3,74
9,3,72,3,74
9,6,74,3,74
9,9,69,3,74
10,0,71,3,74
10,3,74,3,74
10,6,76,3,74
10,9,71,3,74
11,0,72,3,74
11,3,76,3,74
11,6,77,3,74
11,9,81,3,74
12,0,79,3,74
12,3,76,3,74
12,6,77,3,74
12,9,74,3,74
13,0,76,3,74
13,3,72,3,74
13,6,74,3,74
13,9,71,3,74
14,0,72,3,74
14,3,76,3,74
14,6,74,3,74
14,9,72,3,74
15,0,71,12,74
16,0,84,9,74
16,9,79,3,74
17,0,81,3,74
17,3,77,3,74
17,6,79,3,74
17,9,76,3,74
18,0,77,3,74
18,3,74,3,74
18,6,76,3,74
18,9,72,3,74
19,0,77,3,74
19,3,74,3,74
19,6,76,3,74
19,9,77,3,74
20,0,67,3,74
20,3,71,3,74
20,6,74,3,74
20,9,77,3,74
21,0,76,3,74
21,3,72,3,74
21,6,74,3,74
21,9,69,3,74
22,0,71,9,74
22,9,72,3,74
23,0,72,12,74
24,0,69,3,74
24,3,71,3,74
24,6,72,3,74
24,9,74,3,74
25,0,76,6,74
25,6,81,6,74
26,0,80,6,74
26,6,81,6,74
27,0,83,6,74
27,6,76,6,74
28,0,74,6,74
28,6,72,3,74
28,9,71,3,74
29,0,72,3,74
29,3,71,3,74
29,6,72,3,74
29,9,74,3,74
30,0,74,9,74
30,9,72,1,74
30,10,74,2,74
31,0,76,12,74
32,0,84,3,74
32,3,76,3,74
32,6,74,3,74
32,9,72,3,74
33,0,74,3,74
33,3,84,3,74
33,6,83,3,74
33,9,81,3,74
34,0,83,3,74
34,3,74,3,74
34,6,72,3,74
34,9,71,3,74
35,0,72,3,74
35,3,83,3,74
35,6,81,3,74
35,9,80,3,74
36,0,81,3,74
36,3,76,3,74
36,6,81,3,74
36,9,79,3,74
37,0,77,3,74
37,3,76,3,74
37,6,74,3,74
37,9,72,3,74
38,0,74,3,74
38,3,72,3,74
38,6,71,3,74
38,9,69,3,74
39,0,80,3,74
39,3,81,3,74
39,6,81,4,74
39,10,80,1,74
39,11,81,1,74
40,0,83,3,74
40,3,76,3,74
40,6,86,3,74
40,9,83,3,74
41,0,84,3,74
41,3,81,3,74
41,6,83,3,74
41,9,84,3,74
42,0,80,9,74
42,9,81,3,74
43,0,81,12,74
44,0,74,3,74
44,3,81,3,74
44,6,83,3,74
44,9,84,3,74
45,0,83,3,74
45,3,79,3,74
45,6,81,3,74
45,9,83,3,74
46,0,74,6,74
46,6,78,6,74
47,0,79,9,74
47,9,81,3,74
48,0,83,3,74
48,3,79,3,74
48,6,78,3,74
48,9,76,3,74
49,0,84,3,74
49,3,76,3,74
49,6,75,3,74
49,9,76,3,74
50,0,83,3,74
50,3,76,3,74
50,6,75,3,74
50,9,76,3,74
51,0,84,3,74
51,3,76,3,74
51,6,75,3,74
51,9,76,3,74
52,0,83,3,74
52,3,76,3,74
52,6,75,3,74
52,9,76,3,74
53,0,84,3,74
53,3,81,3,74
53,6,83,3,74
53,9,79,3,74
54,0,81,3,74
54,3,78,3,74
54,6,79,3,74
54,9,76,3,74
55,0,75,3,74
55,3,71,3,74
55,6,75,3,74
55,9,78,3,74
56,0,81,3,74
56,3,84,3,74
56,6,83,3,74
56,9,78,3,74
57,0,79,3,74
57,3,75,3,74
57,6,76,3,74
57,9,78,3,74
58,0,71,6,74
58,6,75,6,74
59,0,76,12,74
60,0,72,3,74
60,3,74,3,74
60,6,76,3,74
60,9,77,3,74
61,0,79,6,74
61,6,84,6,74
62,0,83,6,74
62,6,81,6,74
63,0,79,6,74
63,6,72,6,74
64,0,71,6,74
64,6,69,6,74
65,0,67,6,74
65,6,72,6,74
66,0,77,6,74
66,6,76,3,74
66,9,77,3,74
67,0,74,12,74
68,0,79,3,74
68,3,76,3,74
68,6,72,3,74
68,9,67,3,74
69,0,69,3,74
69,3,72,3,74
69,6,74,3,74
69,9,69,3,74
70,0,71,3,74
70,3,74,3,74
70,6,76,3,74
70,9,71,3,74
71,0,72,3,74
71,3,76,3,74
