beat,position,pitch,duration,program
0,0,60,3,6
0,3,62,3,6
0,6,55,3,6
0,9,64,3,6
1,0,52,3,6
1,6,53,3,6
1,9,50,3,6
2,0,55,3,6
2,3,52,3,6
2,6,48,3,6
3,0,57,3,6
3,3,55,3,6
3,9,53,3,6
4,0,52,3,6
4,6,50,3,6
4,9,52,3,6
5,0,48,3,6
5,3,55,1,6
5,4,54,2,6
5,6,55,2,6
5,8,57,1,6
5,9,59,1,6
5,10,55,2,6
6,0,60,2,6
6,2,55,1,6
6,3,62,1,6
6,4,60,2,6
6,6,62,2,6
6,8,55,1,6
6,9,64,1,6
6,10,62,2,6
7,0,60,2,6
7,2,62,1,6
7,3,64,1,6
7,4,60,2,6
7,6,65,2,6
7,8,62,1,6
7,9,67,1,6
7,10,65,2,6
8,0,64,2,6
8,2,62,1,6
8,3,64,1,6
8,4,62,2,6
8,6,60,2,6
8,8,59,1,6
8,9,57,1,6
8,10,55,2,6
9,0,57,2,6
9,2,55,1,6
9,3,53,1,6
9,4,52,2,6
9,6,50,2,6
9,8,48,1,6
9,9,50,3,6
10,0,55,3,6
10,3,60,3,6
10,6,53,3,6
10,9,55,3,6
11,0,43,3,6
11,3,48,9,6
12,0,45,2,6
12,2,57,1,6
12,3,56,1,6
12,4,54,2,6
12,6,56,2,6
12,8,52,1,6
12,9,45,1,6
12,10,57,2,6
13,0,56,2,6
13,2,54,1,6
13,3,56,1,6
13,4,52,2,6
13,6,45,2,6
13,8,57,1,6
13,9,56,1,6
13,10,54,2,6
14,0,56,2,6
14,2,52,1,6
14,3,57,1,6
14,4,56,2,6
14,6,57,2,6
14,8,59,1,6
14,9,60,1,6
14,10,57,2,6
15,0,50,2,6
15,2,62,1,6
15,3,61,1,6
15,4,59,2,6
15,6,61,2,6
15,8,57,1,6
15,9,50,1,6
15,10,62,2,6
16,0,61,2,6
16,2,59,1,6
16,3,61,1,6
16,4,57,2,6
16,6,50,2,6
16,8,62,1,6
16,9,61,1,6
16,10,59,2,6
17,0,61,2,6
17,2,57,1,6
17,3,62,1,6
17,4,57,2,6
17,6,62,2,6
17,8,60,1,6
17,9,59,1,6
17,10,57,2,6
18,0,55,2,6
18,2,54,1,6
18,3,55,1,6
18,4,57,2,6
18,6,59,2,6
18,8,55,1,6
18,9,60,1,6
18,10,55,2,6
19,0,60,2,6
19,2,59,1,6
19,3,57,1,6
19,4,55,2,6
19,6,54,2,6
19,8,52,1,6
19,9,54,1,6
19,10,55,2,6
20,0,57,2,6
20,2,54,1,6
20,3,59,1,6
20,4,54,2,6
20,6,59,2,6
20,8,57,1,6
20,9,55,1,6
20,10,54,2,6
21,0,52,2,6
21,2,64,1,6
21,3,63,1,6
21,4,61,2,6
21,6,63,2,6
21,8,59,1,6
21,9,52,1,6
21,10,64,2,6
22,0,63,2,6
22,2,61,1,6
22,3,63,1,6
22,4,59,2,6
22,6,52,2,6
22,8,64,1,6
22,9,63,1,6
22,10,61,2,6
23,0,63,2,6
23,2,59,1,6
23,3,52,1,6
