beat,position,pitch,duration,program
0,0,72,8,74
0,8,76,1,74
0,9,79,1,74
0,10,83,2,74
1,0,84,8,74
1,8,83,1,74
1,9,84,1,74
1,10,79,2,74
2,0,81,3,74
2,3,72,1,74
2,4,74,2,74
2,6,71,4,74
2,10,72,2,74
3,0,74,6,74
4,0,72,8,74
4,8,76,1,74
4,9,79,1,74
4,10,83,2,74
5,0,84,8,74
5,8,83,1,74
5,9,84,1,74
5,10,79,2,74
6,0,81,3,74
6,3,72,1,74
6,4,74,2,74
6,6,71,4,74
6,10,72,2,74
7,0,74,6,74
7,9,79,1,74
7,10,76,2,74
8,0,77,2,74
8,2,74,1,74
8,3,76,2,74
8,5,77,1,74
8,6,67,3,74
8,9,77,3,74
9,0,77,2,74
9,2,74,1,74
9,3,76,5,74
9,8,77,1,74
9,9,74,2,74
9,11,72,1,74
10,0,71,2,74
10,2,67,1,74
10,3,72,2,74
10,5,77,1,74
10,6,76,3,74
10,9,74,2,74
10,11,72,1,74
11,0,72,6,74
11,9,84,2,74
11,11,81,1,74
12,0,82,2,74
12,2,79,1,74
12,3,81,2,74
12,5,82,1,74
12,6,72,3,74
12,9,82,3,74
13,0,82,2,74
13,2,79,1,74
13,3,81,6,74
13,9,79,2,74
13,11,77,1,74
14,0,76,3,74
14,3,74,1,74
14,4,76,1,74
14,5,77,1,74
14,6,71,4,74
14,10,72,2,74
15,0,72,3,74
15,3,76,3,74
15,6,79,9,74
16,3,78,1,74
16,4,81,2,74
16,6,84,3,74
16,9,84,3,74
17,0,84,2,74
17,2,81,1,74
17,3,83,3,74
17,9,83,6,74
18,3,81,1,74
18,4,83,1,74
18,5,84,1,74
18,6,81,4,74
18,10,79,2,74
19,0,78,2,74
19,2,76,1,74
19,3,74,3,74
19,6,74,9,74
20,3,76,1,74
20,4,74,2,74
20,6,72,4,74
20,10,71,2,74
21,0,71,3,74
21,3,69,3,74
21,6,86,9,74
22,3,84,1,74
22,4,83,2,74
22,6,81,3,74
22,9,79,3,74
23,0,84,3,74
23,3,78,3,74
23,6,79,9,74
24,3,81,1,74
24,4,83,1,74
24,5,84,1,74
24,6,78,4,74
24,10,79,2,74
25,0,79,3,74
25,3,74,3,74
25,6,83,8,74
26,2,80,1,74
26,3,81,2,74
26,5,83,1,74
26,6,74,3,74
26,9,74,3,74
27,0,74,3,74
27,3,72,3,74
27,6,84,8,74
28,2,75,1,74
28,3,76,2,74
28,5,78,1,74
28,6,71,3,74
28,9,81,3,74
29,0,81,3,74
29,3,79,3,74
29,6,82,8,74
30,2,73,1,74
30,3,74,2,74
30,5,76,1,74
30,6,69,3,74
30,9,79,3,74
31,0,79,3,74
31,3,77,3,74
31,6,80,9,74
32,3,79,3,74
32,6,79,3,74
32,9,77,3,74
33,0,76,3,74
33,3,74,1,74
33,4,72,2,74
33,6,77,6,74
34,0,82,2,74
34,2,76,1,74
34,3,77,2,74
34,5,74,1,74
34,6,76,4,74
34,10,77,2,74
35,0,77,6,74
35,6,77,9,74
36,3,76,1,74
36,4,74,2,74
36,6,76,3,74
36,9,79,1,74
36,10,78,2,74
37,0,79,3,74
37,3,67,3,74
37,6,74,8,74
38,2,67,1,74
38,3,72,1,74
38,4,76,2,74
38,6,77,3,74
38,9,76,2,74
38,11,74,1,74
39,0,76,3,74
39,3,72,3,74
39,6,84,8,74
40,2,72,1,74
40,3,77,2,74
40,5,81,1,74
40,6,82,3,74
40,9,81,2,74
40,11,79,1,74
41,0,81,3,74
41,3,84,1,74
41,4,83,2,74
41,6,84,3,74
41,9,83,1,74
41,10,81,2,74
42,0,79,3,74
42,3,77,1,74
42,4,74,1,74
42,4,76,0,74
42,5,72,1,74
42,6,76,3,74
42,9,74,2,74
42,11,72,1,74
43,0,72,2,74
43,2,84,1,74
43,3,83,2,74
43,5,81,1,74
43,6,79,6,74
44,2,72,1,74
44,3,71,2,74
44,5,69,1,74
44,6,67,6,74
45,2,79,1,74
45,3,77,2,74
45,5,76,1,74
45,6,74,3,74
45,9,79,3,74
46,0,72,3,74
46,3,84,1,74
46,4,81,2,74
46,6,78,4,74
46,10,79,2,74
47,0,79,12,74
