beat,position,pitch,duration,program
0,0,60,3,6
0,3,59,3,6
0,6,60,3,6
0,9,55,3,6
1,0,57,3,6
1,3,55,3,6
1,6,57,3,6
1,9,52,3,6
2,0,53,3,6
2,3,52,3,6
2,6,50,3,6
2,9,48,3,6
3,0,55,3,6
3,3,57,3,6
3,6,59,3,6
3,9,55,3,6
4,0,60,3,6
4,3,59,3,6
4,6,60,3,6
4,9,55,3,6
5,0,57,3,6
5,3,55,3,6
5,6,57,3,6
5,9,52,3,6
6,0,53,3,6
6,3,52,3,6
6,6,50,3,6
6,9,48,3,6
7,0,55,3,6
7,3,57,3,6
7,6,59,3,6
7,9,55,3,6
8,0,57,3,6
8,3,62,3,6
8,6,59,3,6
8,9,55,3,6
9,0,60,3,6
9,3,48,3,6
9,6,41,3,6
9,9,53,6,6
10,3,52,2,6
10,5,53,1,6
10,6,55,3,6
10,9,43,3,6
11,0,48,3,6
11,3,50,3,6
11,6,52,3,6
11,9,48,3,6
12,0,50,3,6
12,3,55,3,6
12,6,52,3,6
12,9,48,3,6
13,0,41,3,6
13,3,53,3,6
13,6,47,6,6
14,0,48,3,6
14,3,53,3,6
14,6,55,3,6
14,9,43,3,6
15,0,48,6,6
15,9,59,3,6
16,0,57,3,6
16,3,50,3,6
16,6,52,3,6
16,9,54,3,6
17,0,55,3,6
17,3,43,3,6
17,6,47,3,6
17,9,43,3,6
18,0,48,6,6
18,9,49,3,6
19,0,50,6,6
19,9,47,3,6
20,0,52,6,6
20,6,54,3,6
20,9,55,3,6
21,0,50,6,6
21,6,47,3,6
21,9,43,3,6
22,0,52,4,6
22,4,50,2,6
22,6,48,3,6
22,9,47,3,6
23,0,45,3,6
23,3,50,3,6
23,6,52,3,6
23,9,48,3,6
24,0,50,3,6
24,3,48,3,6
24,6,50,3,6
24,9,38,3,6
25,0,43,6,6
25,9,53,3,6
26,0,52,3,6
26,3,54,3,6
26,6,56,3,6
26,9,52,3,6
27,0,57,3,6
27,3,45,3,6
27,9,57,3,6
28,0,54,3,6
28,3,47,3,6
28,6,51,3,6
28,9,47,3,6
29,0,52,9,6
29,9,55,3,6
30,0,52,3,6
30,3,45,3,6
30,6,49,3,6
30,9,45,3,6
31,0,50,9,6
31,9,48,3,6
32,0,47,6,6
32,6,46,12,6
33,6,45,3,6
33,9,57,3,6
34,0,55,3,6
34,3,57,2,6
34,5,58,1,6
34,6,60,3,6
34,9,48,3,6
35,0,53,3,6
35,3,52,3,6
35,6,50,3,6
35,9,48,3,6
36,0,47,3,6
36,3,43,3,6
36,6,48,3,6
36,9,45,3,6
37,0,43,6,6
37,9,53,3,6
38,0,52,3,6
38,3,57,3,6
38,6,50,3,6
38,9,55,3,6
39,0,48,6,6
39,9,46,3,6
40,0,45,3,6
40,3,50,3,6
40,6,43,3,6
40,9,48,3,6
41,0,53,3,6
41,3,50,3,6
41,6,52,3,6
41,9,53,3,6
42,0,55,3,6
42,3,57,3,6
42,6,55,3,6
42,9,43,3,6
43,0,48,6,6
43,9,50,3,6
44,0,52,6,6
44,9,53,3,6
45,0,55,6,6
45,9,52,3,6
46,0,57,12,6
47,0,55,12,6
