beat,position,pitch,duration,program
0,0,60,3,48
0,3,62,3,48
0,6,64,3,48
0,9,65,3,48
1,0,67,3,48
1,3,62,3,48
1,6,67,3,48
1,9,65,3,48
2,0,64,10,48
3,0,62,15,48
4,3,55,3,48
4,6,60,5,48
5,0,59,3,48
5,3,65,3,48
5,6,64,3,48
5,9,62,3,48
6,0,64,10,48
8,0,55,3,48
8,3,57,3,48
8,6,59,3,48
8,9,60,3,48
9,0,62,3,48
9,3,57,3,48
9,6,62,3,48
9,9,60,3,48
10,0,59,10,48
11,0,57,10,48
12,0,55,3,48
12,3,67,3,48
12,6,62,3,48
12,9,64,3,48
13,0,65,10,48
14,0,64,10,48
15,0,62,10,48
16,0,60,3,48
16,3,55,3,48
16,6,60,3,48
16,9,59,3,48
17,0,57,3,48
17,3,59,3,48
17,6,60,3,48
17,9,62,3,48
18,0,64,3,48
18,3,62,3,48
18,6,60,3,48
18,9,62,3,48
19,0,59,3,48
19,3,57,3,48
19,6,55,3,48
19,9,57,3,48
20,0,54,10,48
21,0,55,5,48
22,0,55,3,48
22,3,57,3,48
22,6,59,3,48
22,9,60,3,48
23,0,62,3,48
23,3,57,3,48
23,6,62,3,48
23,9,60,3,48
24,0,59,10,48
25,0,60,3,48
25,3,55,3,48
25,6,60,3,48
25,9,59,3,48
26,0,57,10,48
27,0,59,10,48
28,0,60,3,48
28,3,62,3,48
28,6,64,3,48
28,9,65,3,48
29,0,67,3,48
29,3,62,3,48
29,6,67,3,48
29,9,65,3,48
30,0,64,3,48
30,3,62,3,48
30,6,60,3,48
30,9,62,3,48
31,0,59,10,48
32,0,60,3,48
32,3,59,3,48
32,6,60,3,48
32,9,62,3,48
33,0,59,3,48
33,3,57,3,48
33,6,59,3,48
33,9,60,3,48
34,0,57,5,48
34,6,62,10,48
35,6,60,5,48
36,0,65,3,48
36,3,64,3,48
36,6,65,3,48
36,9,67,3,48
37,0,64,3,48
37,3,62,3,48
37,6,64,3,48
37,9,65,3,48
38,0,62,5,48
38,6,67,5,48
39,0,60,3,48
39,3,65,3,48
39,6,64,3,48
39,9,62,3,48
40,0,64,3,48
40,3,52,3,48
40,6,53,3,48
40,9,55,3,48
41,0,57,3,48
41,3,60,3,48
41,6,62,3,48
41,9,64,3,48
42,0,65,5,48
42,6,64,5,48
43,0,62,5,48
43,6,60,5,48
44,0,59,5,48
44,6,60,3,48
44,9,62,3,48
45,0,64,1,48
45,1,62,1,48
45,2,62,1,48
45,2,64,0,48
45,3,64,1,48
45,4,62,0,48
45,4,64,1,48
45,5,62,1,48
45,6,64,1,48
45,7,62,1,48
45,8,62,1,48
45,8,64,0,48
45,9,60,3,48
46,0,60,22,48
