beat,position,pitch,duration,program
0,0,48,3,48
0,3,50,3,48
0,6,52,3,48
0,9,53,3,48
1,0,55,3,48
1,3,50,3,48
1,6,55,3,48
1,9,53,3,48
2,0,52,9,48
2,9,57,3,48
3,0,50,5,48
3,6,55,5,48
4,0,48,3,48
4,3,55,3,48
4,6,57,3,48
4,9,59,3,48
5,0,60,3,48
5,3,55,3,48
5,6,48,5,48
6,0,47,10,48
7,0,42,10,48
8,0,43,3,48
8,3,45,3,48
8,6,47,3,48
8,9,48,3,48
9,0,50,3,48
9,3,45,3,48
9,6,50,3,48
9,9,48,3,48
10,0,47,10,48
11,0,45,3,48
11,3,50,3,48
11,6,45,3,48
11,9,47,3,48
12,0,48,3,48
12,3,50,3,48
12,6,52,3,48
12,9,53,3,48
13,0,55,3,48
13,3,50,3,48
13,6,55,3,48
13,9,53,3,48
14,0,52,10,48
15,0,53,6,48
15,6,52,3,48
15,9,50,3,48
16,0,48,5,48
17,0,43,3,48
17,3,45,3,48
17,6,47,3,48
17,9,48,3,48
18,0,50,3,48
18,3,45,3,48
18,6,50,3,48
18,9,48,3,48
19,0,47,3,48
19,3,43,3,48
19,6,55,3,48
19,9,53,3,48
20,0,52,10,48
21,0,54,10,48
22,0,55,3,48
22,3,50,3,48
22,6,55,3,48
22,9,53,3,48
23,0,52,5,48
24,0,53,3,48
24,3,48,3,48
24,6,53,3,48
24,9,52,3,48
25,0,50,3,48
25,3,55,3,48
25,6,53,3,48
25,9,55,3,48
26,0,52,10,48
27,0,47,5,48
28,0,48,3,48
28,3,50,3,48
28,6,52,3,48
28,9,53,3,48
29,0,55,3,48
29,3,50,3,48
29,6,55,3,48
29,9,53,3,48
30,0,52,10,48
31,0,50,5,48
31,6,55,5,48
32,0,53,3,48
32,3,52,3,48
32,6,53,3,48
32,9,55,3,48
33,0,52,3,48
33,3,50,3,48
33,6,52,3,48
33,9,53,3,48
34,0,50,10,48
35,0,48,5,48
35,6,60,5,48
36,0,59,3,48
36,3,57,3,48
36,6,59,3,48
36,9,60,3,48
37,0,57,5,48
37,6,59,5,48
38,0,60,3,48
38,3,48,3,48
38,6,50,3,48
38,9,52,3,48
39,0,53,5,48
39,6,52,5,48
40,0,50,3,48
40,3,62,3,48
40,6,55,3,48
40,9,57,3,48
41,0,59,3,48
41,3,55,3,48
41,6,52,3,48
41,9,57,3,48
42,0,50,3,48
42,3,55,3,48
42,6,52,3,48
42,9,53,3,48
43,0,55,5,48
43,6,43,5,48
44,0,48,22,48
