beat,position,pitch,duration,program
0,0,69,2,40
0,2,64,1,40
0,3,73,1,40
0,4,69,2,40
0,6,71,2,40
0,8,64,1,40
0,9,74,1,40
0,10,71,2,40
1,0,73,2,40
1,2,69,1,40
1,3,76,1,40
1,4,73,2,40
1,6,71,2,40
1,8,76,1,40
1,9,68,1,40
1,10,71,2,40
2,0,69,2,40
2,2,64,1,40
2,3,73,1,40
2,4,69,2,40
2,6,71,2,40
2,8,64,1,40
2,9,74,1,40
2,10,71,2,40
3,0,73,2,40
3,2,69,1,40
3,3,76,1,40
3,4,73,2,40
3,6,71,2,40
3,8,76,1,40
3,9,68,1,40
3,10,71,2,40
4,0,64,2,40
4,2,69,1,40
4,3,73,1,40
4,4,69,2,40
4,6,66,2,40
4,8,71,1,40
4,9,74,1,40
4,10,71,2,40
5,0,68,2,40
5,2,73,1,40
5,3,76,1,40
5,4,73,2,40
5,6,69,2,40
5,8,80,1,40
5,9,81,1,40
5,10,78,2,40
6,0,76,2,40
6,2,81,1,40
6,3,85,1,40
6,4,81,2,40
6,6,78,2,40
6,8,83,1,40
6,9,86,1,40
6,10,83,2,40
7,0,85,2,40
7,2,81,1,40
7,3,83,1,40
7,4,80,2,40
7,8,81,1,40
7,9,76,1,40
7,10,73,2,40
8,0,69,2,40
8,2,73,1,40
8,3,71,1,40
8,4,74,2,40
8,6,73,2,40
8,8,76,1,40
8,9,68,1,40
8,10,71,2,40
9,0,69,2,40
9,2,73,1,40
9,3,71,1,40
9,4,74,2,40
9,6,73,2,40
9,8,76,1,40
9,9,68,1,40
9,10,71,2,40
10,0,69,2,40
10,2,73,1,40
10,3,71,1,40
10,4,74,2,40
10,6,73,2,40
10,8,76,1,40
10,9,75,1,40
10,10,78,2,40
11,0,76,2,40
11,2,80,1,40
11,3,78,1,40
11,4,76,2,40
11,6,83,6,40
12,0,76,3,40
12,3,80,3,40
12,6,81,3,40
12,9,73,3,40
13,0,75,3,40
13,3,78,3,40
13,6,80,3,40
13,9,71,3,40
14,0,73,3,40
14,3,76,3,40
14,6,78,3,40
14,9,69,3,40
15,0,71,3,40
15,3,75,3,40
15,6,71,2,40
15,8,83,1,40
15,9,82,1,40
15,10,83,2,40
16,0,80,2,40
16,2,83,1,40
16,3,76,1,40
16,4,80,2,40
16,6,73,2,40
16,8,81,1,40
16,9,80,1,40
16,10,81,2,40
17,0,78,2,40
17,2,81,1,40
17,3,75,1,40
17,4,78,2,40
17,6,71,2,40
17,8,80,1,40
17,9,78,1,40
17,10,80,2,40
18,0,76,2,40
18,2,80,1,40
18,3,73,1,40
18,4,76,2,40
18,6,69,2,40
18,8,78,1,40
18,9,76,1,40
18,10,78,2,40
19,0,75,2,40
19,2,78,1,40
19,3,71,1,40
19,4,75,2,40
19,6,68,2,40
19,8,71,1,40
19,9,76,1,40
19,10,71,2,40
20,0,73,2,40
20,2,69,1,40
20,3,66,1,40
20,4,75,2,40
20,6,76,2,40
20,8,71,1,40
20,9,68,1,40
20,10,64,2,40
21,0,73,2,40
21,2,69,1,40
21,3,66,1,40
21,4,75,2,40
21,6,76,2,40
21,8,71,1,40
21,9,68,1,40
21,10,64,2,40
22,0,73,2,40
22,2,69,1,40
22,3,66,1,40
22,4,75,2,40
22,6,76,2,40
22,8,71,1,40
22,9,73,1,40
22,10,69,2,40
23,0,68,2,40
23,2,76,1,40
23,3,66,1,40
23,4,75,2,40
23,6,76,2,40
23,8,71,1,40
23,9,68,1,40
23,10,64,2,40
24,0,61,2,40
24,2,57,1,40
24,3,54,1,40
24,4,63,2,40
24,6,64,2,40
24,8,59,1,40
24,9,56,1,40
24,10,52,2,40
25,0,61,2,40
25,2,57,1,40
25,3,54,1,40
25,4,63,2,40
25,6,64,2,40
25,8,59,1,40
25,9,56,1,40
25,10,52,2,40
26,0,61,2,40
26,2,57,1,40
26,3,54,1,40
26,4,63,2,40
26,6,64,2,40
26,8,59,1,40
26,9,61,1,40
26,10,57,2,40
27,0,56,2,40
27,2,64,1,40
27,3,54,1,40
27,4,63,2,40
27,6,64,6,40
28,0,64,2,40
28,2,59,1,40
28,3,68,1,40
28,4,64,2,40
28,6,66,2,40
28,8,59,1,40
28,9,69,1,40
28,10,66,2,40
29,0,68,2,40
29,2,64,1,40
29,3,71,1,40
29,4,68,2,40
29,6,66,2,40
29,8,71,1,40
29,9,63,1,40
29,10,66,2,40
30,0,59,2,40
30,2,64,1,40
30,3,68,1,40
30,4,64,2,40
30,6,66,2,40
30,8,59,1,40
30,9,69,1,40
30,10,66,2,40
31,0,68,2,40
31,2,64,1,40
31,3,71,1,40
31,4,68,2,40
31,6,66,2,40
31,8,71,1,40
31,9,63,1,40
31,10,66,2,40
32,0,59,2,40
32,2,64,1,40
32,3,68,1,40
32,4,64,2,40
32,6,61,2,40
32,8,66,1,40
32,9,69,1,40
32,10,66,2,40
33,0,63,2,40
33,2,68,1,40
33,3,71,1,40
33,4,68,2,40
33,6,64,2,40
33,8,75,1,40
33,9,76,1,40
33,10,73,2,40
34,0,71,2,40
34,2,76,1,40
34,3,80,1,40
34,4,76,2,40
34,6,73,2,40
34,8,78,1,40
34,9,81,1,40
34,10,78,2,40
35,0,80,2,40
35,2,76,1,40
35,3,78,1,40
35,4,75,2,40
35,8,76,1,40
35,9,71,1,40
35,10,68,2,40
