beat,position,pitch,duration,program
0,3,57,3,42
0,6,56,3,42
0,9,52,3,42
1,0,57,3,42
1,3,45,3,42
1,6,52,3,42
1,9,50,3,42
2,0,49,3,42
2,3,57,3,42
2,6,56,3,42
2,9,52,3,42
3,0,57,3,42
3,3,45,3,42
3,6,52,3,42
3,9,50,3,42
4,0,49,3,42
4,3,45,3,42
4,6,50,3,42
4,9,47,3,42
5,0,52,3,42
5,3,49,3,42
5,6,54,3,42
5,9,50,3,42
6,0,49,3,42
6,3,45,3,42
6,6,50,3,42
6,9,47,3,42
7,0,52,3,42
7,3,40,3,42
7,6,45,3,42
7,9,57,6,42
8,3,56,3,42
8,6,57,3,42
8,9,59,3,42
9,0,61,3,42
9,3,56,3,42
9,6,57,3,42
9,9,59,3,42
10,0,61,3,42
10,3,56,3,42
10,6,57,3,42
10,9,54,3,42
11,0,56,3,42
11,3,58,3,42
11,6,59,2,42
11,8,71,1,42
11,9,70,1,42
11,10,71,2,42
12,0,68,2,42
12,2,71,1,42
12,3,64,1,42
12,4,68,2,42
12,6,61,2,42
12,8,69,1,42
12,9,68,1,42
12,10,69,2,42
13,0,66,2,42
13,2,69,1,42
13,3,63,1,42
13,4,66,2,42
13,6,59,2,42
13,8,68,1,42
13,9,66,1,42
13,10,68,2,42
14,0,64,2,42
14,2,68,1,42
14,3,61,1,42
14,4,64,2,42
14,6,57,2,42
14,8,66,1,42
14,9,64,1,42
14,10,66,2,42
15,0,63,2,42
15,2,66,1,42
15,3,59,1,42
15,4,63,2,42
15,6,56,6,42
16,0,64,3,42
16,3,68,3,42
16,6,69,3,42
16,9,61,3,42
17,0,63,3,42
17,3,66,3,42
17,6,68,3,42
17,9,59,3,42
18,0,61,3,42
18,3,64,3,42
18,6,66,3,42
18,9,57,3,42
19,0,59,3,42
19,3,63,3,42
19,6,64,3,42
19,9,56,3,42
20,0,57,3,42
20,3,59,3,42
20,6,56,3,42
20,9,61,3,42
21,0,57,3,42
21,3,59,3,42
21,6,56,3,42
21,9,61,3,42
22,0,57,3,42
22,3,59,3,42
22,6,56,3,42
22,9,57,3,42
23,0,59,3,42
23,3,47,3,42
23,6,40,3,42
23,9,52,3,42
24,0,45,3,42
24,3,47,3,42
24,6,44,3,42
24,9,49,3,42
25,0,45,3,42
25,3,47,3,42
25,6,44,3,42
25,9,49,3,42
26,0,45,3,42
26,3,47,3,42
26,6,44,3,42
26,9,45,3,42
27,0,47,3,42
27,3,47,3,42
27,6,40,6,42
28,3,52,3,42
28,6,51,3,42
28,9,47,3,42
29,0,52,3,42
29,3,40,3,42
29,6,47,3,42
29,9,45,3,42
30,0,44,3,42
30,3,52,3,42
30,6,51,3,42
30,9,47,3,42
31,0,52,3,42
31,3,40,3,42
31,6,47,3,42
31,9,57,3,42
32,0,56,3,42
32,3,52,3,42
32,6,57,3,42
32,9,54,3,42
33,0,59,3,42
33,3,56,3,42
33,6,61,3,42
33,9,57,3,42
34,0,56,3,42
34,3,52,3,42
34,6,57,3,42
34,9,54,3,42
35,0,59,3,42
35,3,47,3,42
35,6,40,3,42
35,9,52,6,42
36,3,51,3,42
36,6,52,3,42
36,9,49,3,42
37,0,50,3,42
37,3,46,3,42
37,6,47,3,42
37,9,59,6,42
38,3,58,3,42
