beat,position,pitch,duration,program
0,0,62,3,41
0,3,67,6,41
0,9,66,3,41
1,0,59,3,41
1,3,64,6,41
1,9,62,3,41
2,0,55,3,41
2,3,60,6,41
2,9,59,3,41
3,0,64,6,41
3,6,62,6,41
4,0,60,3,41
4,3,59,1,41
4,4,57,2,41
4,6,59,3,41
4,9,55,3,41
5,0,54,6,41
5,6,55,6,41
6,0,57,3,41
6,3,62,3,41
6,6,59,3,41
6,9,55,3,41
7,0,50,6,41
8,0,62,3,41
8,3,67,6,41
8,9,66,3,41
9,0,59,3,41
9,3,64,6,41
9,9,62,3,41
10,0,62,3,41
10,3,60,6,41
10,9,59,3,41
11,0,64,6,41
11,6,62,6,41
12,0,60,3,41
12,3,59,1,41
12,4,57,2,41
12,6,59,3,41
12,9,55,3,41
13,0,54,6,41
13,6,55,6,41
14,0,57,3,41
14,3,62,3,41
14,6,59,3,41
14,9,55,3,41
15,0,50,6,41
15,6,62,6,41
16,0,62,3,41
16,3,60,1,41
16,4,59,2,41
16,6,60,3,41
16,9,59,1,41
16,10,57,2,41
17,0,59,3,41
17,3,57,1,41
17,4,55,2,41
17,6,57,3,41
17,9,55,1,41
17,10,54,2,41
18,0,55,3,41
18,3,59,3,41
18,6,60,3,41
18,9,62,3,41
19,0,55,6,41
20,0,55,2,41
20,2,57,1,41
20,3,59,3,41
20,6,59,2,41
20,8,57,1,41
20,9,55,3,41
21,0,62,3,41
21,3,62,3,41
21,6,62,3,41
21,9,67,3,41
22,0,66,2,41
22,2,67,1,41
22,3,69,3,41
22,6,71,2,41
22,8,69,1,41
22,9,67,3,41
23,0,69,3,41
23,3,62,3,41
23,6,62,3,41
23,9,64,3,41
24,0,66,2,41
24,2,67,1,41
24,3,66,3,41
24,6,66,3,41
24,9,67,3,41
25,0,69,2,41
25,2,71,1,41
25,3,69,3,41
25,6,69,3,41
25,9,71,3,41
26,0,61,6,41
26,6,62,6,41
27,0,64,3,41
27,3,57,3,41
27,6,66,3,41
27,9,57,3,41
28,0,67,6,41
28,6,69,3,41
28,9,67,1,41
28,10,66,2,41
29,0,71,3,41
29,3,59,3,41
29,6,69,6,41
30,0,67,3,41
30,3,66,1,41
30,4,64,2,41
30,6,66,3,41
30,9,62,3,41
31,0,61,6,41
31,6,62,6,41
32,0,64,3,41
32,3,69,3,41
32,6,66,3,41
32,9,62,3,41
33,0,57,6,41
33,6,69,6,41
34,0,69,3,41
34,3,67,1,41
34,4,66,2,41
34,6,67,3,41
34,9,66,1,41
34,10,64,2,41
35,0,66,3,41
35,3,64,1,41
35,4,62,2,41
35,6,64,3,41
35,9,62,1,41
35,10,61,2,41
36,0,62,3,41
36,3,54,3,41
36,6,55,3,41
36,9,57,3,41
37,0,50,6,41
38,0,62,3,41
38,3,67,6,41
38,9,66,3,41
39,0,59,3,41
39,3,64,6,41
39,9,62,3,41
40,0,55,3,41
40,3,60,6,41
40,9,59,3,41
41,0,64,6,41
41,6,62,6,41
42,0,60,3,41
42,3,59,1,41
42,4,57,2,41
42,6,59,3,41
42,9,55,3,41
43,0,54,6,41
43,6,55,6,41
44,0,57,3,41
44,3,62,3,41
44,6,59,3,41
44,9,55,3,41
45,0,50,6,41
46,0,62,3,41
46,3,67,6,41
46,9,66,3,41
47,0,59,3,41
47,3,64,6,41
47,9,62,3,41
48,0,55,3,41
48,3,60,6,41
48,9,59,3,41
49,0,64,6,41
49,6,62,6,41
50,0,60,3,41
50,3,59,1,41
50,4,57,2,41
50,6,59,3,41
50,9,55,3,41
51,0,54,6,41
51,6,55,6,41
52,0,57,3,41
52,3,62,3,41
52,6,59,3,41
52,9,55,3,41
53,0,50,6,41
53,6,62,6,41
54,0,62,3,41
54,3,60,1,41
54,4,59,2,41
54,6,60,3,41
54,9,59,1,41
54,10,57,2,41
55,0,59,3,41
55,3,57,1,41
55,4,55,2,41
55,6,57,3,41
55,9,55,1,41
55,10,54,2,41
56,0,55,3,41
56,3,59,3,41
56,6,60,3,41
56,9,62,3,41
57,0,55,6,41
58,0,67,3,41
58,3,67,1,41
58,4,66,2,41
58,6,67,3,41
58,9,69,3,41
59,0,71,6,41
59,6,64,6,41
60,0,63,3,41
60,3,59,3,41
60,6,67,3,41
60,9,64,3,41
61,0,71,6,41
61,6,64,6,41
62,0,63,3,41
62,3,59,3,41
62,6,67,6,41
63,0,66,6,41
63,6,59,3,41
63,9,61,1,41
63,10,59,2,41
64,0,58,3,41
64,3,54,3,41
64,6,62,6,41
65,0,61,6,41
65,6,59,3,41
65,9,61,1,41
65,10,59,2,41
66,0,58,3,41
66,3,54,3,41
66,6,62,6,41
67,0,61,6,41
67,6,59,3,41
67,9,61,1,41
67,10,62,2,41
68,0,64,3,41
68,3,62,1,41
68,4,61,2,41
68,6,62,3,41
68,9,64,1,41
68,10,66,2,41
69,0,67,6,41
69,6,66,6,41
70,0,64,3,41
70,3,71,3,41
70,6,70,3,41
70,9,69,3,41
71,0,68,3,41
71,3,67,3,41
71,6,66,3,41
71,9,59,3,41
72,0,64,6,41
72,6,62,6,41
73,0,61,3,41
73,3,59,1,41
73,4,58,2,41
73,6,59,3,41
73,9,66,3,41
74,0,54,3,41
74,3,66,3,41
74,6,54,3,41
74,9,66,3,41
75,0,66,3,41
75,3,64,1,41
75,4,62,2,41
75,6,64,3,41
75,9,62,1,41
75,10,61,2,41
76,0,62,3,41
76,3,61,1,41
76,4,59,2,41
76,6,61,3,41
76,9,59,1,41
76,10,58,2,41
77,0,59,3,41
77,3,50,3,41
77,6,52,3,41
77,9,54,3,41
78,0,59,6,41
78,9,57,3,41
79,0,55,3,41
79,3,57,1,41
79,4,59,2,41
79,6,60,2,41
79,8,64,1,41
79,9,62,1,41
79,10,60,2,41
80,0,62,3,41
80,3,67,6,41
80,9,66,3,41
81,0,59,3,41
81,3,64,6,41
81,9,62,3,41
82,0,55,3,41
82,3,60,6,41
82,9,59,3,41
83,0,64,6,41
83,6,62,6,41
84,0,60,3,41
84,3,59,1,41
84,4,57,2,41
84,6,59,3,41
84,9,55,3,41
85,0,54,6,41
85,6,55,6,41
86,0,57,3,41
86,3,62,3,41
86,6,59,3,41
86,9,55,3,41
87,0,50,6,41
88,0,62,3,41
88,3,67,6,41
88,9,66,3,41
89,0,59,3,41
89,3,64,6,41
89,9,62,3,41
90,0,55,3,41
90,3,60,6,41
90,9,59,3,41
91,0,64,6,41
91,6,62,6,41
92,0,60,3,41
92,3,59,1,41
92,4,57,2,41
92,6,59,3,41
92,9,55,3,41
93,0,54,6,41
93,6,55,6,41
94,0,57,3,41
94,3,62,3,41
94,6,59,3,41
94,9,55,3,41
95,0,55,6,41
95,6,62,6,41
96,0,62,3,41
96,3,60,1,41
96,4,59,2,41
96,6,60,3,41
96,9,59,1,41
96,10,57,2,41
97,0,59,3,41
97,3,57,1,41
97,4,55,2,41
97,6,57,3,41
97,9,55,1,41
97,10,54,2,41
98,0,55,3,41
98,3,59,3,41
98,6,60,3,41
98,9,62,3,41
99,0,55,6,41
