beat,position,pitch,duration,program
0,0,70,2,41
0,2,67,1,41
0,3,66,6,41
0,9,67,6,41
1,3,62,3,41
1,6,55,2,41
1,8,58,1,41
1,9,62,3,41
2,0,60,3,41
2,3,58,3,41
2,6,57,2,41
2,8,58,1,41
2,9,55,3,41
3,3,58,1,41
3,4,60,2,41
3,6,57,3,41
4,0,60,2,41
4,2,62,1,41
4,3,58,3,41
4,6,63,3,41
4,9,62,3,41
5,0,60,3,41
5,3,58,3,41
5,6,57,3,41
5,9,55,3,41
6,0,54,3,41
6,3,54,1,41
6,4,55,2,41
6,6,57,3,41
6,9,50,6,41
7,6,62,3,41
7,9,60,1,41
7,10,58,2,41
8,0,57,2,41
8,2,60,1,41
8,3,58,1,41
8,4,62,2,41
8,6,64,2,41
8,8,66,1,41
8,9,67,1,41
8,10,69,2,41
9,0,70,2,41
9,2,67,1,41
9,3,66,6,41
9,9,67,6,41
10,3,62,3,41
10,6,55,2,41
10,8,58,1,41
10,9,62,3,41
11,0,60,3,41
11,3,58,3,41
11,6,57,2,41
11,8,58,1,41
11,9,55,3,41
12,3,58,1,41
12,4,60,2,41
12,6,57,3,41
13,0,60,2,41
13,2,62,1,41
13,3,58,3,41
13,6,63,3,41
13,9,62,3,41
14,0,60,3,41
14,3,58,3,41
14,6,57,3,41
14,9,55,3,41
15,0,54,2,41
15,2,60,1,41
15,3,58,1,41
15,4,57,2,41
15,6,55,2,41
15,8,54,1,41
15,9,55,3,41
16,0,60,4,41
16,4,62,1,41
16,5,63,1,41
16,6,62,3,41
16,9,62,1,41
16,10,60,2,41
17,0,58,2,41
17,2,57,1,41
17,3,55,3,41
18,0,66,3,41
18,3,67,1,41
18,4,66,2,41
18,6,67,2,41
18,8,69,0,41
18,8,69,1,41
18,9,70,6,41
19,3,67,3,41
19,6,69,3,41
19,9,62,3,41
20,0,62,3,41
20,3,67,3,41
20,6,60,3,41
20,9,60,3,41
21,0,65,6,41
21,9,63,6,41
22,6,62,2,41
22,8,65,1,41
22,9,63,1,41
22,10,62,2,41
23,0,60,2,41
23,2,58,1,41
23,3,60,1,41
23,4,63,2,41
23,6,62,2,41
23,8,60,1,41
23,9,58,1,41
23,10,57,2,41
24,0,58,2,41
24,2,62,1,41
24,3,60,1,41
24,4,58,2,41
24,6,57,2,41
24,8,55,1,41
24,9,53,3,41
25,0,65,3,41
25,3,53,3,41
25,6,62,2,41
25,8,58,1,41
25,9,57,1,41
25,10,58,2,41
26,0,63,6,41
26,6,62,2,41
26,8,60,1,41
26,9,58,1,41
26,10,57,2,41
27,0,58,3,41
27,3,53,3,41
27,6,57,3,41
27,9,58,5,41
28,2,60,1,41
28,3,62,1,41
28,4,63,2,41
28,6,62,2,41
28,8,58,1,41
28,9,57,1,41
28,10,58,2,41
29,0,63,6,41
29,6,62,2,41
29,8,60,1,41
29,9,58,1,41
29,10,57,2,41
30,0,58,3,41
30,3,53,3,41
30,6,57,3,41
30,9,58,6,41
31,6,65,3,41
31,9,63,1,41
31,10,62,2,41
32,0,63,3,41
32,3,62,3,41
32,6,62,3,41
32,9,70,3,41
33,0,69,3,41
33,3,67,1,41
33,4,66,2,41
33,6,67,2,41
33,8,67,1,41
33,9,66,6,41
34,3,67,3,41
34,6,62,3,41
34,9,63,1,41
34,10,62,2,41
35,0,63,2,41
35,2,60,1,41
35,3,62,6,41
36,0,62,6,41
36,6,60,3,41
36,9,58,1,41
36,10,57,2,41
37,0,55,3,41
37,3,69,3,41
37,6,70,2,41
37,8,67,1,41
37,9,66,6,41
38,3,67,6,41
38,9,62,3,41
39,0,55,2,41
39,2,58,1,41
39,3,62,3,41
39,6,60,3,41
39,9,58,3,41
40,0,57,2,41
40,2,58,1,41
40,3,55,3,41
40,9,58,1,41
40,10,60,2,41
41,0,57,3,41
41,6,60,2,41
41,8,62,1,41
41,9,58,3,41
42,0,63,3,41
42,3,62,3,41
42,6,60,3,41
42,9,58,3,41
43,0,57,3,41
43,3,55,3,41
43,6,54,3,41
43,9,54,1,41
43,10,55,2,41
44,0,57,3,41
44,3,50,6,41
45,0,62,3,41
45,3,60,1,41
45,4,58,2,41
45,6,57,2,41
45,8,60,1,41
45,9,58,1,41
45,10,62,2,41
46,0,64,2,41
46,2,66,1,41
46,3,67,1,41
46,4,69,2,41
46,6,70,2,41
46,8,67,1,41
46,9,66,6,41
47,3,67,6,41
47,9,62,3,41
48,0,55,2,41
48,2,58,1,41
48,3,62,3,41
48,6,60,3,41
48,9,58,3,41
49,0,57,2,41
49,2,58,1,41
49,3,55,3,41
49,9,58,1,41
49,10,60,2,41
50,0,57,3,41
50,6,60,2,41
50,8,62,1,41
50,9,58,3,41
51,0,63,3,41
51,3,62,3,41
51,6,60,3,41
51,9,58,3,41
52,0,57,3,41
52,3,55,3,41
52,6,54,2,41
52,8,60,1,41
52,9,58,1,41
52,10,57,2,41
53,0,55,2,41
53,2,54,1,41
53,3,55,3,41
53,6,60,4,41
53,10,62,1,41
53,11,63,1,41
54,0,62,3,41
54,3,62,1,41
54,4,60,2,41
54,6,58,2,41
54,8,57,1,41
54,9,55,6,41
