beat,position,pitch,duration,program
0,6,62,6,41
1,0,55,6,41
1,6,67,6,41
2,0,67,12,41
3,0,66,6,41
3,6,67,0,41
3,6,69,0,41
3,6,70,6,41
4,0,69,6,41
4,6,67,6,41
5,0,69,6,41
5,0,70,0,41
5,6,67,3,41
5,9,66,3,41
6,0,67,12,41
7,6,58,6,41
8,0,58,12,41
9,0,57,6,41
9,6,58,0,41
9,6,60,0,41
9,6,62,6,41
10,0,60,6,41
10,6,58,6,41
11,0,60,6,41
11,0,62,0,41
11,6,58,3,41
11,9,57,3,41
12,0,58,3,41
12,3,62,3,41
12,6,60,3,41
12,9,58,3,41
13,0,63,6,41
13,6,62,6,41
14,0,60,6,41
14,6,53,6,41
15,0,65,12,41
17,0,65,12,41
19,0,65,12,41
20,6,65,6,41
21,0,67,3,41
21,3,69,3,41
21,6,70,3,41
21,9,67,3,41
22,0,70,3,41
22,3,69,3,41
22,6,67,3,41
22,9,65,3,41
23,0,67,3,41
23,3,69,3,41
23,6,70,3,41
23,9,67,3,41
24,0,70,3,41
24,3,69,3,41
24,6,67,3,41
24,9,65,3,41
25,0,67,3,41
25,3,69,3,41
25,6,70,3,41
25,9,67,3,41
26,0,69,3,41
26,3,67,3,41
26,6,65,12,41
27,6,64,6,41
28,0,65,6,41
28,6,57,6,41
29,0,58,6,41
29,6,60,6,41
30,0,53,6,41
30,6,65,12,41
31,6,64,6,41
32,0,65,6,41
32,6,57,6,41
33,0,58,6,41
33,6,60,6,41
34,0,53,6,41
34,6,63,6,41
35,0,62,6,41
35,6,60,6,41
36,0,57,6,41
36,0,58,0,41
36,6,55,3,41
36,9,53,3,41
37,0,58,12,41
38,0,57,6,41
38,6,63,6,41
39,0,62,6,41
39,6,60,6,41
40,0,57,6,41
40,0,58,0,41
40,6,55,3,41
40,9,53,3,41
41,0,65,12,41
42,6,65,6,41
43,0,63,3,41
43,3,62,3,41
43,6,60,3,41
43,9,58,3,41
44,0,60,6,41
44,6,57,6,41
45,0,58,6,41
45,6,51,6,41
46,0,53,12,41
47,0,57,12,41
48,0,58,12,41
50,0,63,12,41
51,0,62,6,41
51,6,67,6,41
52,0,65,6,41
52,6,63,12,41
53,6,62,3,41
53,9,60,3,41
54,0,62,3,41
54,3,65,3,41
54,6,63,3,41
54,9,62,3,41
55,0,67,3,41
55,3,65,3,41
55,6,63,3,41
55,9,62,3,41
56,0,60,6,41
56,6,55,6,41
57,0,59,6,41
57,6,55,6,41
58,0,62,6,41
58,6,55,6,41
59,0,60,24,41
61,0,59,12,41
62,0,60,6,41
62,6,62,3,41
62,9,63,3,41
63,0,62,12,41
64,0,65,6,41
64,6,62,3,41
64,9,65,3,41
65,0,63,6,41
65,6,60,3,41
65,9,63,3,41
66,0,62,6,41
66,6,68,6,41
67,0,67,6,41
67,6,65,6,41
68,0,63,6,41
68,6,62,3,41
68,9,60,3,41
69,0,59,6,41
69,6,60,3,41
69,9,62,3,41
70,0,55,36,41
75,0,65,18,41
76,6,67,3,41
76,9,65,3,41
77,0,64,6,41
77,6,62,6,41
78,0,61,6,41
78,6,57,6,41
79,0,64,6,41
79,6,57,6,41
80,0,69,6,41
80,6,57,6,41
81,0,62,6,41
81,6,50,6,41
82,0,55,12,41
84,0,57,12,41
86,0,53,12,41
88,0,58,3,41
88,3,57,3,41
88,6,55,3,41
88,9,53,3,41
89,0,52,6,41
89,6,50,6,41
90,0,61,6,41
90,6,62,3,41
90,9,64,3,41
91,0,57,6,41
91,6,61,6,41
92,0,62,3,41
92,3,64,3,41
92,6,65,3,41
92,9,67,3,41
93,0,69,6,41
93,6,62,6,41
94,0,67,6,41
94,6,70,3,41
