beat,position,pitch,duration,program
0,0,70,3,74
0,3,72,3,74
0,6,74,6,74
1,6,74,3,74
1,9,72,3,74
2,0,70,3,74
2,3,72,3,74
2,6,72,4,74
2,10,70,1,74
2,11,72,1,74
3,0,74,2,74
3,2,70,2,74
3,4,72,2,74
3,6,74,6,74
4,6,79,6,74
5,0,79,6,74
5,6,79,6,74
6,0,79,6,74
6,6,78,6,74
7,0,79,3,74
7,3,81,3,74
7,6,82,6,74
8,0,82,3,74
8,3,81,3,74
8,6,82,3,74
8,9,84,3,74
9,0,81,6,74
9,6,86,6,74
10,6,79,6,74
11,0,79,3,74
11,3,77,3,74
11,6,79,3,74
11,9,80,3,74
12,0,77,6,74
12,6,82,6,74
13,6,75,6,74
14,0,75,3,74
14,3,74,3,74
14,6,75,3,74
14,9,77,3,74
15,0,74,6,74
15,6,79,6,74
16,6,77,6,74
17,0,79,3,74
17,3,77,3,74
17,6,75,3,74
17,9,74,3,74
18,0,75,9,74
18,9,74,3,74
19,0,72,9,74
19,9,75,3,74
20,0,74,3,74
20,3,72,3,74
20,6,70,3,74
20,9,69,3,74
21,0,70,3,74
21,3,72,3,74
21,6,72,9,74
22,3,70,1,74
22,4,72,2,74
22,6,74,18,74
24,0,70,3,74
24,3,72,3,74
24,6,74,6,74
25,6,77,3,74
25,9,75,3,74
26,0,74,3,74
26,3,75,3,74
26,6,75,4,74
26,10,74,1,74
26,11,75,1,74
27,0,77,2,74
27,2,74,2,74
27,4,75,2,74
27,6,77,6,74
28,6,70,6,74
29,0,70,6,74
29,6,70,6,74
30,0,70,6,74
30,6,69,6,74
31,0,70,3,74
31,3,72,3,74
31,6,74,6,74
32,0,74,3,74
32,3,72,3,74
32,6,74,3,74
32,9,75,3,74
33,0,72,6,74
33,6,77,6,74
34,6,77,6,74
35,0,75,3,74
35,3,74,3,74
35,6,75,3,74
35,9,77,3,74
36,0,74,6,74
36,6,79,6,74
37,6,79,6,74
38,0,77,3,74
38,3,76,3,74
38,6,77,3,74
38,9,79,3,74
39,0,76,6,74
39,6,81,6,74
40,6,81,6,74
41,0,79,3,74
41,3,78,3,74
41,6,79,3,74
41,9,81,3,74
42,0,78,9,74
42,9,79,3,74
43,0,81,9,74
43,9,82,3,74
44,0,81,3,74
44,3,82,3,74
44,6,84,3,74
44,9,81,3,74
45,0,82,3,74
45,3,84,3,74
45,6,81,9,74
46,3,79,3,74
46,6,79,18,74
