beat,position,pitch,duration,program
0,0,70,6,74
0,6,72,6,74
1,0,74,6,74
1,6,70,6,74
2,0,77,6,74
2,6,65,6,74
3,0,77,6,74
3,6,75,6,74
4,0,74,6,74
4,6,70,6,74
5,0,72,6,74
5,6,69,6,74
6,0,70,6,74
6,6,65,6,74
7,0,69,6,74
7,6,65,6,74
9,0,69,9,74
9,9,70,1,74
9,10,72,2,74
10,0,70,12,74
11,0,69,12,74
13,0,69,9,74
13,9,70,1,74
13,10,72,2,74
14,0,70,6,74
14,6,65,6,74
15,0,69,6,74
15,6,65,6,74
16,0,77,12,74
17,0,82,12,74
18,0,81,12,74
19,6,79,6,74
20,0,77,6,74
20,6,74,6,74
21,0,75,9,74
21,9,77,3,74
22,0,74,12,74
23,0,72,12,74
24,0,77,6,74
24,6,70,6,74
25,0,77,6,74
25,6,70,6,74
26,0,75,6,74
26,6,74,3,74
26,9,72,3,74
27,0,74,12,74
28,0,79,6,74
28,6,70,6,74
29,0,77,6,74
29,6,70,6,74
30,0,75,6,74
30,6,74,3,74
30,9,72,3,74
31,0,74,12,74
32,0,72,6,74
32,6,75,6,74
33,0,79,6,74
33,6,70,6,74
34,0,69,6,74
34,6,72,6,74
35,0,65,6,74
35,6,69,6,74
36,0,70,6,74
36,6,74,6,74
37,0,72,6,74
37,6,81,6,74
38,0,82,12,74
40,0,74,12,74
41,0,76,12,74
42,0,77,12,74
43,6,74,6,74
44,0,79,12,74
45,0,81,12,74
46,0,82,12,74
47,6,81,6,74
48,0,81,12,74
49,0,79,6,74
49,6,78,6,74
50,0,79,12,74
51,0,81,6,74
51,6,82,4,74
51,10,81,2,74
52,0,79,18,74
53,6,77,6,74
54,0,76,9,74
54,9,74,3,74
55,0,72,6,74
55,6,70,6,74
56,0,69,3,74
56,3,72,3,74
56,6,70,3,74
56,9,72,3,74
57,0,77,3,74
57,3,72,3,74
57,6,70,3,74
57,9,72,3,74
58,0,69,3,74
58,3,72,3,74
58,6,70,3,74
58,9,72,3,74
59,0,65,3,74
59,3,72,3,74
59,6,70,3,74
59,9,72,3,74
60,0,69,3,74
60,3,72,3,74
60,6,70,3,74
60,9,72,3,74
61,0,77,3,74
61,3,72,3,74
61,6,70,3,74
61,9,72,3,74
62,0,69,3,74
62,3,72,3,74
62,6,70,3,74
62,9,72,3,74
63,0,65,3,74
63,3,72,3,74
63,6,70,3,74
63,9,72,3,74
64,0,77,3,74
64,3,72,3,74
64,6,79,3,74
64,9,72,3,74
65,0,81,3,74
65,3,72,3,74
65,6,81,3,74
65,9,72,3,74
66,0,75,3,74
66,3,72,3,74
66,6,77,3,74
66,9,72,3,74
67,0,79,3,74
67,3,72,3,74
67,6,79,3,74
67,9,72,3,74
68,0,77,3,74
68,3,72,3,74
68,6,79,3,74
68,9,72,3,74
69,0,81,3,74
69,3,72,3,74
69,6,79,3,74
69,9,72,3,74
70,0,77,3,74
70,3,72,3,74
70,6,77,3,74
70,9,72,3,74
71,0,76,3,74
71,3,72,3,74
71,6,76,3,74
71,9,72,3,74
72,0,69,3,74
72,3,69,3,74
72,6,70,3,74
72,9,72,3,74
73,0,74,3,74
73,3,74,3,74
73,6,72,3,74
73,9,74,3,74
74,0,67,3,74
74,3,67,3,74
74,6,69,3,74
74,9,70,3,74
75,0,72,3,74
75,3,72,3,74
75,6,74,3,74
75,9,76,3,74
76,0,77,3,74
76,3,76,3,74
76,6,77,3,74
76,9,74,3,74
77,0,70,6,74
77,6,72,6,74
78,0,65,12,74
80,0,77,12,74
81,0,82,12,74
82,0,81,12,74
83,6,79,6,74
84,0,77,6,74
84,6,74,6,74
85,0,75,9,74
85,9,77,3,74
86,0,74,12,74
87,0,72,12,74
88,0,70,6,74
88,6,74,6,74
89,0,72,6,74
89,6,75,6,74
90,0,74,9,74
90,9,75,1,74
90,10,77,2,74
91,0,72,6,74
91,6,65,6,74
92,0,70,6,74
92,6,74,6,74
93,0,72,6,74
93,6,75,6,74
94,0,74,12,74
95,0,72,12,74
96,0,70,6,74
96,6,72,6,74
97,0,74,6,74
97,6,70,6,74
98,0,77,6,74
98,6,65,6,74
99,0,77,6,74
99,6,75,6,74
100,0,74,6,74
100,6,70,6,74
101,0,72,6,74
101,6,69,6,74
102,0,70,6,74
102,6,65,6,74
103,0,69,6,74
103,6,65,6,74
104,0,75,6,74
104,6,74,3,74
104,9,72,3,74
105,0,74,12,74
106,0,79,6,74
106,6,70,6,74
107,0,77,6,74
107,6,70,6,74
108,0,75,6,74
108,6,74,3,74
108,9,72,3,74
109,0,74,12,74
110,0,79,6,74
110,6,70,6,74
111,0,77,6,74
111,6,70,6,74
112,0,75,12,74
113,0,75,12,74
114,0,75,18,74
115,6,74,3,74
115,9,72,3,74
116,0,74,6,74
116,6,70,6,74
117,0,65,6,74
117,6,77,6,74
118,0,70,12,74
120,0,71,3,74
120,3,74,3,74
120,6,72,3,74
120,9,74,3,74
121,0,71,3,74
121,3,74,3,74
121,6,72,3,74
121,9,71,3,74
122,0,72,3,74
122,3,75,3,74
122,6,74,3,74
122,9,75,3,74
123,0,72,3,74
123,3,75,3,74
123,6,74,3,74
123,9,72,3,74
124,0,71,3,74
124,3,74,3,74
124,6,72,3,74
124,9,74,3,74
125,0,71,3,74
125,3,74,3,74
125,6,72,3,74
125,9,71,3,74
126,0,72,3,74
126,3,75,3,74
126,6,74,3,74
126,9,75,3,74
127,0,72,3,74
127,3,75,3,74
127,6,74,3,74
127,9,75,3,74
128,0,77,3,74
128,3,80,3,74
128,6,80,3,74
128,9,80,3,74
129,0,77,3,74
129,3,80,3,74
129,6,80,3,74
129,9,80,3,74
130,0,70,3,74
130,3,74,3,74
130,6,72,3,74
130,9,74,3,74
131,0,70,3,74
131,3,74,3,74
131,6,72,3,74
131,9,74,3,74
132,0,75,3,74
132,3,79,3,74
132,6,79,3,74
132,9,79,3,74
133,0,75,3,74
133,3,79,3,74
133,6,79,3,74
133,9,79,3,74
134,0,69,3,74
134,3,72,3,74
134,6,70,3,74
134,9,72,3,74
135,0,69,3,74
135,3,72,3,74
135,6,70,3,74
135,9,72,3,74
136,0,74,3,74
136,3,77,3,74
136,6,77,3,74
136,9,77,3,74
137,0,74,3,74
137,3,77,3,74
137,6,77,3,74
137,9,77,3,74
138,0,67,3,74
138,3,69,3,74
138,6,71,3,74
138,9,72,3,74
139,0,74,3,74
139,3,75,3,74
139,6,77,6,74
140,6,75,3,74
140,9,74,3,74
141,0,72,6,74
141,6,71,6,74
142,0,72,12,74
144,0,72,3,74
144,3,74,3,74
144,6,75,3,74
144,9,77,3,74
145,0,79,3,74
145,3,75,3,74
145,6,77,3,74
145,9,79,3,74
146,0,72,12,74
147,0,79,3,74
147,3,77,3,74
147,6,75,6,74
149,0,75,3,74
149,3,74,3,74
149,6,72,6,74
151,0,79,3,74
151,3,77,3,74
151,6,75,6,74
152,0,75,3,74
152,3,74,3,74
152,6,72,6,74
153,0,72,3,74
153,3,70,3,74
153,6,69,6,74
154,0,69,3,74
154,3,67,3,74
154,6,65,6,74
155,0,72,3,74
155,3,70,3,74
155,6,69,6,74
156,0,70,3,74
156,3,69,3,74
156,6,70,3,74
156,9,72,3,74
157,0,70,3,74
157,3,74,3,74
157,6,72,3,74
157,9,70,3,74
158,0,69,3,74
158,3,70,3,74
158,6,72,3,74
158,9,70,3,74
159,0,69,3,74
159,3,65,3,74
159,6,67,3,74
159,9,69,3,74
