beat,position,pitch,duration,program
0,3,74,1,74
0,4,75,2,74
0,6,77,3,74
0,9,77,3,74
1,0,72,3,74
1,3,74,1,74
1,4,75,2,74
1,6,77,3,74
1,9,77,3,74
2,0,70,3,74
2,3,79,1,74
2,4,77,2,74
2,6,75,2,74
2,8,74,1,74
2,9,72,1,74
2,10,70,2,74
3,0,69,3,74
3,3,84,1,74
3,4,82,2,74
3,6,81,2,74
3,8,79,1,74
3,9,77,1,74
3,10,75,2,74
4,0,74,2,74
4,2,72,1,74
4,3,70,3,74
4,9,70,3,74
5,0,69,6,74
5,9,69,3,74
6,0,67,6,74
6,9,65,3,74
7,0,65,6,74
7,9,69,3,74
8,0,70,3,74
8,3,74,1,74
8,4,79,2,74
8,6,79,2,74
8,8,77,1,74
8,9,77,1,74
8,10,76,2,74
9,0,76,2,74
9,2,74,1,74
9,3,72,3,74
9,9,73,3,74
10,0,74,3,74
10,3,77,1,74
10,4,82,2,74
10,6,82,2,74
10,8,81,1,74
10,9,81,1,74
10,10,79,2,74
11,0,79,2,74
11,2,77,1,74
11,3,76,3,74
11,9,76,3,74
12,0,77,3,74
12,3,81,1,74
12,4,82,2,74
12,6,84,3,74
12,9,84,3,74
13,0,79,3,74
13,3,81,1,74
13,4,82,2,74
13,6,84,3,74
13,9,84,3,74
14,0,77,3,74
14,3,86,1,74
14,4,84,2,74
14,6,82,2,74
14,8,81,1,74
14,9,79,1,74
14,10,77,2,74
15,0,76,3,74
15,3,79,1,74
15,4,77,2,74
15,6,76,2,74
15,8,74,1,74
15,9,72,1,74
15,10,70,2,74
16,0,69,3,74
16,3,74,3,74
16,6,70,3,74
16,9,72,3,74
17,0,65,6,74
17,9,81,3,74
18,0,82,6,74
18,9,74,3,74
19,0,75,2,74
19,2,70,1,74
19,3,75,1,74
19,4,80,2,74
19,6,77,4,74
19,10,75,2,74
20,0,75,3,74
20,3,79,1,74
20,4,75,2,74
20,6,75,2,74
20,8,79,1,74
20,9,79,1,74
20,10,75,2,74
21,0,75,2,74
21,2,74,1,74
21,3,77,1,74
21,4,74,2,74
21,6,74,2,74
21,8,77,1,74
21,9,77,1,74
21,10,74,2,74
22,0,74,2,74
22,2,72,1,74
22,3,75,1,74
22,4,72,2,74
22,6,72,2,74
22,8,75,1,74
22,9,75,1,74
22,10,72,2,74
23,0,72,2,74
23,2,70,1,74
23,3,77,1,74
23,4,75,2,74
23,6,75,2,74
23,8,74,1,74
23,9,72,1,74
23,10,70,2,74
24,0,69,6,74
25,2,77,1,74
25,3,77,1,74
25,4,77,2,74
25,6,77,2,74
25,8,74,0,74
25,8,75,1,74
25,9,77,1,74
25,10,69,2,74
26,0,70,6,74
26,9,74,3,74
27,0,72,2,74
27,2,84,1,74
27,3,84,1,74
27,4,84,2,74
27,6,84,2,74
27,8,81,0,74
27,8,82,1,74
27,9,84,1,74
27,10,75,2,74
28,0,81,2,74
28,2,77,1,74
28,3,82,1,74
28,4,84,2,74
28,6,81,4,74
28,10,82,2,74
29,0,82,3,74
29,3,70,3,74
29,6,70,9,74
30,3,79,1,74
30,4,77,2,74
30,6,76,2,74
30,8,74,1,74
30,9,74,1,74
30,10,72,2,74
31,0,72,3,74
31,3,72,5,74
31,8,70,1,74
31,9,70,1,74
31,10,69,2,74
32,0,69,6,74
33,2,82,1,74
33,3,82,1,74
33,4,82,2,74
33,6,82,2,74
33,8,79,0,74
33,8,81,1,74
33,9,82,1,74
33,10,74,2,74
34,0,75,3,74
34,3,72,1,74
34,4,74,2,74
34,6,75,6,74
35,0,75,3,74
35,3,74,1,74
35,4,75,2,74
35,6,72,4,74
35,10,70,2,74
36,0,70,2,74
36,2,74,1,74
36,3,77,1,74
36,4,82,2,74
36,6,81,2,74
36,8,82,0,74
36,8,84,1,74
36,9,77,1,74
36,10,81,2,74
37,0,82,6,74
