beat,position,pitch,duration,program
0,0,70,6,74
0,9,70,3,74
1,0,69,6,74
1,9,69,3,74
2,0,67,6,74
2,9,67,3,74
3,0,65,6,74
3,9,69,3,74
4,0,70,3,74
4,3,74,1,74
4,4,75,2,74
4,6,77,3,74
4,9,77,3,74
5,0,72,3,74
5,3,74,1,74
5,4,75,2,74
5,6,77,3,74
5,9,77,3,74
6,0,70,3,74
6,3,79,1,74
6,4,79,2,74
6,6,75,2,74
6,8,74,1,74
6,9,72,1,74
6,10,70,2,74
7,0,69,3,74
7,3,84,1,74
7,4,82,2,74
7,6,81,2,74
7,8,79,1,74
7,9,77,1,74
7,10,75,2,74
8,0,74,2,74
8,2,72,1,74
8,3,70,3,74
8,9,71,3,74
9,0,72,3,74
9,3,76,1,74
9,4,81,2,74
9,6,81,2,74
9,8,79,1,74
9,9,79,1,74
9,10,77,2,74
10,0,77,2,74
10,2,76,1,74
10,3,74,3,74
10,9,74,3,74
11,0,76,3,74
11,3,79,1,74
11,4,84,2,74
11,6,84,2,74
11,8,82,1,74
11,9,82,1,74
11,10,81,2,74
12,0,81,2,74
12,2,79,1,74
12,3,77,3,74
12,9,77,3,74
13,0,76,6,74
13,9,76,3,74
14,0,74,6,74
14,9,74,3,74
15,0,72,6,74
15,9,76,3,74
16,0,77,2,74
16,2,72,1,74
16,3,77,1,74
16,4,82,2,74
16,6,79,4,74
16,10,77,2,74
17,0,77,3,74
17,3,84,1,74
17,4,82,2,74
17,6,81,2,74
17,8,79,1,74
17,9,77,1,74
17,10,75,2,74
18,0,74,3,74
18,3,77,1,74
18,4,75,2,74
18,6,74,2,74
18,8,72,1,74
18,9,70,1,74
18,10,68,2,74
19,0,67,3,74
19,3,79,1,74
19,4,77,2,74
19,6,70,3,74
19,9,74,3,74
20,0,75,3,74
20,3,75,1,74
20,4,79,2,74
20,6,79,2,74
20,8,75,1,74
20,9,75,1,74
20,10,79,2,74
21,0,79,2,74
21,2,77,1,74
21,3,74,1,74
21,4,77,2,74
21,6,77,2,74
21,8,74,1,74
21,9,74,1,74
21,10,77,2,74
22,0,77,2,74
22,2,75,1,74
22,3,72,1,74
22,4,75,2,74
22,6,75,2,74
22,8,72,1,74
22,9,72,1,74
22,10,75,2,74
23,0,75,2,74
23,2,74,1,74
23,3,74,1,74
23,4,72,2,74
23,6,79,2,74
23,8,77,1,74
23,9,75,1,74
23,10,74,2,74
24,0,72,2,74
24,2,77,1,74
24,3,77,1,74
24,4,77,2,74
24,6,77,2,74
24,8,74,0,74
24,8,75,1,74
24,9,77,1,74
24,10,69,2,74
25,0,70,6,74
25,9,69,3,74
26,0,67,2,74
26,2,82,1,74
26,3,82,1,74
26,4,82,2,74
26,6,82,2,74
26,8,79,0,74
26,8,81,1,74
26,9,82,1,74
26,10,74,2,74
27,0,75,3,74
27,3,87,3,74
27,6,87,8,74
28,2,87,1,74
28,3,86,1,74
28,4,87,2,74
28,6,84,4,74
28,10,82,2,74
29,0,82,3,74
29,3,82,1,74
29,4,81,2,74
29,6,79,2,74
29,8,77,1,74
29,9,77,1,74
29,10,76,2,74
30,0,76,3,74
30,3,70,3,74
30,6,70,9,74
31,3,82,1,74
31,4,81,2,74
31,6,81,2,74
31,8,79,1,74
31,9,79,1,74
31,10,77,2,74
32,0,77,2,74
32,2,84,1,74
32,3,84,1,74
32,4,84,2,74
32,6,84,2,74
32,8,81,0,74
32,8,82,1,74
32,9,84,1,74
32,10,75,2,74
33,0,74,6,74
33,9,74,3,74
34,0,72,2,74
34,2,79,1,74
34,3,79,1,74
34,4,79,2,74
34,6,79,2,74
34,8,75,0,74
34,8,77,1,74
34,9,79,1,74
34,10,70,2,74
35,0,69,2,74
35,2,81,1,74
35,3,82,1,74
35,4,84,2,74
35,6,81,4,74
35,10,82,2,74
36,0,82,3,74
36,3,74,1,74
36,4,70,2,74
36,6,77,3,74
36,9,65,3,74
37,0,70,6,74
