beat,position,pitch,duration,program
0,0,72,6,74
0,6,77,6,74
1,0,74,3,74
1,3,76,1,74
1,4,77,2,74
1,6,79,3,74
1,9,77,3,74
2,0,76,3,74
2,3,72,3,74
2,6,81,3,74
2,9,72,3,74
3,0,74,3,74
3,3,70,3,74
3,6,79,3,74
3,9,70,3,74
4,0,72,3,74
4,3,69,3,74
4,6,77,3,74
4,9,69,3,74
5,0,70,3,74
5,3,67,3,74
5,6,76,3,74
5,9,67,3,74
6,0,69,3,74
6,3,77,3,74
6,6,67,3,74
6,9,76,3,74
7,0,65,3,74
7,3,77,3,74
7,6,76,3,74
7,9,72,3,74
8,0,77,6,74
8,6,89,6,74
9,3,88,1,74
9,4,86,2,74
9,6,84,3,74
9,9,86,1,74
9,10,88,2,74
10,0,77,3,74
10,3,86,1,74
10,4,84,2,74
10,6,83,3,74
10,9,84,1,74
10,10,86,2,74
11,0,76,3,74
11,3,84,1,74
11,4,83,2,74
11,6,81,3,74
11,9,83,1,74
11,10,84,2,74
12,0,74,3,74
12,3,83,1,74
12,4,81,2,74
12,6,79,3,74
12,9,81,1,74
12,10,83,2,74
13,0,72,3,74
13,3,74,1,74
13,4,76,2,74
13,6,77,3,74
13,9,76,1,74
13,10,74,2,74
14,0,76,6,74
15,2,72,1,74
15,3,74,1,74
15,4,76,2,74
15,6,77,2,74
15,8,79,1,74
15,9,81,1,74
15,10,83,2,74
16,0,84,12,74
17,0,84,6,74
17,6,83,6,74
18,0,82,6,74
18,6,81,6,74
19,0,81,6,74
19,6,79,6,74
20,0,79,6,74
20,6,78,6,74
21,0,79,2,74
21,2,76,1,74
21,3,77,1,74
21,4,79,2,74
21,6,81,2,74
21,8,69,1,74
21,9,71,1,74
21,10,72,2,74
22,0,74,2,74
22,2,72,1,74
22,3,74,1,74
22,4,76,2,74
22,6,74,2,74
22,8,76,1,74
22,9,77,1,74
22,10,79,2,74
23,0,72,6,74
23,6,77,6,74
24,0,74,3,74
24,3,76,1,74
24,4,77,2,74
24,6,79,3,74
24,9,77,3,74
25,0,76,3,74
25,3,72,3,74
25,6,81,3,74
25,9,72,3,74
26,0,74,3,74
26,3,70,3,74
26,6,79,3,74
26,9,70,3,74
27,0,72,3,74
27,3,69,3,74
27,6,77,3,74
27,9,69,3,74
28,0,70,3,74
28,3,67,3,74
28,6,76,3,74
28,9,67,3,74
29,0,69,3,74
29,3,77,3,74
29,6,67,3,74
29,9,76,3,74
30,0,65,3,74
30,3,67,1,74
30,4,69,2,74
30,6,70,3,74
30,9,69,1,74
30,10,67,2,74
31,0,69,3,74
31,3,70,1,74
31,4,72,2,74
31,6,74,3,74
31,9,72,1,74
31,10,70,2,74
32,0,72,3,74
32,3,74,1,74
32,4,76,2,74
32,6,77,3,74
32,9,76,1,74
32,10,74,2,74
33,0,76,3,74
33,3,77,1,74
33,4,79,2,74
33,6,81,3,74
33,9,79,1,74
33,10,77,2,74
34,0,79,3,74
34,3,72,3,74
35,0,75,6,74
36,0,74,6,74
37,0,78,6,74
38,3,79,3,74
38,6,79,3,74
38,9,79,3,74
39,0,76,2,74
39,2,77,1,74
39,3,79,3,74
39,6,79,3,74
39,9,79,3,74
40,0,73,3,74
40,3,79,3,74
40,6,79,3,74
40,9,79,3,74
41,0,69,3,74
41,3,81,1,74
41,4,79,2,74
41,6,81,2,74
41,8,79,1,74
41,9,77,1,74
41,10,76,2,74
42,0,77,2,74
42,2,76,1,74
42,3,77,1,74
42,4,79,2,74
42,6,77,2,74
42,8,79,1,74
42,9,76,1,74
42,10,77,2,74
43,0,79,2,74
43,2,77,1,74
43,3,79,1,74
43,4,81,2,74
43,6,79,2,74
43,8,81,1,74
43,9,77,1,74
43,10,79,2,74
44,0,81,6,74
44,6,86,6,74
45,0,83,3,74
45,3,84,1,74
45,4,86,2,74
45,6,88,3,74
45,9,86,3,74
46,0,85,3,74
46,3,81,3,74
46,6,89,3,74
46,9,81,3,74
47,0,82,3,74
47,3,79,3,74
47,6,88,3,74
47,9,79,3,74
48,0,81,3,74
48,3,77,3,74
48,6,86,3,74
48,9,77,3,74
49,0,79,3,74
49,3,76,3,74
49,6,85,3,74
49,9,76,3,74
50,0,77,3,74
50,3,86,3,74
50,6,76,3,74
50,9,85,3,74
51,0,74,3,74
51,3,76,1,74
51,4,77,2,74
51,6,79,3,74
51,9,77,1,74
51,10,76,2,74
52,0,77,3,74
52,3,86,3,74
52,6,76,3,74
52,9,85,3,74
53,0,74,3,74
53,3,70,3,74
53,6,67,3,74
53,9,69,3,74
54,0,74,2,74
54,2,81,1,74
54,3,79,1,74
54,4,81,2,74
54,6,77,2,74
54,8,81,1,74
54,9,79,1,74
54,10,81,2,74
55,0,74,2,74
55,2,81,1,74
55,3,79,1,74
55,4,81,2,74
55,6,78,2,74
55,8,81,1,74
55,9,79,1,74
55,10,81,2,74
56,0,72,2,74
56,2,71,1,74
56,3,72,1,74
56,4,74,2,74
56,6,72,2,74
56,8,75,1,74
56,9,74,1,74
56,10,72,2,74
57,0,70,6,74
57,6,74,3,74
58,0,71,3,74
58,6,67,3,74
59,0,69,3,74
59,6,71,3,74
60,0,72,6,74
60,6,77,6,74
61,0,74,3,74
61,3,76,1,74
61,4,77,2,74
61,6,79,3,74
61,9,77,3,74
62,0,76,3,74
62,3,72,3,74
62,6,87,6,74
63,3,86,1,74
63,4,84,2,74
63,6,82,3,74
63,9,84,1,74
63,10,86,2,74
64,0,75,3,74
64,3,84,1,74
64,4,82,2,74
64,6,81,3,74
64,9,82,1,74
64,10,84,2,74
65,0,74,3,74
65,3,82,1,74
65,4,81,2,74
65,6,79,3,74
65,9,81,1,74
65,10,82,2,74
66,0,72,3,74
66,3,81,1,74
66,4,79,2,74
66,6,77,3,74
66,9,79,1,74
66,10,81,2,74
67,0,70,3,74
67,3,86,3,74
67,6,69,3,74
67,9,84,3,74
68,0,74,3,74
68,3,82,3,74
68,6,72,3,74
68,9,81,3,74
69,0,70,3,74
69,3,86,3,74
69,6,69,3,74
69,9,84,3,74
70,0,74,3,74
70,3,70,3,74
70,6,77,3,74
70,9,65,3,74
71,0,70,2,74
71,2,65,1,74
71,3,67,1,74
71,4,69,2,74
71,6,70,2,74
71,8,72,1,74
71,9,74,1,74
71,10,76,2,74
72,0,77,6,74
73,2,65,1,74
73,3,67,1,74
73,4,69,2,74
73,6,70,2,74
73,8,74,1,74
73,9,76,1,74
73,10,77,2,74
74,0,79,2,74
74,2,79,1,74
74,3,81,1,74
74,4,82,2,74
74,6,84,2,74
74,8,72,1,74
74,9,74,1,74
74,10,76,2,74
75,0,77,2,74
75,2,77,1,74
75,3,79,1,74
75,4,81,2,74
75,6,82,2,74
75,8,70,1,74
75,9,72,1,74
75,10,74,2,74
76,0,76,2,74
76,2,76,1,74
76,3,77,1,74
76,4,79,2,74
76,6,81,2,74
76,8,69,1,74
76,9,71,1,74
76,10,72,2,74
77,0,74,2,74
77,2,72,1,74
77,3,74,1,74
77,4,76,2,74
77,6,74,2,74
77,8,76,1,74
77,9,77,1,74
77,10,79,2,74
78,0,72,3,74
78,3,74,1,74
78,4,76,2,74
78,6,77,12,74
79,6,76,6,74
80,3,77,3,74
80,6,76,3,74
80,9,72,3,74
81,0,77,6,74
81,6,89,6,74
82,3,88,1,74
82,4,86,2,74
82,6,84,3,74
82,9,86,1,74
82,10,88,2,74
83,0,77,3,74
83,3,86,1,74
83,4,84,2,74
83,6,83,3,74
83,9,84,1,74
83,10,86,2,74
84,0,76,3,74
84,3,84,1,74
84,4,83,2,74
84,6,81,3,74
84,9,83,1,74
84,10,84,2,74
85,0,77,3,74
85,3,83,1,74
85,4,81,2,74
85,6,79,3,74
85,9,81,1,74
85,10,83,2,74
86,0,72,3,74
86,3,74,1,74
86,4,76,2,74
86,6,77,3,74
86,9,76,1,74
86,10,74,2,74
87,0,76,3,74
87,3,84,3,74
87,6,74,3,74
87,9,83,3,74
88,0,72,3,74
88,3,74,1,74
88,4,76,2,74
88,6,77,3,74
88,9,76,1,74
88,10,74,2,74
89,0,76,3,74
89,3,77,1,74
89,4,79,2,74
89,6,81,3,74
89,9,79,1,74
89,10,77,2,74
90,0,79,3,74
90,3,72,3,74
90,9,69,3,74
91,0,70,2,74
91,2,69,1,74
91,3,70,1,74
91,4,72,2,74
91,6,74,2,74
91,8,72,1,74
91,9,74,1,74
91,10,76,2,74
92,0,77,2,74
92,2,76,1,74
92,3,77,1,74
92,4,79,2,74
92,6,81,2,74
92,8,79,1,74
92,9,81,1,74
92,10,82,2,74
93,0,84,3,74
93,3,72,3,74
93,6,74,3,74
93,9,70,3,74
94,0,72,3,74
94,3,69,3,74
94,6,70,3,74
94,9,72,3,74
95,2,65,1,74
95,3,67,1,74
95,4,69,2,74
95,6,70,2,74
95,8,69,1,74
95,9,70,1,74
95,10,72,2,74
96,0,77,2,74
96,2,65,1,74
96,3,67,1,74
96,4,69,2,74
96,6,70,2,74
96,8,69,1,74
96,9,70,1,74
96,10,72,2,74
97,0,74,2,74
97,2,72,1,74
97,3,74,1,74
97,4,76,2,74
97,6,77,2,74
97,8,69,1,74
97,9,70,1,74
97,10,72,2,74
98,0,74,2,74
98,2,72,1,74
98,3,74,1,74
98,4,76,2,74
98,6,77,2,74
98,8,76,1,74
98,9,77,1,74
98,10,79,2,74
99,0,81,2,74
99,2,72,1,74
99,3,74,1,74
99,4,76,2,74
99,6,77,2,74
99,8,76,1,74
99,9,77,1,74
99,10,79,2,74
100,0,81,3,74
100,3,79,3,74
100,6,81,3,74
100,9,74,3,74
101,0,72,3,74
101,3,77,3,74
101,6,70,3,74
101,9,72,3,74
102,0,65,12,74
