beat,position,pitch,duration,program
0,0,81,2,7
0,2,82,1,7
0,3,82,6,7
0,9,84,1,7
0,10,82,1,7
0,11,81,1,7
1,0,82,0,7
1,1,81,1,7
1,2,77,1,7
1,2,79,0,7
1,3,84,1,7
1,4,77,2,7
1,6,86,3,7
1,9,82,6,7
2,3,79,3,7
3,0,77,2,7
3,2,72,1,7
3,3,81,1,7
3,4,72,2,7
3,6,77,2,7
3,8,72,1,7
3,9,79,1,7
3,10,72,2,7
4,0,82,2,7
4,2,72,1,7
4,3,79,1,7
4,4,72,2,7
4,6,81,2,7
4,8,72,1,7
4,9,84,1,7
4,10,72,2,7
5,0,82,2,7
5,2,72,1,7
5,3,81,1,7
5,4,82,2,7
5,6,81,2,7
5,8,79,1,7
5,9,77,1,7
5,10,79,2,7
6,0,81,2,7
6,2,82,1,7
6,3,82,6,7
6,9,84,1,7
6,10,82,1,7
6,11,81,1,7
7,0,82,0,7
7,1,81,1,7
7,2,77,1,7
7,2,79,0,7
7,3,84,1,7
7,4,77,2,7
7,6,86,3,7
7,9,82,6,7
8,3,79,3,7
9,0,72,3,7
9,3,74,3,7
9,6,76,3,7
9,9,77,3,7
10,6,76,1,7
10,7,77,1,7
10,8,79,1,7
10,9,77,1,7
10,10,79,1,7
10,11,81,1,7
11,0,79,1,7
11,1,81,1,7
11,2,82,1,7
11,3,81,1,7
11,4,82,1,7
11,5,79,1,7
11,6,81,1,7
11,7,82,1,7
11,8,79,1,7
11,9,81,1,7
11,10,79,1,7
11,11,81,1,7
12,0,79,1,7
12,1,81,1,7
12,2,82,1,7
12,3,81,1,7
12,4,83,1,7
12,5,84,1,7
12,6,83,1,7
12,7,84,1,7
12,8,86,1,7
12,9,84,1,7
12,10,86,1,7
12,11,83,1,7
13,0,84,1,7
13,1,86,1,7
13,2,83,1,7
13,3,84,1,7
13,4,83,1,7
13,5,84,1,7
13,6,86,2,7
13,8,84,1,7
13,9,83,1,7
13,10,81,2,7
14,0,79,2,7
14,2,77,1,7
14,3,84,1,7
14,4,83,2,7
14,6,81,2,7
14,8,79,1,7
14,9,77,1,7
14,10,76,2,7
15,0,77,3,7
15,9,76,3,7
16,6,74,2,7
16,8,72,1,7
16,9,77,1,7
16,10,76,2,7
17,0,74,2,7
17,2,72,1,7
17,3,83,1,7
17,4,79,2,7
17,6,81,2,7
17,8,83,1,7
17,9,84,3,7
18,0,84,2,7
18,2,86,1,7
18,3,83,5,7
18,8,84,1,7
