beat,position,pitch,duration,program
0,0,77,2,7
0,2,79,1,7
0,3,81,1,7
0,4,82,2,7
0,6,84,3,7
0,9,86,1,7
0,10,88,2,7
1,0,89,3,7
1,3,77,3,7
1,9,76,3,7
2,0,74,2,7
2,2,76,1,7
2,3,77,1,7
2,4,79,2,7
2,6,81,3,7
2,9,82,1,7
2,10,84,2,7
3,0,86,3,7
3,3,74,3,7
3,9,72,3,7
4,0,70,2,7
4,2,72,1,7
4,3,74,1,7
4,4,76,2,7
4,6,77,3,7
4,9,79,1,7
4,10,81,2,7
5,0,82,3,7
5,3,70,3,7
5,9,69,3,7
6,0,67,2,7
6,2,74,1,7
6,3,72,1,7
6,4,70,2,7
6,6,82,2,7
6,8,74,1,7
6,9,72,1,7
6,10,70,2,7
7,0,76,2,7
7,2,79,1,7
7,3,77,1,7
7,4,76,2,7
7,6,82,2,7
7,8,79,1,7
7,9,77,1,7
7,10,76,2,7
8,0,81,2,7
8,2,69,1,7
8,3,67,1,7
8,4,65,2,7
8,6,72,2,7
8,8,69,1,7
8,9,67,1,7
8,10,65,2,7
9,0,82,2,7
9,2,81,1,7
9,3,79,1,7
9,4,77,2,7
9,6,86,2,7
9,8,84,1,7
9,9,82,1,7
9,10,81,2,7
10,0,82,6,7
10,9,81,1,7
10,10,79,2,7
11,0,81,2,7
11,2,82,1,7
11,3,84,1,7
11,4,86,2,7
11,6,76,4,7
11,10,77,2,7
12,0,77,2,7
12,2,79,1,7
12,3,81,1,7
12,4,82,2,7
12,6,84,3,7
12,9,86,1,7
12,10,88,2,7
13,0,89,3,7
13,3,77,3,7
13,9,76,3,7
14,0,74,2,7
14,2,72,1,7
14,3,74,1,7
14,4,71,2,7
14,6,72,2,7
14,8,71,1,7
14,9,72,1,7
14,10,69,2,7
15,0,71,2,7
15,2,69,1,7
15,3,67,3,7
15,9,78,3,7
16,0,79,2,7
16,2,78,1,7
16,3,79,1,7
16,4,77,2,7
16,6,79,2,7
16,8,78,1,7
16,9,79,1,7
16,10,79,2,7
17,0,79,2,7
17,2,76,1,7
17,3,77,3,7
17,9,77,3,7
18,0,77,2,7
18,2,76,1,7
18,3,77,1,7
18,4,67,2,7
18,6,77,2,7
18,8,76,1,7
18,9,77,1,7
18,10,77,2,7
19,0,77,2,7
19,2,74,1,7
19,3,76,3,7
19,9,76,3,7
20,0,76,2,7
20,2,74,1,7
20,3,76,1,7
20,4,69,2,7
20,6,74,2,7
20,8,72,1,7
20,9,74,1,7
20,10,71,2,7
21,0,72,2,7
21,2,79,1,7
21,3,84,1,7
21,4,86,2,7
21,6,83,4,7
21,10,84,2,7
22,0,84,6,7
23,3,76,1,7
23,4,77,2,7
23,6,79,2,7
23,8,76,1,7
23,9,77,1,7
23,10,74,2,7
24,0,76,2,7
24,2,74,1,7
24,3,72,3,7
24,9,73,3,7
25,0,74,2,7
25,2,76,1,7
25,3,77,1,7
25,4,79,2,7
25,6,81,2,7
25,8,82,0,7
25,8,84,1,7
25,9,82,1,7
25,10,81,2,7
26,0,82,2,7
26,2,86,1,7
26,3,81,1,7
26,4,86,2,7
26,6,82,2,7
26,8,86,1,7
26,9,78,1,7
26,10,86,2,7
27,0,79,3,7
27,3,78,3,7
27,6,79,3,7
27,9,81,3,7
28,0,82,2,7
28,2,86,1,7
28,3,81,1,7
28,4,86,2,7
28,6,82,2,7
28,8,86,1,7
28,9,81,1,7
28,10,86,2,7
29,0,82,2,7
29,2,81,1,7
29,3,79,1,7
29,4,81,2,7
29,6,81,4,7
29,10,79,2,7
30,0,79,6,7
31,0,72,2,7
31,2,74,1,7
31,3,76,1,7
31,4,77,2,7
31,6,79,2,7
31,8,81,1,7
31,9,82,1,7
31,10,84,2,7
32,0,81,2,7
32,2,82,1,7
32,3,84,3,7
32,8,81,1,7
32,9,82,1,7
32,10,79,2,7
33,0,77,2,7
33,2,79,1,7
33,3,81,1,7
33,4,82,2,7
33,6,84,3,7
33,9,86,1,7
33,10,88,2,7
34,0,89,3,7
34,3,77,3,7
34,9,76,3,7
35,0,74,2,7
35,2,76,1,7
35,3,77,1,7
35,4,79,2,7
35,6,81,3,7
35,9,82,1,7
35,10,84,2,7
36,0,86,3,7
36,3,74,3,7
36,9,72,3,7
37,0,70,2,7
37,2,72,1,7
37,3,74,1,7
37,4,76,2,7
37,6,77,3,7
37,9,79,1,7
37,10,81,2,7
38,0,82,3,7
38,3,70,3,7
38,9,81,3,7
39,0,79,2,7
39,2,77,1,7
39,3,79,1,7
39,4,76,2,7
39,6,77,2,7
39,8,76,1,7
39,9,77,1,7
