beat,position,pitch,duration,program
0,0,77,2,74
0,2,79,1,74
0,3,81,1,74
0,4,82,2,74
0,6,84,3,74
0,9,86,1,74
0,10,88,2,74
1,0,89,3,74
1,3,77,3,74
1,9,76,3,74
2,0,74,2,74
2,2,76,1,74
2,3,77,1,74
2,4,79,2,74
2,6,81,3,74
2,9,82,1,74
2,10,84,2,74
3,0,86,3,74
3,3,74,3,74
3,9,72,3,74
4,0,70,2,74
4,2,72,1,74
4,3,74,1,74
4,4,76,2,74
4,6,77,3,74
4,9,79,1,74
4,10,81,2,74
5,0,82,2,74
5,2,70,1,74
5,3,69,1,74
5,4,67,2,74
5,6,74,2,74
5,8,70,1,74
5,9,69,1,74
5,10,67,2,74
6,0,82,2,74
6,2,76,1,74
6,3,74,1,74
6,4,72,2,74
6,6,79,2,74
6,8,76,1,74
6,9,74,1,74
6,10,72,2,74
7,0,65,2,74
7,2,72,1,74
7,3,70,1,74
7,4,69,2,74
7,6,82,2,74
7,8,72,1,74
7,9,70,1,74
7,10,69,2,74
8,0,86,2,74
8,2,84,1,74
8,3,82,1,74
8,4,81,2,74
8,6,82,2,74
8,8,81,1,74
8,9,79,1,74
8,10,77,2,74
9,0,76,2,74
9,2,74,1,74
9,3,72,3,74
9,9,77,1,74
9,10,76,2,74
10,0,77,2,74
10,2,72,1,74
10,3,74,1,74
10,4,70,2,74
10,6,72,3,74
10,9,72,3,74
11,0,65,6,74
12,0,77,2,74
12,2,79,1,74
12,3,81,1,74
12,4,82,2,74
12,6,84,3,74
12,9,86,1,74
12,10,88,2,74
13,0,89,3,74
13,3,77,3,74
13,9,76,3,74
14,0,74,2,74
14,2,72,1,74
14,3,74,1,74
14,4,71,2,74
14,6,72,2,74
14,8,71,1,74
14,9,72,1,74
14,10,69,2,74
15,0,71,2,74
15,2,69,1,74
15,3,67,3,74
15,9,79,3,74
16,0,81,2,74
16,2,79,1,74
16,3,81,1,74
16,4,77,2,74
16,6,81,2,74
16,8,79,1,74
16,9,81,1,74
16,10,84,2,74
17,0,83,2,74
17,2,84,1,74
17,3,86,3,74
17,8,84,1,74
17,9,86,1,74
