File,Key,Time signature,Num time signature changes,Tempo,Num tempo changes,High note,Low note,End time,Resolution,Instruments
handel_Sonata_VII_1_2_in_truth.mid,,,,194,2,D4,D2,29,12,['']
telemann_Sonata_1-1_0_1_in_translate.mid,,,,182,2,G5,G2,85,12,['']
albinoni_sonate_da_chiesa_6_(c)icking-archive_1_2_in_truth.mid,,,,198,2,F4,D2,132,12,['']
telemann_Duett-2_0_1_in_truth.mid,,,,184,2,C6,G4,29,12,['']
0_truth.mid,,,,180,2,D4,F#2,27,12,['']
handel_Sonata_VII-4_1_2_in_truth.mid,,,,200,2,G4,E2,29,12,['']
telemann_Duett-3_0_1_in_translate.mid,,,,145,2,F5,A#2,124,12,['']
bach-js_two-part_inventions_13_(c)icking-archive_1_2_in_truth.mid,,,,217,2,A4,D2,30,12,['']
bach-js_two-part_inventions_11_(c)icking-archive_1_2_in_translate.mid,,,,186,2,A4,F2,42,12,['']
paradisi_toccata_in_A_0_1_in_truth.mid,,,,200,2,B4,E2,79,12,['']
telemann_Sonata_1-2_0_1_in_truth.mid,,,,196,2,E6,F4,31,12,['']
telemann_Sonata_1_0_1_in_truth.mid,,,,213,2,F6,F4,32,12,['']
0_translate.mid,,,,150,2,E5,A2,41,12,['']
handel_Sonata_II-1_1_2_in_truth.mid,,,,217,2,F4,D2,54,12,['']
bach-js_two-part_inventions_15_(c)icking-archive_1_2_in_truth.mid,,,,200,2,E4,C#2,26,12,['']
telemann-canons-sonate2_1-2_1_2_in_translate.mid,,,,172,2,F4,A#1,53,12,['']
telemann_Duett-3_0_1_in_truth.mid,,,,180,2,A#5,F4,96,12,['']
albinoni_sonate_da_chiesa_6_(c)icking-archive_1_2_in_translate.mid,,,,126,2,E5,B2,150,12,['']
telemann_Sonata_1-3_0_1_in_truth.mid,,,,265,2,F6,F4,30,12,['']
telemann_Duett-2_0_1_in_translate.mid,,,,171,2,F5,A#2,34,12,['']
telemann-canons-sonate2_1-2_1_2_in_truth.mid,,,,216,2,A#4,D3,33,12,['']
handel_Sonata_II-3_1_2_in_translate.mid,,,,133,2,D5,D3,58,12,['']
paradisi_toccata_in_A_0_1_in_translate.mid,,,,184,2,F#5,B2,74,12,['']
telemann-canons-sonate1_1-2_0_1_in_truth.mid,,,,195,2,B4,D3,60,12,['']
handel_Sonata_VII-4_1_2_in_translate.mid,,,,176,2,A5,C3,42,12,['']
handel_Sonata_VII-1_1_2_in_translate.mid,,,,168,2,A5,C3,86,12,['']
handel_Sonata_VII-1_1_2_in_truth.mid,,,,201,2,A#4,C2,59,12,['']
handel_Sonata_VII-2_1_2_in_translate.mid,,,,108,2,E5,G2,41,12,['']
bach-js_two-part_inventions_11_(c)icking-archive_1_2_in_truth.mid,,,,214,2,D#4,C2,28,12,['']
telemann-canons-sonate2_1_1_2_in_translate.mid,,,,129,2,E4,A#1,112,12,['']
handel_Sonata_1_2_in_translate.mid,,,,157,2,G5,D3,33,12,['']
telemann_Duett_0_1_in_translate.mid,,,,184,2,F5,A#2,42,12,['']
telemann_Duett-1_0_1_in_translate.mid,,,,152,2,G5,C3,71,12,['']
pachelbel_fugue_03_(c)gray_1_2_in_translate.mid,,,,138,2,C5,C2,44,12,['']
handel_Sonata_VII-2_1_2_in_truth.mid,,,,197,2,E4,E2,39,12,['']
pachelbel_fugue_03_(c)gray_1_2_in_truth.mid,,,,180,2,D4,F#2,27,12,['']
telemann_Sonata_1-3_0_1_in_translate.mid,,,,171,2,A5,F3,55,12,['']
telemann-canons-sonate2_1-1_1_2_in_truth.mid,,,,193,2,A#4,D3,23,12,['']
handel_Sonata_II-3_1_2_in_truth.mid,,,,200,2,D#4,D2,40,12,['']
handel_Sonata_1_2_in_truth.mid,,,,197,2,D4,D2,24,12,['']
telemann-canons-sonate1_1-2_0_1_in_translate.mid,,,,174,2,B4,D2,69,12,['']
telemann-canons-sonate2_1_1_2_in_truth.mid,,,,167,2,A#4,D3,91,12,['']
telemann_Sonata_1-1_0_1_in_truth.mid,,,,198,2,F6,F4,62,12,['']
bach-js_two-part_inventions_15_(c)icking-archive_1_2_in_translate.mid,,,,184,2,B4,B2,37,12,['']
handel_Sonata_VII_1_2_in_translate.mid,,,,157,2,A5,F2,44,12,['']
handel_Sonata_II-1_1_2_in_translate.mid,,,,160,2,A5,C3,69,12,['']
telemann-canons-sonate2_1-1_1_2_in_translate.mid,,,,164,2,D#4,A#1,28,12,['']
handel_Sonata_VII-3_1_2_in_translate.mid,,,,153,2,E5,C3,74,12,['']
telemann_Duett-1_0_1_in_truth.mid,,,,200,2,C6,F4,58,12,['']
handel_Sonata_VII-3_1_2_in_truth.mid,,,,174,2,C4,D2,55,12,['']
telemann_Duett_0_1_in_truth.mid,,,,200,2,D#6,F4,22,12,['']
telemann_Sonata_1-2_0_1_in_translate.mid,,,,140,2,E5,E2,53,12,['']
bach-js_two-part_inventions_13_(c)icking-archive_1_2_in_translate.mid,,,,184,2,C5,G2,42,12,['']
telemann_Sonata_1_0_1_in_translate.mid,,,,178,2,G5,G2,53,12,['']
