type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,26
2,0,0,0,0,0
3,3,1,46,3,31
3,1,1,77,3,31
3,1,1,63,6,31
3,3,1,77,6,31
3,2,1,68,6,31
3,1,1,63,5,31
3,4,7,51,3,31
3,3,10,58,3,31
3,5,1,60,3,31
3,3,1,60,3,31
3,5,1,53,3,31
3,4,1,70,3,31
3,24,1,46,6,31
3,5,1,63,3,31
3,15,1,70,6,31
3,10,1,63,6,31
3,11,7,46,3,31
3,10,1,63,3,31
3,9,1,46,6,31
3,8,1,46,3,31
3,15,10,68,3,31
3,11,7,51,5,31
3,19,4,70,3,31
3,9,1,53,3,31
3,14,1,63,3,31
3,20,1,65,3,31
3,8,1,51,3,31
3,10,1,58,3,31
3,17,1,60,3,31
3,21,1,75,3,31
3,12,1,51,6,31
3,10,7,63,5,31
3,24,7,65,5,31
3,30,1,63,3,31
3,13,1,65,6,31
3,20,1,53,3,31
3,17,7,65,3,31
3,11,1,58,1,31
3,13,7,55,1,31
3,10,1,60,3,31
3,29,1,60,3,31
3,10,10,51,6,31
3,23,7,75,5,31
3,21,7,58,3,31
3,28,7,62,6,31
3,30,10,63,3,31
3,24,1,75,3,31
3,11,1,63,3,31
3,22,1,68,3,31
3,27,1,56,5,31
3,27,1,58,5,31
3,19,7,51,3,31
3,20,1,61,3,31
3,26,1,56,1,31
3,23,7,70,5,31
3,15,10,63,3,31
3,14,1,53,3,31
3,27,7,70,3,31
3,28,1,56,5,31
3,35,1,58,3,31
3,14,1,68,3,31
3,35,1,77,3,31
3,23,1,51,3,31
3,24,1,63,3,31
3,20,1,63,6,31
3,23,1,70,5,31
3,27,7,60,3,31
3,33,1,58,3,31
3,24,7,63,3,31
3,35,1,67,3,31
3,33,1,63,3,31
3,32,1,62,3,31
3,35,7,65,3,31
3,30,1,68,3,31
3,24,7,70,5,31
3,24,7,60,3,31
3,39,1,63,3,31
3,29,1,75,3,31
3,34,1,51,5,31
3,27,7,63,3,31
3,26,1,75,5,31
3,42,7,68,3,31
3,20,7,60,1,31
3,21,1,70,3,31
3,31,1,58,3,31
3,39,7,56,3,31
3,21,7,65,3,31
3,29,1,77,1,31
3,46,1,70,3,31
3,49,7,51,3,31
3,24,1,65,5,31
3,47,7,63,6,31
3,33,7,63,3,31
3,50,1,58,6,31
3,24,1,70,1,31
3,33,1,63,6,31
3,21,1,62,3,31
3,40,1,68,3,31
3,27,7,60,3,31
3,21,1,62,5,31
3,41,7,68,5,31
3,37,1,51,3,31
3,43,7,75,1,31
3,45,1,63,3,31
3,39,1,65,3,31
3,30,7,58,5,31
3,31,1,63,6,31
3,49,7,63,3,31
3,31,7,63,3,31
3,46,1,75,3,31
3,63,1,58,3,31
3,46,7,63,3,31
3,53,7,65,3,31
3,50,7,60,3,31
3,30,1,60,3,31
3,37,1,68,3,31
3,63,1,63,1,31
3,45,7,63,3,31
3,49,1,70,3,31
3,42,1,77,1,31
3,42,1,56,3,31
3,53,1,56,6,31
3,33,1,51,1,31
3,32,1,63,3,31
3,45,1,63,1,31
3,49,1,75,3,31
3,37,1,56,1,31
3,47,7,60,3,31
3,67,1,62,5,31
3,33,7,63,5,31
3,49,1,62,3,31
3,69,1,65,3,31
3,39,1,77,3,31
3,35,1,63,3,31
3,61,7,63,3,31
