type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,3
2,0,0,0,0,0
3,1,1,48,6,3
3,1,7,48,3,3
3,1,10,50,3,3
3,2,1,51,6,3
3,2,7,51,3,3
3,2,10,53,3,3
3,3,1,55,3,3
3,3,4,55,3,3
3,3,7,53,3,3
3,3,10,51,3,3
3,4,1,50,6,3
3,4,7,47,6,3
3,5,1,48,3,3
3,5,4,60,3,3
3,5,7,58,3,3
3,5,10,56,3,3
3,6,1,55,6,3
3,6,7,52,6,3
3,7,1,53,6,3
3,7,7,53,3,3
3,7,10,55,3,3
3,8,1,56,9,3
3,8,10,57,3,3
3,9,1,47,3,3
3,9,4,48,3,3
3,9,7,55,3,3
3,9,10,43,3,3
3,10,1,48,3,3
3,10,4,60,3,3
3,10,7,55,3,3
3,10,10,60,3,3
3,11,1,56,3,3
3,11,4,53,3,3
3,11,7,50,3,3
3,11,10,46,3,3
3,12,1,51,3,3
3,12,4,50,3,3
3,12,7,51,3,3
3,12,10,46,3,3
3,13,1,48,6,3
3,13,7,49,6,3
3,14,1,50,3,3
3,14,4,62,3,3
3,14,7,58,3,3
3,14,10,55,3,3
3,15,1,52,6,3
3,15,7,48,3,3
3,15,10,46,3,3
3,16,1,44,3,3
3,16,4,43,3,3
3,16,7,41,3,3
3,16,10,48,3,3
3,17,1,49,6,3
3,17,10,61,3,3
3,18,1,52,3,3
3,18,4,53,3,3
3,18,7,60,3,3
3,18,10,48,3,3
3,19,1,53,3,3
3,19,4,53,3,3
3,19,7,50,3,3
3,19,10,46,3,3
3,20,1,51,3,3
3,20,4,55,1,3
3,20,5,56,2,3
3,20,7,58,3,3
3,20,10,46,3,3
3,21,1,51,3,3
3,21,4,53,3,3
3,21,7,55,3,3
3,21,10,43,3,3
3,22,1,44,6,3
3,22,10,53,3,3
3,23,1,55,3,3
3,23,4,55,1,3
3,23,5,53,2,3
3,23,7,51,3,3
3,23,10,48,3,3
3,24,1,53,3,3
3,24,4,51,3,3
3,24,7,53,3,3
3,24,10,55,3,3
3,25,1,56,3,3
3,25,4,56,1,3
3,25,5,55,2,3
3,25,7,56,3,3
3,25,10,53,3,3
3,26,1,41,3,3
3,26,4,53,3,3
3,26,7,53,3,3
3,26,10,51,3,3
3,27,1,50,3,3
3,27,4,51,3,3
3,27,7,50,3,3
3,27,10,48,3,3
3,28,1,47,3,3
3,28,4,48,3,3
3,28,7,55,3,3
3,28,10,43,3,3
3,29,1,48,3,3
3,29,4,60,3,3
3,29,7,48,6,3
3,30,4,60,3,3
3,30,7,51,3,3
3,30,10,53,3,3
3,31,1,53,3,3
3,31,4,55,3,3
3,31,7,56,3,3
3,31,10,56,3,3
3,32,1,51,3,3
3,32,4,53,3,3
3,32,7,55,3,3
3,32,10,43,3,3
3,33,1,48,18,3
3,40,4,55,3,3
3,40,7,43,3,3
3,40,10,51,3,3
3,41,1,42,3,3
3,41,4,50,3,3
3,41,7,45,3,3
3,41,10,54,3,3
3,42,1,55,3,3
3,42,4,50,1,3
3,42,5,43,2,3
3,42,7,48,7,3
3,43,3,50,1,3
3,43,4,46,1,3
3,43,5,48,2,3
3,43,7,45,6,3
3,44,1,43,6,3
3,44,9,51,1,3
3,44,10,50,1,3
3,44,11,51,2,3
3,45,1,53,6,3
3,45,9,50,1,3
