type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,3
2,0,0,0,0,0
3,1,3,63,2,3
3,1,5,67,1,3
3,1,5,67,2,3
3,1,7,70,1,3
3,2,5,56,1,3
3,1,5,70,1,3
3,2,11,56,2,3
3,2,7,63,1,3
3,2,7,61,1,3
3,3,1,63,1,3
3,3,1,51,1,3
3,3,1,65,1,3
3,3,7,46,2,3
3,3,7,63,2,3
3,2,7,58,1,3
3,3,1,61,2,3
3,3,1,63,1,3
3,4,1,51,1,3
3,3,7,65,2,3
3,4,1,49,2,3
3,7,1,44,3,3
3,9,10,54,2,3
3,6,7,70,2,3
3,5,1,68,2,3
3,3,1,58,1,3
3,6,1,68,2,3
3,3,1,49,1,3
3,4,1,58,1,3
3,11,7,58,1,3
3,4,10,51,2,3
3,6,1,70,2,3
3,6,1,56,3,3
3,9,7,58,1,3
3,6,7,49,1,3
3,6,7,68,2,3
3,5,7,68,2,3
3,7,1,68,2,3
3,8,1,58,1,3
3,5,7,61,1,3
3,8,10,66,2,3
3,7,1,63,2,3
3,15,1,68,2,3
3,8,10,66,2,3
3,11,1,54,1,3
3,10,4,61,2,3
3,10,4,63,3,3
3,13,1,56,3,3
3,11,10,58,1,3
3,14,1,51,2,3
3,15,1,58,1,3
3,11,1,61,2,3
3,17,1,59,1,3
3,15,4,51,1,3
3,14,7,61,2,3
3,9,1,49,2,3
3,13,1,68,2,3
3,14,1,58,1,3
3,20,4,66,1,3
3,9,10,53,1,3
3,11,1,54,1,3
3,16,1,49,3,3
3,15,4,42,2,3
3,6,10,47,2,3
3,12,10,51,2,3
3,12,4,59,2,3
3,18,1,66,2,3
3,13,1,56,2,3
3,13,1,52,1,3
3,16,4,53,2,3
3,18,10,61,2,3
3,18,1,66,2,3
3,6,10,56,3,3
3,13,4,53,2,3
3,12,1,54,3,3
3,16,10,66,2,3
3,17,1,63,1,3
3,14,4,66,3,3
3,15,4,59,2,3
3,19,1,66,6,3
3,11,10,42,2,3
3,16,4,47,1,3
3,24,10,49,2,3
3,15,10,61,2,3
3,13,4,66,6,3
3,14,4,66,2,3
3,20,4,42,3,3
3,18,1,63,1,3
3,15,1,56,1,3
3,11,4,56,2,3
3,22,4,47,3,3
3,18,1,54,2,3
3,17,1,47,2,3
3,23,1,54,2,3
3,19,4,59,2,3
3,16,10,54,3,3
3,15,1,49,3,3
3,19,1,63,2,3
3,19,4,61,1,3
3,13,1,53,3,3
3,22,4,66,1,3
3,20,4,42,3,3
3,19,7,51,1,3
3,14,1,63,2,3
3,24,4,61,1,3
3,20,1,49,3,3
3,17,7,54,1,3
3,22,4,68,2,3
3,12,4,54,6,3
3,22,7,68,2,3
3,23,1,56,3,3
3,17,1,54,2,3
3,17,1,65,1,3
3,23,4,56,3,3
3,28,4,56,3,3
3,36,1,54,2,3
3,32,7,53,6,3
3,19,1,61,1,3
3,29,1,49,1,3
3,27,1,68,2,3
3,22,4,63,2,3
3,20,10,58,2,3
3,32,4,61,3,3
3,20,4,58,1,3
3,22,4,51,3,3
3,20,1,49,1,3
3,32,4,56,1,3
3,25,1,49,2,3
3,28,1,53,2,3
3,34,1,58,2,3
3,31,4,58,2,3
3,21,7,61,1,3
3,26,7,65,1,3
3,34,10,63,1,3
3,36,1,58,2,3
3,27,10,54,2,3
