type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,3
2,0,0,0,0,0
3,1,1,46,3,3
3,1,4,58,6,3
3,1,10,57,3,3
3,2,1,58,2,3
3,2,3,53,1,3
3,2,4,58,1,3
3,2,5,61,2,3
3,2,7,60,2,3
3,2,9,53,1,3
3,2,10,60,1,3
3,2,11,63,2,3
3,3,1,61,3,3
3,3,4,58,3,3
3,3,7,57,3,3
3,3,10,53,3,3
3,4,1,58,2,3
3,4,3,53,1,3
3,4,4,58,1,3
3,4,5,61,2,3
3,4,7,60,2,3
3,4,9,53,1,3
3,4,10,60,1,3
3,4,11,63,2,3
3,5,1,61,3,3
3,5,4,58,3,3
3,5,7,61,3,3
3,5,10,58,3,3
3,6,1,63,2,3
3,6,3,58,1,3
3,6,4,54,1,3
3,6,5,58,2,3
3,6,7,51,2,3
3,6,9,54,1,3
3,6,10,46,1,3
3,6,11,49,2,3
3,7,1,48,3,3
3,7,4,51,3,3
3,7,7,56,3,3
3,7,10,60,5,3
3,8,3,56,1,3
3,8,4,53,1,3
3,8,5,56,2,3
3,8,7,49,2,3
3,8,9,53,1,3
3,8,10,44,1,3
3,8,11,48,2,3
3,9,1,46,3,3
3,9,4,49,3,3
3,9,7,51,2,3
3,9,9,54,1,3
3,9,10,48,1,3
3,9,11,51,2,3
3,10,1,44,3,3
3,10,4,48,3,3
3,10,7,49,2,3
3,10,9,53,1,3
3,10,10,46,1,3
3,10,11,49,2,3
3,11,1,42,3,3
3,11,4,39,3,3
3,11,7,44,2,3
3,11,9,56,1,3
3,11,10,54,1,3
3,11,11,56,2,3
3,12,1,49,2,3
3,12,3,56,1,3
3,12,4,61,1,3
3,12,5,65,2,3
3,12,7,63,2,3
3,12,9,56,1,3
3,12,10,63,1,3
3,12,11,66,2,3
3,13,1,65,3,3
3,13,4,61,3,3
3,13,7,60,3,3
3,13,10,56,3,3
3,14,1,61,2,3
3,14,3,56,1,3
3,14,4,61,1,3
3,14,5,65,2,3
3,14,7,63,2,3
3,14,9,56,1,3
3,14,10,63,1,3
3,14,11,66,2,3
3,15,1,65,3,3
3,15,4,61,3,3
3,16,3,68,1,3
3,16,4,65,1,3
3,16,5,68,2,3
3,16,7,61,2,3
3,16,9,65,1,3
3,16,10,56,1,3
3,16,11,60,2,3
3,17,1,58,3,3
3,17,4,61,3,3
3,17,7,65,3,3
3,17,10,68,3,3
3,18,1,67,2,3
3,18,3,70,1,3
3,18,4,63,1,3
3,18,5,67,2,3
3,18,7,58,2,3
3,18,9,63,1,3
3,18,10,55,1,3
3,18,11,58,2,3
3,19,1,56,3,3
3,19,4,60,3,3
3,19,7,63,3,3
3,19,10,67,3,3
3,20,1,65,2,3
3,20,3,68,1,3
3,20,4,61,1,3
3,20,5,65,2,3
3,20,7,56,2,3
3,20,9,61,1,3
3,20,10,53,1,3
3,20,11,56,2,3
3,21,1,55,3,3
3,21,4,58,3,3
3,21,7,60,3,3
3,21,10,64,3,3
3,22,3,65,1,3
3,22,4,61,1,3
3,22,5,65,2,3
3,22,7,58,2,3
3,22,9,61,1,3
3,22,10,65,1,3
3,22,11,68,2,3
3,23,1,67,2,3
3,23,3,63,1,3
3,23,4,60,1,3
3,23,5,63,2,3
3,23,7,56,2,3
3,23,9,60,1,3
3,23,10,63,1,3
