type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,51
2,0,0,0,0,0
3,1,1,63,12,51
3,2,1,73,3,51
3,2,7,75,3,51
3,3,1,78,8,51
3,2,10,77,1,51
3,2,7,77,3,51
3,5,10,77,3,51
3,7,1,63,3,51
3,8,1,73,1,51
3,4,1,70,2,51
3,5,7,51,3,51
3,11,7,77,3,51
3,8,10,75,6,51
3,4,10,56,2,51
3,8,7,61,3,51
3,4,1,72,3,51
3,3,7,73,3,51
3,6,1,75,2,51
3,7,1,68,2,51
3,19,1,73,3,51
3,6,1,75,3,51
3,9,1,70,6,51
3,11,7,78,4,51
3,11,1,68,3,51
3,6,7,65,6,51
3,8,1,63,3,51
3,18,1,54,3,51
3,13,1,68,3,51
3,14,1,65,3,51
3,28,10,70,3,51
3,8,1,68,3,51
3,11,1,80,3,51
3,13,7,75,3,51
3,14,7,66,2,51
3,17,1,80,6,51
3,11,7,70,3,51
3,12,1,70,3,51
3,13,1,66,3,51
3,30,1,66,6,51
3,11,1,68,3,51
3,12,1,70,3,51
3,16,1,70,1,51
3,15,7,73,6,51
3,14,1,71,2,51
3,22,7,66,3,51
3,25,7,65,3,51
3,18,7,66,3,51
3,21,7,73,6,51
3,21,1,66,2,51
3,15,7,61,3,51
3,19,1,75,2,51
3,15,7,63,3,51
3,22,1,63,3,51
3,17,7,63,1,51
3,17,7,75,1,51
3,37,10,73,1,51
3,23,4,65,3,51
3,19,1,70,2,51
3,19,1,54,6,51
3,22,1,66,6,51
3,19,4,61,6,51
3,30,1,68,3,51
3,23,1,71,3,51
3,30,4,68,1,51
3,30,4,61,3,51
3,25,1,78,1,51
3,20,1,56,2,51
3,22,4,61,3,51
3,25,4,65,3,51
3,25,4,68,6,51
3,23,4,73,6,51
3,23,4,73,1,51
3,34,1,63,3,51
3,41,4,70,3,51
3,23,1,68,3,51
3,23,1,78,6,51
3,31,1,68,4,51
3,29,4,68,3,51
3,24,10,56,3,51
3,26,1,75,3,51
3,35,4,73,3,51
3,41,4,65,3,51
3,27,4,71,3,51
3,28,10,75,1,51
3,30,1,75,3,51
3,23,4,63,3,51
3,24,10,73,3,51
3,40,4,70,3,51
3,33,4,66,1,51
3,45,4,75,3,51
3,30,4,70,1,51
3,32,10,56,3,51
3,40,4,68,3,51
3,35,1,61,3,51
3,35,1,61,3,51
3,37,4,80,3,51
3,38,4,73,6,51
3,39,1,78,2,51
3,29,1,70,6,51
3,25,4,70,2,51
3,49,1,70,2,51
3,35,1,78,6,51
3,36,4,65,3,51
3,29,1,80,3,51
3,41,1,70,3,51
3,35,4,63,6,51
3,32,1,80,3,51
3,47,4,61,3,51
3,39,1,77,3,51
3,32,1,65,1,51
3,45,4,70,2,51
3,32,1,68,2,51
3,52,4,75,3,51
3,48,4,70,6,51
3,42,4,70,3,51
3,32,1,78,2,51
3,40,7,70,3,51
3,42,4,68,3,51
3,52,4,63,3,51
3,41,1,65,3,51
3,50,4,54,1,51
3,53,4,66,3,51
3,38,7,77,3,51
3,55,1,71,3,51
3,32,1,70,2,51
3,52,1,54,3,51
3,47,4,63,6,51
3,50,1,66,1,51
3,49,1,61,3,51
3,44,4,66,3,51
3,41,4,71,3,51
3,44,7,70,6,51
3,43,4,70,3,51
3,56,1,78,6,51
3,41,4,80,1,51
3,45,1,63,2,51
0,0,0,0,0,0
0,0,0,0,0,0
