type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,3
2,0,0,0,0,0
3,1,1,56,3,3
3,1,4,58,3,3
3,1,7,59,3,3
3,1,10,56,3,3
3,2,1,61,3,3
3,2,4,58,3,3
3,2,7,63,3,3
3,2,10,51,3,3
3,3,1,56,3,3
3,3,4,59,3,3
3,3,7,58,3,3
3,3,10,56,3,3
3,4,1,51,3,3
3,4,4,53,3,3
3,4,7,55,3,3
3,4,10,51,3,3
3,5,1,56,3,3
3,5,4,59,3,3
3,5,7,58,3,3
3,5,10,54,3,3
3,6,1,59,3,3
3,6,4,47,3,3
3,6,10,58,3,3
3,7,1,56,3,3
3,7,4,44,3,3
3,7,10,54,3,3
3,8,1,52,3,3
3,8,4,40,3,3
3,8,7,39,3,3
3,8,10,51,3,3
3,9,1,52,3,3
3,9,4,47,3,3
3,9,7,54,3,3
3,9,10,42,3,3
3,10,1,47,3,3
3,10,4,51,2,3
3,10,6,49,1,3
3,10,7,47,3,3
3,10,10,46,3,3
3,11,1,44,3,3
3,11,4,56,3,3
3,11,7,59,3,3
3,11,10,56,3,3
3,12,1,61,3,3
3,12,4,59,3,3
3,12,7,58,3,3
3,12,10,56,3,3
3,13,1,55,3,3
3,13,4,55,1,3
3,13,5,53,2,3
3,13,7,55,3,3
3,13,10,51,3,3
3,14,1,56,3,3
3,14,4,58,3,3
3,14,7,59,3,3
3,14,10,56,3,3
3,15,1,58,3,3
3,15,4,62,3,3
3,15,7,63,3,3
3,15,10,58,3,3
3,16,4,51,3,3
3,16,7,59,3,3
3,16,10,58,3,3
3,17,4,58,3,3
3,17,7,56,3,3
3,17,10,54,3,3
3,18,1,56,3,3
3,18,4,54,3,3
3,18,7,53,3,3
3,18,10,51,3,3
3,19,1,50,3,3
3,19,4,46,3,3
3,19,7,51,3,3
3,19,10,56,3,3
3,20,1,58,3,3
3,20,4,56,3,3
3,20,7,58,3,3
3,20,10,46,3,3
3,21,1,51,3,3
3,21,4,54,1,3
3,21,5,52,2,3
3,21,7,51,3,3
3,21,10,49,3,3
3,22,1,48,3,3
3,22,4,46,3,3
3,22,7,48,3,3
3,22,10,44,3,3
3,23,1,49,3,3
3,23,4,52,3,3
3,23,7,54,3,3
3,23,10,56,3,3
3,24,1,52,3,3
3,24,4,49,3,3
3,24,7,54,3,3
3,24,10,58,3,3
3,25,1,59,3,3
3,25,4,56,3,3
3,25,7,52,3,3
3,25,10,54,3,3
3,26,1,47,9,3
3,26,10,44,3,3
3,27,1,49,9,3
3,27,10,46,3,3
3,28,1,51,6,3
3,28,10,51,3,3
3,29,1,56,3,3
3,29,4,54,3,3
3,29,7,52,3,3
3,29,10,51,3,3
3,30,1,49,3,3
3,30,4,47,3,3
3,30,7,46,3,3
3,30,10,44,3,3
3,31,1,51,3,3
3,31,4,55,3,3
3,31,7,56,3,3
3,31,10,55,3,3
3,32,4,55,3,3
3,32,7,56,3,3
3,32,10,51,3,3
3,33,4,51,3,3
3,33,7,52,3,3
3,33,10,49,3,3
3,34,1,51,3,3
3,34,4,39,3,3
3,34,7,44,3,3
3,34,10,49,3,3
3,35,1,51,3,3
3,35,4,49,3,3
3,35,7,51,3,3
3,35,10,39,3,3
3,36,1,44,9,3
3,36,10,56,3,3
3,37,1,54,9,3
3,37,10,47,3,3
3,38,1,52,12,3
3,39,1,51,18,3
4,0,0,0,0,0
