type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,27
2,0,0,0,0,0
3,2,7,73,6,51
3,2,1,68,6,51
3,2,1,70,6,51
3,4,7,73,12,51
3,2,7,73,9,51
3,5,1,49,6,51
3,7,7,73,6,51
3,2,7,56,6,51
3,5,1,56,5,51
3,7,7,73,6,51
3,6,1,72,3,51
3,4,7,73,3,51
3,8,1,63,6,51
3,7,1,75,3,51
3,8,1,56,6,51
3,8,7,77,5,51
3,12,1,56,6,51
3,9,7,77,3,51
3,8,1,71,2,51
3,20,1,72,6,51
3,10,7,66,3,51
3,11,7,71,6,51
3,11,7,56,3,51
3,17,1,75,6,51
3,9,1,63,3,51
3,17,1,63,3,51
3,23,1,65,6,51
3,12,1,73,6,51
3,19,7,75,6,51
3,15,1,68,6,51
3,13,7,68,2,51
3,13,1,56,3,51
3,13,7,56,6,51
3,23,1,66,3,51
3,12,7,49,6,51
3,18,1,66,6,51
3,15,1,61,1,51
3,19,7,65,3,51
3,12,1,66,6,51
3,16,7,56,6,51
3,23,7,68,3,51
3,21,7,54,6,51
3,17,7,66,3,51
3,25,1,63,3,51
3,20,1,73,12,51
3,20,1,66,3,51
3,15,1,77,6,51
3,26,1,71,3,51
3,28,7,70,6,51
3,18,7,51,6,51
3,22,7,68,12,51
3,27,7,63,12,51
3,28,7,66,6,51
3,16,7,70,6,51
3,30,1,73,6,51
3,24,1,68,12,51
3,28,1,51,2,51
3,39,1,66,6,51
3,22,7,73,3,51
3,24,7,65,6,51
3,36,1,71,3,51
3,18,1,56,2,51
3,34,1,68,3,51
3,31,1,70,3,51
3,27,7,75,3,51
3,32,7,54,6,51
3,18,1,77,6,51
3,39,1,75,6,51
3,32,1,68,2,51
3,23,1,71,2,51
3,34,7,73,6,51
3,26,1,70,3,51
3,35,7,66,2,51
3,31,1,75,6,51
3,19,1,61,6,51
3,28,7,75,3,51
3,24,7,70,2,51
3,42,7,61,3,51
3,28,7,66,6,51
3,33,1,66,6,51
3,34,1,77,3,51
3,47,7,65,6,51
3,34,1,61,3,51
3,23,1,70,2,51
3,32,10,61,3,51
3,39,7,54,2,51
3,34,1,61,2,51
3,33,1,56,3,51
3,32,1,73,2,51
3,27,1,73,3,51
3,31,1,56,2,51
3,38,7,66,3,51
3,33,7,70,3,51
3,47,7,70,2,51
3,33,7,77,2,51
3,46,1,68,6,51
3,33,1,73,2,51
3,41,1,70,2,51
3,34,1,56,6,51
3,50,7,66,3,51
3,38,1,75,6,51
3,31,1,73,2,51
3,27,1,51,2,51
3,32,1,63,3,51
3,43,7,75,2,51
3,41,1,54,3,51
3,37,7,75,3,51
3,35,1,70,6,51
3,30,1,71,3,51
3,34,7,56,2,51
3,32,7,73,6,51
3,43,7,75,1,51
3,47,7,80,3,51
3,42,1,63,2,51
3,41,1,73,1,51
3,48,10,63,3,51
3,44,7,72,3,51
3,34,7,68,2,51
3,35,1,73,2,51
3,40,1,70,6,51
3,48,1,75,6,51
3,49,1,73,3,51
3,37,7,75,3,51
3,49,1,75,2,51
3,57,1,73,2,51
3,53,7,63,6,51
3,49,7,56,1,51
3,47,7,70,2,51
3,48,7,65,2,51
3,53,1,56,3,51
3,50,1,56,2,51
3,46,1,56,3,51
3,51,1,63,3,51
3,47,1,70,1,51
3,49,7,75,2,51
3,41,1,56,6,51
3,60,1,70,2,51
3,61,7,68,11,51
3,54,7,68,1,51
3,61,7,51,6,51
3,51,1,56,2,51
3,67,1,77,3,51
3,55,7,53,3,51
3,68,1,56,2,51
3,50,7,73,1,51
3,58,1,68,3,51
3,63,1,70,1,51
3,67,1,70,3,51
3,56,1,73,3,51
3,46,7,77,2,51
3,67,7,73,2,51
3,60,7,75,2,51
3,60,7,68,3,51
3,66,7,77,1,51
3,60,1,61,6,51
3,67,1,65,2,51
3,55,1,56,3,51
3,53,7,68,3,51
3,51,1,73,3,51
3,69,7,61,11,51
3,57,7,68,3,51
3,74,1,53,6,51
3,63,1,77,2,51
3,70,1,61,3,51
3,77,7,68,6,51
3,66,1,65,6,51
3,76,1,75,2,51
3,69,7,70,3,51
3,73,7,66,3,51
3,73,7,56,3,51
3,75,1,73,2,51
3,64,7,73,6,51
3,73,7,68,3,51
3,68,7,66,6,51
3,70,1,65,6,51
3,59,7,78,2,51
3,67,1,78,6,51
3,82,7,66,3,51
3,65,1,68,6,51
3,71,7,66,3,51
3,75,1,68,2,51
3,66,1,78,3,51
3,67,1,61,6,51
3,86,7,68,3,51
3,63,7,63,2,51
3,64,1,63,1,51
3,58,1,77,1,51
3,75,1,71,6,51
3,79,7,68,1,51
3,89,1,54,1,51
3,66,1,70,2,51
3,73,1,61,3,51
3,86,1,71,6,51
3,81,7,73,1,51
3,74,1,66,3,51
3,86,1,71,3,51
3,70,1,78,3,51
3,79,1,63,2,51
3,77,1,61,2,51
3,69,7,61,6,51
3,68,1,80,2,51
3,73,7,75,3,51
3,86,1,56,3,51
3,83,7,70,1,51
3,73,1,66,2,51
3,72,7,75,2,51
3,72,7,71,3,51
3,75,7,78,3,51
3,90,7,77,2,51
3,67,7,68,2,51
3,87,1,61,2,51
3,78,7,70,3,51
3,79,1,75,3,51
3,71,1,61,6,51
3,71,7,68,3,51
3,93,1,71,1,51
3,78,7,75,2,51
3,85,1,68,2,51
3,89,1,75,6,51
3,87,1,70,2,51
3,90,7,75,2,51
3,91,7,70,3,51
3,90,7,66,3,51
3,68,7,75,1,51
3,84,1,68,3,51
3,88,7,56,2,51
3,95,7,77,3,51
3,81,1,70,2,51
3,78,7,70,3,51
3,83,1,68,2,51
3,74,7,65,2,51
3,98,1,66,3,51
3,78,7,75,6,51
3,84,7,71,6,51
3,75,7,63,3,51
3,87,1,66,1,51
3,98,4,73,3,51
3,79,1,75,6,51
3,79,1,61,3,51
3,88,7,73,3,51
3,90,7,75,2,51
3,86,1,70,1,51
3,103,1,80,2,51
3,81,1,70,1,51
3,90,1,71,6,51
3,88,1,73,2,51
3,89,1,75,2,51
3,93,7,75,6,51
3,99,7,71,2,51
3,80,7,80,6,51
3,95,7,82,3,51
3,97,1,77,6,51
3,91,7,61,1,51
3,99,7,56,3,51
3,97,7,56,2,51
3,88,7,66,3,51
3,91,1,70,3,51
3,97,1,77,3,51
3,98,7,75,3,51
3,99,1,77,6,51
3,104,1,78,3,51
3,93,1,70,3,51
3,95,1,78,3,51
3,110,1,75,6,51
3,100,7,63,3,51
3,108,1,71,2,51
3,92,7,77,3,51
3,111,1,71,3,51
3,103,7,78,3,51
3,103,1,56,2,51
3,101,1,82,1,51
3,107,7,65,6,51
3,107,7,71,3,51
3,91,1,66,6,51
3,111,7,61,3,51
3,95,1,63,3,51
3,91,7,61,3,51
3,100,7,70,3,51
3,104,1,73,6,51
3,112,1,75,2,51
3,114,1,56,2,51
3,111,7,70,2,51
3,107,1,75,3,51
3,92,1,75,6,51
3,92,7,75,3,51
3,103,7,70,1,51
3,100,7,70,6,51
3,96,1,75,2,51
3,92,7,56,1,51
3,92,7,68,3,51
3,116,7,65,1,51
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
