type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,3
2,0,0,0,0,0
3,1,1,56,3,3
3,1,4,55,3,3
3,1,7,56,3,3
3,1,10,58,3,3
3,2,1,59,3,3
3,2,4,61,3,3
3,2,7,63,3,3
3,2,10,64,3,3
3,3,1,63,3,3
3,3,4,61,3,3
3,3,7,59,3,3
3,3,10,56,3,3
3,4,1,61,3,3
3,4,4,58,3,3
3,4,7,63,6,3
3,5,1,51,6,3
3,5,7,56,3,3
3,5,10,51,3,3
3,6,1,56,3,3
3,6,4,55,3,3
3,6,7,56,3,3
3,6,10,58,3,3
3,7,1,59,2,3
3,7,3,61,1,3
3,7,4,63,1,3
3,7,5,61,2,3
3,7,7,59,2,3
3,7,9,61,1,3
3,7,10,58,1,3
3,7,11,59,2,3
3,8,1,56,2,3
3,8,3,58,1,3
3,8,4,54,1,3
3,8,5,56,2,3
3,8,7,52,6,3
3,9,1,64,6,3
3,10,1,58,2,3
3,10,3,59,1,3
3,10,4,61,1,3
3,10,5,59,2,3
3,10,7,58,2,3
3,10,9,59,1,3
3,10,10,56,1,3
3,10,11,58,2,3
3,11,1,54,2,3
3,11,3,56,1,3
3,11,4,52,1,3
3,11,5,54,2,3
3,11,7,51,6,3
3,12,1,63,6,3
3,13,1,56,2,3
3,13,3,58,1,3
3,13,4,59,1,3
3,13,5,58,2,3
3,13,7,56,2,3
3,13,9,58,1,3
3,13,10,54,1,3
3,13,11,56,2,3
3,14,1,52,2,3
3,14,3,54,1,3
3,14,4,51,1,3
3,14,5,52,2,3
3,14,7,49,6,3
3,15,1,61,6,3
3,16,1,54,2,3
3,16,3,56,1,3
3,16,4,58,1,3
3,16,5,56,2,3
3,16,7,54,2,3
3,16,9,56,1,3
3,16,10,52,1,3
3,16,11,54,2,3
3,17,1,51,2,3
3,17,3,52,1,3
3,17,4,49,1,3
3,17,5,51,2,3
3,17,7,47,6,3
3,18,1,59,6,3
3,19,1,52,2,3
3,19,3,54,1,3
3,19,4,56,1,3
3,19,5,54,2,3
3,19,7,52,2,3
3,19,9,54,1,3
3,19,10,51,1,3
3,19,11,52,2,3
3,20,1,49,2,3
3,20,3,51,1,3
3,20,4,47,1,3
3,20,5,49,2,3
3,20,7,46,6,3
3,21,1,58,6,3
3,22,1,51,6,3
3,22,7,47,6,3
3,23,1,44,6,3
3,23,7,51,6,3
3,24,1,55,6,3
3,24,7,51,6,3
3,25,1,56,6,3
3,25,7,59,6,3
3,26,1,61,6,3
3,26,7,54,6,3
3,27,1,58,6,3
3,27,7,59,6,3
3,28,1,53,6,3
3,28,7,56,6,3
3,29,1,58,6,3
3,29,7,51,6,3
3,30,1,53,6,3
3,30,7,54,6,3
3,31,1,56,6,3
3,31,7,59,6,3
3,32,1,56,6,3
3,32,7,46,3,3
3,32,10,58,1,3
3,32,11,56,2,3
3,33,1,54,2,3
3,33,3,56,1,3
3,33,4,53,1,3
3,33,5,54,2,3
3,33,7,51,2,3
3,33,9,53,1,3
3,33,10,49,1,3
3,33,11,51,2,3
3,34,1,47,3,3
3,34,4,59,1,3
3,34,5,58,2,3
3,34,7,56,2,3
3,34,9,58,1,3
3,34,10,54,1,3
3,34,11,56,2,3
3,35,1,53,2,3
3,35,3,54,1,3
3,35,4,51,1,3
3,35,5,53,2,3
