type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,27
2,0,0,0,0,0
3,1,1,58,2,51
3,1,7,66,6,51
3,2,7,51,2,51
3,2,7,68,2,51
3,2,1,49,3,51
3,1,1,66,5,51
3,2,1,66,1,51
3,6,7,73,2,51
3,5,7,53,3,51
3,4,7,75,2,51
3,3,7,66,3,51
3,21,7,53,3,51
3,6,1,77,1,51
3,4,1,54,3,51
3,4,1,70,2,51
3,7,1,56,5,51
3,3,1,53,1,51
3,4,4,78,1,51
3,4,4,73,1,51
3,5,1,73,1,51
3,7,1,78,3,51
3,6,7,73,2,51
3,4,1,78,2,51
3,8,1,66,3,51
3,5,7,49,3,51
3,9,1,61,3,51
3,9,7,66,3,51
3,7,1,54,2,51
3,13,1,54,1,51
3,10,1,75,2,51
3,11,7,49,5,51
3,11,1,78,3,51
3,8,1,73,2,51
3,7,7,49,3,51
3,11,1,77,3,51
3,10,7,54,3,51
3,13,1,49,2,51
3,12,7,61,3,51
3,8,1,75,3,51
3,12,1,78,2,51
3,12,1,78,2,51
3,20,7,78,1,51
3,8,1,72,1,51
3,21,4,80,3,51
3,10,7,61,2,51
3,18,4,53,3,51
3,9,7,61,2,51
3,11,4,70,1,51
3,7,1,49,3,51
3,19,1,70,3,51
3,14,1,80,2,51
3,12,1,68,3,51
3,18,1,54,2,51
3,10,7,61,3,51
3,16,7,68,2,51
3,13,7,77,3,51
3,25,1,68,3,51
3,16,7,73,3,51
3,15,1,73,1,51
3,15,1,78,2,51
3,17,1,49,1,51
3,15,1,80,3,51
3,20,7,78,1,51
3,22,7,66,3,51
3,25,7,68,1,51
3,20,1,51,2,51
3,22,7,56,3,51
3,25,4,70,3,51
3,17,1,68,3,51
3,21,1,80,3,51
3,26,1,75,3,51
3,28,1,73,3,51
3,29,1,73,5,51
3,32,10,77,2,51
3,34,7,61,3,51
3,26,7,73,3,51
3,24,1,77,1,51
3,19,1,68,3,51
3,20,7,75,1,51
3,26,7,68,3,51
3,38,7,78,2,51
3,25,7,61,3,51
3,27,1,68,1,51
3,27,1,61,1,51
3,23,4,77,2,51
3,27,4,73,5,51
3,21,1,65,3,51
3,22,4,72,1,51
3,27,7,73,1,51
3,32,7,75,3,51
3,40,7,75,3,51
3,30,4,75,3,51
3,37,1,75,3,51
3,47,1,68,3,51
3,42,7,65,3,51
3,29,7,65,3,51
3,46,7,73,3,51
3,24,4,63,2,51
3,28,7,61,1,51
3,31,7,70,1,51
3,43,4,61,5,51
3,42,4,73,5,51
3,30,1,68,1,51
3,27,4,65,1,51
3,26,4,73,3,51
3,44,7,65,3,51
3,36,4,75,3,51
3,35,4,70,3,51
3,40,4,70,3,51
3,42,7,72,3,51
3,47,1,78,3,51
3,39,4,80,3,51
3,42,7,66,3,51
3,45,7,72,3,51
3,41,4,70,3,51
3,51,7,72,2,51
3,50,4,65,1,51
3,38,7,70,1,51
3,33,4,70,1,51
3,43,7,54,2,51
3,33,4,70,3,51
3,52,7,75,3,51
3,47,1,65,5,51
3,37,7,72,3,51
3,53,7,72,3,51
3,50,1,70,1,51
3,41,7,73,3,51
3,31,10,72,3,51
3,35,4,73,1,51
3,52,7,70,3,51
3,50,7,75,2,51
3,42,1,73,1,51
3,30,7,78,1,51
3,48,7,70,5,51
3,37,7,77,1,51
3,34,4,63,2,51
3,44,4,77,1,51
3,47,1,68,3,51
3,33,4,70,1,51
3,50,4,75,1,51
3,46,4,80,3,51
3,37,4,66,3,51
3,55,10,66,3,51
3,52,4,70,3,51
3,36,10,75,2,51
3,60,7,75,1,51
3,37,4,65,3,51
3,38,7,61,2,51
3,50,7,73,3,51
3,50,7,72,5,51
3,33,4,75,1,51
3,59,7,70,3,51
3,43,7,78,3,51
3,46,1,75,3,51
3,38,1,72,3,51
3,55,7,70,1,51
3,53,4,61,1,51
3,46,1,73,3,51
3,42,1,66,3,51
3,51,7,75,1,51
3,42,7,77,3,51
3,63,7,73,3,51
3,41,7,71,1,51
3,59,4,75,3,51
3,44,7,71,1,51
3,56,1,75,3,51
3,47,1,65,5,51
3,51,7,78,3,51
3,45,4,72,3,51
3,63,1,77,3,51
3,40,10,75,3,51
3,49,7,65,1,51
3,54,4,75,3,51
3,45,4,70,1,51
3,47,4,78,3,51
3,67,7,77,3,51
3,47,7,68,1,51
3,70,7,75,1,51
3,70,7,82,3,51
3,66,7,65,3,51
3,62,7,73,3,51
3,53,4,68,3,51
3,68,7,82,3,51
3,63,4,65,1,51
3,52,4,73,3,51
3,45,7,68,3,51
3,49,4,61,2,51
3,62,7,75,3,51
3,71,4,72,3,51
0,0,0,0,0,0
3,71,4,80,1,51
3,62,7,75,3,51
3,44,7,66,1,51
3,58,4,80,3,51
3,50,7,70,1,51
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
