type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,3
2,0,0,0,0,0
3,1,1,61,3,3
3,1,4,63,3,3
3,1,7,56,3,3
3,1,10,65,3,3
3,2,1,53,3,3
3,2,7,54,3,3
3,2,10,51,3,3
3,3,1,56,3,3
3,3,4,53,3,3
3,3,7,49,3,3
3,4,1,58,3,3
3,4,4,56,3,3
3,4,10,54,3,3
3,5,1,53,3,3
3,5,7,51,3,3
3,5,10,53,3,3
3,6,1,49,3,3
3,6,4,56,1,3
3,6,5,55,2,3
3,6,7,56,2,3
3,6,9,58,1,3
3,6,10,60,1,3
3,6,11,56,2,3
3,7,1,61,2,3
3,7,3,56,1,3
3,7,4,63,1,3
3,7,5,61,2,3
3,7,7,63,2,3
3,7,9,56,1,3
3,7,10,65,1,3
3,7,11,63,2,3
3,8,1,61,2,3
3,8,3,63,1,3
3,8,4,65,1,3
3,8,5,61,2,3
3,8,7,66,2,3
3,8,9,63,1,3
3,8,10,68,1,3
3,8,11,66,2,3
3,9,1,65,2,3
3,9,3,63,1,3
3,9,4,65,1,3
3,9,5,63,2,3
3,9,7,61,2,3
3,9,9,60,1,3
3,9,10,58,1,3
3,9,11,56,2,3
3,10,1,58,2,3
3,10,3,56,1,3
3,10,4,54,1,3
3,10,5,53,2,3
3,10,7,51,2,3
3,10,9,49,1,3
3,10,10,51,3,3
3,11,1,56,3,3
3,11,4,61,3,3
3,11,7,54,3,3
3,11,10,56,3,3
3,12,1,44,3,3
3,12,4,49,9,3
3,13,1,46,2,3
3,13,3,58,1,3
3,13,4,57,1,3
3,13,5,55,2,3
3,13,7,57,2,3
3,13,9,53,1,3
3,13,10,46,1,3
3,13,11,58,2,3
3,14,1,57,2,3
3,14,3,55,1,3
3,14,4,57,1,3
3,14,5,53,2,3
3,14,7,46,2,3
3,14,9,58,1,3
3,14,10,57,1,3
3,14,11,55,2,3
3,15,1,57,2,3
3,15,3,53,1,3
3,15,4,58,1,3
3,15,5,57,2,3
3,15,7,58,2,3
3,15,9,60,1,3
3,15,10,61,1,3
3,15,11,58,2,3
3,16,1,51,2,3
3,16,3,63,1,3
3,16,4,62,1,3
3,16,5,60,2,3
3,16,7,62,2,3
3,16,9,58,1,3
3,16,10,51,1,3
3,16,11,63,2,3
3,17,1,62,2,3
3,17,3,60,1,3
3,17,4,62,1,3
3,17,5,58,2,3
3,17,7,51,2,3
3,17,9,63,1,3
3,17,10,62,1,3
3,17,11,60,2,3
3,18,1,62,2,3
3,18,3,58,1,3
3,18,4,63,1,3
3,18,5,58,2,3
3,18,7,63,2,3
3,18,9,61,1,3
3,18,10,60,1,3
3,18,11,58,2,3
3,19,1,56,2,3
3,19,3,55,1,3
3,19,4,56,1,3
3,19,5,58,2,3
3,19,7,60,2,3
3,19,9,56,1,3
3,19,10,61,1,3
3,19,11,56,2,3
3,20,1,61,2,3
3,20,3,60,1,3
3,20,4,58,1,3
3,20,5,56,2,3
3,20,7,55,2,3
3,20,9,53,1,3
3,20,10,55,1,3
3,20,11,56,2,3
3,21,1,58,2,3
3,21,3,55,1,3
3,21,4,60,1,3
3,21,5,55,2,3
3,21,7,60,2,3
3,21,9,58,1,3
3,21,10,56,1,3
3,21,11,55,2,3
3,22,1,53,2,3
3,22,3,65,1,3
3,22,4,64,1,3
