type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,51
2,0,0,0,0,0
3,1,1,42,10,51
3,1,1,49,8,51
3,3,1,51,5,51
3,2,1,51,5,51
3,4,1,56,8,51
3,6,1,78,2,51
3,2,1,73,8,51
3,6,7,61,2,51
3,6,1,73,8,51
3,5,1,56,3,51
3,8,10,73,3,51
3,4,1,73,2,51
3,4,10,75,5,51
3,7,1,72,8,51
3,8,7,77,8,51
3,8,7,53,5,51
3,6,1,68,5,51
3,9,1,49,8,51
3,7,1,80,3,51
3,11,7,73,3,51
3,11,7,54,5,51
3,8,1,56,3,51
3,9,1,78,3,51
3,8,7,72,3,51
3,16,7,68,8,51
3,15,1,56,5,51
3,7,1,49,8,51
3,8,1,73,3,51
3,16,1,73,2,51
3,12,7,70,5,51
3,14,1,75,8,51
3,12,7,51,2,51
3,14,7,56,3,51
3,13,1,73,3,51
3,10,7,68,3,51
3,10,7,77,3,51
3,11,1,78,3,51
3,17,1,73,2,51
3,14,1,51,3,51
3,21,1,61,2,51
3,19,1,51,3,51
3,17,1,61,3,51
3,13,1,51,8,51
3,15,1,56,3,51
3,13,1,75,3,51
3,15,1,61,2,51
3,28,1,61,2,51
3,15,1,78,8,51
3,18,1,54,3,51
3,23,1,61,3,51
3,19,7,77,5,51
3,16,1,75,3,51
3,23,1,49,5,51
3,18,1,77,2,51
3,16,1,49,8,51
3,26,1,80,3,51
3,24,7,56,2,51
3,18,1,75,8,51
3,18,7,49,3,51
3,16,1,73,5,51
3,26,7,80,3,51
3,19,1,51,2,51
3,24,1,54,2,51
3,20,1,51,5,51
3,20,1,80,3,51
3,19,1,75,3,51
3,20,1,78,1,51
3,21,1,68,2,51
3,27,10,68,3,51
3,21,1,51,8,51
3,33,10,73,3,51
3,18,1,73,3,51
3,19,1,75,3,51
3,18,10,75,8,51
3,22,1,73,2,51
3,23,1,75,3,51
3,30,1,70,8,51
3,37,1,80,3,51
3,24,1,49,3,51
3,30,1,66,3,51
3,27,1,73,8,51
3,28,10,56,3,51
3,27,1,75,5,51
3,29,10,78,5,51
3,25,1,75,8,51
3,29,1,70,5,51
3,26,1,73,1,51
3,23,10,75,5,51
3,23,1,66,3,51
3,29,1,75,8,51
3,36,1,49,2,51
3,29,10,73,2,51
3,29,10,75,3,51
3,36,1,75,3,51
3,30,10,54,8,51
3,23,1,75,8,51
3,23,1,73,5,51
3,26,10,80,8,51
3,31,7,68,5,51
3,38,1,73,8,51
3,23,10,68,3,51
3,36,1,68,5,51
3,34,10,73,8,51
3,47,1,78,3,51
3,34,1,49,3,51
3,31,1,70,3,51
3,32,1,82,3,51
3,47,1,70,3,51
3,26,7,73,3,51
3,26,1,75,5,51
3,39,10,75,3,51
3,41,7,71,2,51
3,40,1,75,5,51
3,41,7,80,2,51
3,42,7,66,3,51
3,35,7,56,3,51
3,40,7,75,8,51
3,35,1,73,5,51
3,38,1,75,3,51
3,46,7,72,3,51
3,39,10,80,5,51
3,36,1,75,2,51
3,41,1,61,3,51
3,51,7,68,3,51
3,46,1,71,3,51
3,41,7,75,3,51
3,34,1,73,3,51
3,31,1,68,5,51
3,54,10,70,3,51
3,43,1,68,3,51
3,41,7,70,8,51
3,44,7,70,3,51
3,39,1,66,3,51
3,56,1,73,2,51
3,44,7,78,3,51
3,48,1,70,8,51
3,54,7,68,5,51
3,53,7,70,3,51
3,59,1,75,2,51
3,39,7,70,3,51
3,41,1,75,5,51
3,53,7,68,2,51
3,42,7,73,3,51
3,42,1,82,3,51
3,53,7,71,3,51
3,40,1,70,8,51
3,50,1,75,3,51
3,49,1,77,2,51
3,48,1,61,1,51
3,41,7,75,3,51
3,40,4,61,3,51
3,52,1,73,2,51
3,37,7,82,3,51
3,53,7,73,3,51
3,52,10,68,3,51
3,50,7,75,2,51
3,43,1,78,3,51
3,43,1,72,8,51
3,49,7,82,1,51
3,44,1,78,5,51
3,58,7,80,5,51
3,41,1,63,3,51
3,60,1,80,2,51
3,53,1,63,3,51
3,61,7,68,8,51
3,43,1,56,3,51
3,55,7,75,2,51
3,42,1,77,3,51
3,46,1,75,2,51
3,57,4,80,3,51
3,70,7,75,3,51
3,53,7,68,5,51
3,66,4,75,2,51
3,51,1,68,3,51
3,54,7,77,3,51
3,58,1,66,1,51
3,48,1,75,3,51
3,57,1,66,3,51
3,60,1,75,3,51
3,51,1,61,3,51
3,56,7,70,2,51
3,54,1,66,3,51
3,52,10,80,3,51
3,64,7,75,2,51
3,62,7,78,2,51
3,60,1,61,3,51
3,52,7,78,8,51
3,66,7,75,2,51
3,53,1,77,1,51
3,70,10,82,8,51
3,66,7,80,2,51
3,64,1,70,2,51
0,0,0,0,0,0
3,68,7,61,1,51
0,0,0,0,0,0
0,0,0,0,0,0
3,63,4,75,2,51
3,73,4,75,2,51
3,64,1,68,3,51
3,50,1,65,3,51
3,74,7,61,3,51
3,71,7,78,3,51
0,0,0,0,0,0
3,66,4,73,5,51
0,0,0,0,0,0
3,63,4,68,3,51
0,0,0,0,0,0
0,0,0,0,0,0
