type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,3
2,0,0,0,0,0
3,1,1,61,3,3
3,1,4,60,3,3
3,1,7,61,3,3
3,1,10,56,3,3
3,2,1,58,3,3
3,2,4,56,3,3
3,2,7,58,3,3
3,2,10,53,3,3
3,3,1,54,3,3
3,3,4,53,3,3
3,3,7,51,3,3
3,3,10,49,3,3
3,4,1,56,3,3
3,4,4,58,3,3
3,4,7,60,3,3
3,4,10,56,3,3
3,5,1,61,3,3
3,5,4,60,3,3
3,5,7,61,3,3
3,5,10,56,3,3
3,6,1,58,3,3
3,6,4,56,3,3
3,6,7,58,3,3
3,6,10,53,3,3
3,7,1,54,3,3
3,7,4,53,3,3
3,7,7,51,3,3
3,7,10,49,3,3
3,8,1,56,3,3
3,8,4,58,3,3
3,8,7,60,3,3
3,8,10,56,3,3
3,9,1,58,3,3
3,9,4,63,3,3
3,9,7,60,3,3
3,9,10,56,3,3
3,10,1,61,3,3
3,10,4,49,3,3
3,10,7,42,3,3
3,10,10,54,6,3
3,11,4,53,2,3
3,11,6,54,1,3
3,11,7,56,3,3
3,11,10,44,3,3
3,12,1,49,3,3
3,12,4,51,3,3
3,12,7,53,3,3
3,12,10,49,3,3
3,13,1,51,3,3
3,13,4,56,3,3
3,13,7,53,3,3
3,13,10,49,3,3
3,14,1,42,3,3
3,14,4,54,3,3
3,14,7,48,6,3
3,15,1,49,3,3
3,15,4,54,3,3
3,15,7,56,3,3
3,15,10,44,3,3
3,16,1,49,6,3
3,16,10,60,3,3
3,17,1,58,3,3
3,17,4,51,3,3
3,17,7,53,3,3
3,17,10,55,3,3
3,18,1,56,3,3
3,18,4,44,3,3
3,18,7,48,3,3
3,18,10,44,3,3
3,19,1,49,6,3
3,19,10,50,3,3
3,20,1,51,6,3
3,20,10,48,3,3
3,21,1,53,6,3
3,21,7,55,3,3
3,21,10,56,3,3
3,22,1,51,6,3
3,22,7,48,3,3
3,22,10,44,3,3
3,23,1,53,4,3
3,23,5,51,2,3
3,23,7,49,3,3
3,23,10,48,3,3
3,24,1,46,3,3
3,24,4,51,3,3
3,24,7,53,3,3
3,24,10,49,3,3
3,25,1,51,3,3
3,25,4,49,3,3
3,25,7,51,3,3
3,25,10,39,3,3
3,26,1,44,6,3
3,26,10,54,3,3
3,27,1,53,3,3
3,27,4,55,3,3
3,27,7,57,3,3
3,27,10,53,3,3
3,28,1,58,3,3
3,28,4,46,3,3
3,28,10,58,3,3
3,29,1,55,3,3
3,29,4,48,3,3
3,29,7,52,3,3
3,29,10,48,3,3
3,30,1,53,9,3
3,30,10,56,3,3
3,31,1,53,3,3
3,31,4,46,3,3
3,31,7,50,3,3
3,31,10,46,3,3
3,32,1,51,9,3
3,32,10,49,3,3
3,33,1,48,6,3
3,33,7,47,12,3
3,34,7,46,3,3
3,34,10,58,3,3
3,35,1,56,3,3
3,35,4,58,2,3
3,35,6,59,1,3
3,35,7,61,3,3
3,35,10,49,3,3
3,36,1,54,3,3
3,36,4,53,3,3
3,36,7,51,3,3
3,36,10,49,3,3
3,37,1,48,3,3
3,37,4,44,3,3
3,37,7,49,3,3
3,37,10,46,3,3
3,38,1,44,6,3
3,38,10,54,3,3
3,39,1,53,3,3
3,39,4,58,3,3
3,39,7,51,3,3
3,39,10,56,3,3
3,40,1,49,6,3
3,40,10,47,3,3
3,41,1,46,3,3
3,41,4,51,3,3
3,41,7,44,3,3
3,41,10,49,3,3
3,42,1,54,3,3
3,42,4,51,3,3
3,42,7,53,3,3
3,42,10,54,3,3
3,43,1,56,3,3
3,43,4,58,3,3
3,43,7,56,3,3
3,43,10,44,3,3
3,44,1,49,6,3
3,44,10,51,3,3
3,45,1,53,6,3
3,45,10,54,3,3
3,46,1,56,6,3
3,46,10,53,3,3
3,47,1,58,12,3
3,48,1,56,12,3
4,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
