type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,31
2,0,0,0,0,0
3,1,7,63,3,31
3,1,1,61,3,31
3,1,7,61,3,31
3,1,4,58,3,31
3,2,4,49,3,31
3,2,10,61,3,31
3,3,10,56,3,31
3,6,10,42,3,31
3,4,4,42,3,31
3,5,1,66,3,31
3,6,10,56,2,31
3,8,1,54,3,31
3,6,1,39,2,31
3,4,7,42,3,31
3,4,7,42,3,31
3,6,1,46,3,31
3,8,1,56,3,31
3,7,1,49,3,31
3,8,7,49,5,31
3,7,1,61,5,31
3,8,1,63,3,31
3,9,7,37,5,31
3,8,1,46,3,31
3,6,1,49,6,31
3,13,1,46,3,31
3,18,1,41,3,31
3,11,1,53,3,31
3,11,7,44,3,31
3,12,7,44,3,31
3,14,1,63,3,31
3,18,1,46,3,31
3,12,1,63,3,31
3,17,1,58,5,31
3,17,1,63,3,31
3,17,7,58,3,31
3,22,7,61,3,31
3,34,1,46,3,31
3,20,1,37,3,31
3,14,1,51,3,31
3,16,1,56,5,31
3,16,1,44,6,31
3,25,7,56,3,31
3,29,1,46,3,31
3,14,1,73,3,31
3,24,1,44,3,31
3,35,7,46,3,31
3,22,7,61,3,31
3,22,1,61,3,31
3,26,7,51,3,31
3,21,7,65,3,31
3,22,7,56,10,31
3,31,1,56,3,31
3,37,1,56,3,31
3,39,7,44,3,31
3,22,7,41,5,31
3,28,1,56,3,31
3,21,1,37,3,31
3,22,1,61,3,31
3,22,7,39,5,31
3,40,1,65,6,31
3,27,1,56,3,31
3,32,1,39,6,31
3,24,7,56,3,31
3,27,1,68,3,31
3,28,1,39,3,31
3,41,7,63,3,31
3,30,7,44,5,31
3,26,1,63,3,31
3,36,7,73,3,31
3,49,1,56,3,31
3,43,7,46,3,31
3,46,1,44,3,31
3,32,7,61,5,31
3,32,1,37,5,31
3,31,1,41,6,31
3,45,7,49,3,31
3,45,7,68,6,31
3,49,7,49,6,31
3,51,1,39,3,31
3,49,7,63,10,31
3,44,1,68,5,31
3,42,7,37,5,31
3,42,1,61,6,31
3,33,7,46,3,31
3,48,1,70,3,31
3,58,1,68,3,31
3,52,7,63,6,31
3,53,1,44,6,31
3,62,1,37,5,31
3,48,7,68,5,31
3,58,1,39,5,31
3,60,1,61,5,31
3,65,7,68,3,31
3,56,1,56,5,31
3,55,1,46,3,31
3,45,1,46,3,31
3,60,1,37,6,31
3,49,7,37,6,31
3,60,7,37,10,31
3,54,1,61,3,31
3,51,1,46,3,31
3,45,1,41,10,31
3,57,1,61,10,31
3,62,1,44,3,31
3,62,7,61,5,31
3,55,1,39,3,31
3,51,1,37,5,31
3,48,1,41,3,31
3,59,1,44,3,31
3,59,1,49,6,31
3,55,7,63,3,31
3,61,7,44,6,31
3,74,7,39,5,31
3,66,1,44,3,31
3,52,1,63,3,31
3,73,7,49,3,31
3,72,7,44,5,31
3,56,1,51,3,31
3,62,1,51,3,31
3,66,7,41,3,31
3,67,1,63,3,31
3,73,1,46,3,31
3,70,1,51,3,31
3,73,1,56,3,31
3,54,1,39,5,31
3,56,7,37,3,31
3,72,1,39,3,31
3,72,7,37,3,31
3,59,7,61,3,31
3,62,7,46,3,31
3,72,1,49,1,31
3,58,1,56,5,31
3,52,7,56,5,31
3,59,7,42,6,31
0,0,0,0,0,0
