type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,31
2,0,0,0,0,0
3,1,1,49,3,31
3,1,4,51,3,31
3,1,7,53,3,31
3,1,10,54,3,31
3,2,1,56,3,31
3,2,4,51,3,31
3,2,7,56,3,31
3,2,10,54,3,31
3,3,1,53,9,31
3,3,10,58,3,31
3,4,1,51,5,31
3,4,7,56,5,31
3,5,1,49,3,31
3,5,4,56,3,31
3,5,7,58,3,31
3,5,10,60,3,31
3,6,1,61,3,31
3,6,4,56,3,31
3,6,7,49,5,31
3,7,1,48,10,31
3,8,1,43,10,31
3,9,1,44,3,31
3,9,4,46,3,31
3,9,7,48,3,31
3,9,10,49,3,31
3,10,1,51,3,31
3,10,4,46,3,31
3,10,7,51,3,31
3,10,10,49,3,31
3,11,1,48,10,31
3,12,1,46,3,31
3,12,4,51,3,31
3,12,7,46,3,31
3,12,10,48,3,31
3,13,1,49,3,31
3,13,4,51,3,31
3,13,7,53,3,31
3,13,10,54,3,31
3,14,1,56,3,31
3,14,4,51,3,31
3,14,7,56,3,31
3,14,10,54,3,31
3,15,1,53,10,31
3,16,1,54,6,31
3,16,7,53,3,31
3,16,10,51,3,31
3,17,1,49,5,31
3,18,1,44,3,31
3,18,4,46,3,31
3,18,7,48,3,31
3,18,10,49,3,31
3,19,1,51,3,31
3,19,4,46,3,31
3,19,7,51,3,31
3,19,10,49,3,31
3,20,1,48,3,31
3,20,4,44,3,31
3,20,7,56,3,31
3,20,10,54,3,31
3,21,1,53,10,31
3,22,1,55,10,31
3,23,1,56,3,31
3,23,4,51,3,31
3,23,7,56,3,31
3,23,10,54,3,31
3,24,1,53,5,31
3,25,1,54,3,31
3,25,4,49,3,31
3,25,7,54,3,31
3,25,10,53,3,31
3,26,1,51,3,31
3,26,4,56,3,31
3,26,7,54,3,31
3,26,10,56,3,31
3,27,1,53,10,31
3,28,1,48,5,31
3,29,1,49,3,31
3,29,4,51,3,31
3,29,7,53,3,31
3,29,10,54,3,31
3,30,1,56,3,31
3,30,4,51,3,31
3,30,7,56,3,31
3,30,10,54,3,31
3,31,1,53,10,31
3,32,1,51,5,31
3,32,7,56,5,31
3,33,1,54,3,31
3,33,4,53,3,31
3,33,7,54,3,31
3,33,10,56,3,31
3,34,1,53,3,31
3,34,4,51,3,31
3,34,7,53,3,31
3,34,10,54,3,31
3,35,1,51,10,31
3,36,1,49,5,31
3,36,7,61,5,31
3,37,1,60,3,31
3,37,4,58,3,31
3,37,7,60,3,31
3,37,10,61,3,31
3,38,1,58,5,31
3,38,7,60,5,31
3,39,1,61,3,31
3,39,4,49,3,31
3,39,7,51,3,31
3,39,10,53,3,31
3,40,1,54,5,31
3,40,7,53,5,31
3,41,1,51,3,31
3,41,4,63,3,31
3,41,7,56,3,31
3,41,10,58,3,31
3,42,1,60,3,31
3,42,4,56,3,31
3,42,7,53,3,31
3,42,10,58,3,31
3,43,1,51,3,31
3,43,4,56,3,31
3,43,7,53,3,31
3,43,10,54,3,31
3,44,1,56,5,31
3,44,7,44,5,31
3,45,1,49,17,31
4,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
