type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,31
2,0,0,0,0,0
3,1,1,75,2,25
3,2,1,75,2,25
3,2,7,68,2,25
3,2,1,63,2,25
3,2,7,72,3,25
3,2,7,70,1,25
3,3,1,67,2,25
3,1,1,75,1,25
3,3,7,77,3,25
3,3,1,51,2,25
3,4,1,63,1,25
3,2,10,74,3,25
3,13,1,56,2,25
3,6,7,53,2,25
3,3,7,63,3,25
3,3,7,70,1,25
3,3,10,56,2,25
3,8,10,56,1,25
3,12,10,60,1,25
3,15,1,70,2,25
3,7,1,63,2,25
3,16,10,63,3,25
3,4,1,67,2,25
3,25,7,60,1,25
3,6,1,60,1,25
3,12,1,74,3,25
3,10,10,70,2,25
3,21,1,60,1,25
3,12,1,65,2,25
3,9,10,53,2,25
3,4,1,70,1,25
3,8,10,58,2,25
3,14,1,63,2,25
3,15,10,72,2,25
3,11,1,63,1,25
3,11,1,60,2,25
3,15,10,77,1,25
3,13,1,63,1,25
3,24,7,56,1,25
3,14,7,74,2,25
3,18,1,62,2,25
3,9,1,75,1,25
3,11,1,55,2,25
3,8,4,75,2,25
3,7,1,65,2,25
3,26,10,75,3,25
3,12,10,63,1,25
3,26,7,70,2,25
3,12,1,70,1,25
3,32,1,62,2,25
3,20,10,74,2,25
3,26,1,62,1,25
3,13,7,67,2,25
3,10,7,65,6,25
3,24,1,77,3,25
3,15,1,65,1,25
3,23,1,65,2,25
3,10,1,62,2,25
3,10,1,65,1,25
3,20,10,72,2,25
3,23,7,65,1,25
3,24,7,60,3,25
3,16,7,74,2,25
3,34,1,67,3,25
3,36,7,65,3,25
3,28,1,65,1,25
3,30,7,69,2,25
3,18,7,74,2,25
3,31,7,72,3,25
3,14,7,60,2,25
3,36,7,74,2,25
3,16,1,75,1,25
3,23,7,60,2,25
3,21,7,58,3,25
3,34,1,60,1,25
3,21,1,60,3,25
3,24,7,72,3,25
3,14,7,75,2,25
3,34,7,67,2,25
3,15,1,67,3,25
3,24,7,65,1,25
3,20,7,70,1,25
3,45,1,70,1,25
3,25,7,65,2,25
3,21,7,62,2,25
3,31,10,63,3,25
3,21,1,55,2,25
3,44,7,77,1,25
3,25,1,70,2,25
3,15,1,67,2,25
3,28,7,77,3,25
3,20,7,75,2,25
3,22,1,74,2,25
3,23,7,58,1,25
3,16,1,62,2,25
3,17,1,67,1,25
3,22,1,72,2,25
3,37,1,65,3,25
3,21,1,55,6,25
3,36,1,58,3,25
3,27,1,65,3,25
3,16,7,56,3,25
3,26,7,67,1,25
3,25,7,67,3,25
3,16,1,67,1,25
3,18,4,48,3,25
3,28,1,75,1,25
3,25,7,53,2,25
3,29,7,56,2,25
3,29,1,51,3,25
3,40,1,67,3,25
3,26,1,60,3,25
3,34,1,65,3,25
3,26,1,72,3,25
3,22,1,58,3,25
3,36,7,60,1,25
3,28,7,65,3,25
3,22,7,72,1,25
3,40,7,75,2,25
3,25,4,67,1,25
3,27,7,63,1,25
3,39,7,62,3,25
3,27,7,65,3,25
3,29,7,74,3,25
3,34,1,74,6,25
3,37,1,55,3,25
3,28,7,72,3,25
3,27,1,75,3,25
3,35,7,48,3,25
3,44,1,75,3,25
3,25,7,62,3,25
3,39,7,53,6,25
3,19,1,72,3,25
3,41,1,53,3,25
3,47,1,63,2,25
3,40,1,62,3,25
3,32,7,70,2,25
3,35,7,72,2,25
3,32,1,62,2,25
3,34,1,67,3,25
3,23,1,60,6,25
3,29,1,63,3,25
3,31,7,72,2,25
3,29,1,55,2,25
3,25,1,53,2,25
3,30,1,77,2,25
3,24,1,58,1,25
3,41,1,67,1,25
3,35,1,65,3,25
3,23,1,62,3,25
3,43,1,72,2,25
3,43,1,70,2,25
3,45,1,74,2,25
3,46,1,67,3,25
3,38,7,70,1,25
3,41,7,58,2,25
3,29,1,51,3,25
3,37,7,70,1,25
3,42,7,72,1,25
3,30,1,74,3,25
3,35,7,70,3,25
3,38,7,62,2,25
