type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,27
2,0,0,0,0,0
3,1,4,58,3,27
3,1,7,57,3,27
3,1,10,53,3,27
3,2,1,58,3,27
3,2,4,46,3,27
3,2,7,53,3,27
3,2,10,51,3,27
3,3,1,50,3,27
3,3,4,58,3,27
3,3,7,57,3,27
3,3,10,53,3,27
3,4,1,58,3,27
3,4,4,46,3,27
3,4,7,53,3,27
3,4,10,51,3,27
3,5,1,50,3,27
3,5,4,46,3,27
3,5,7,51,3,27
3,5,10,48,3,27
3,6,1,53,3,27
3,6,4,50,3,27
3,6,7,55,3,27
3,6,10,51,3,27
3,7,1,50,3,27
3,7,4,46,3,27
3,7,7,51,3,27
3,7,10,48,3,27
3,8,1,53,3,27
3,8,4,41,3,27
3,8,7,46,3,27
3,8,10,58,6,27
3,9,4,57,3,27
3,9,7,58,3,27
3,9,10,60,3,27
3,10,1,62,3,27
3,10,4,57,3,27
3,10,7,58,3,27
3,10,10,60,3,27
3,11,1,62,3,27
3,11,4,57,3,27
3,11,7,58,3,27
3,11,10,55,3,27
3,12,1,57,3,27
3,12,4,59,3,27
3,12,7,60,2,27
3,12,9,72,1,27
3,12,10,71,1,27
3,12,11,72,2,27
3,13,1,69,2,27
3,13,3,72,1,27
3,13,4,65,1,27
3,13,5,69,2,27
3,13,7,62,2,27
3,13,9,70,1,27
3,13,10,69,1,27
3,13,11,70,2,27
3,14,1,67,2,27
3,14,3,70,1,27
3,14,4,64,1,27
3,14,5,67,2,27
3,14,7,60,2,27
3,14,9,69,1,27
3,14,10,67,1,27
3,14,11,69,2,27
3,15,1,65,2,27
3,15,3,69,1,27
3,15,4,62,1,27
3,15,5,65,2,27
3,15,7,58,2,27
3,15,9,67,1,27
3,15,10,65,1,27
3,15,11,67,2,27
3,16,1,64,2,27
3,16,3,67,1,27
3,16,4,60,1,27
3,16,5,64,2,27
3,16,7,57,6,27
3,17,1,65,3,27
3,17,4,69,3,27
3,17,7,70,3,27
3,17,10,62,3,27
3,18,1,64,3,27
3,18,4,67,3,27
3,18,7,69,3,27
3,18,10,60,3,27
3,19,1,62,3,27
3,19,4,65,3,27
3,19,7,67,3,27
3,19,10,58,3,27
3,20,1,60,3,27
3,20,4,64,3,27
3,20,7,65,3,27
3,20,10,57,3,27
3,21,1,58,3,27
3,21,4,60,3,27
3,21,7,57,3,27
3,21,10,62,3,27
3,22,1,58,3,27
3,22,4,60,3,27
3,22,7,57,3,27
3,22,10,62,3,27
3,23,1,58,3,27
3,23,4,60,3,27
3,23,7,57,3,27
3,23,10,58,3,27
3,24,1,60,3,27
3,24,4,48,3,27
3,24,7,41,3,27
3,24,10,53,3,27
3,25,1,46,3,27
3,25,4,48,3,27
3,25,7,45,3,27
3,25,10,50,3,27
3,26,1,46,3,27
3,26,4,48,3,27
3,26,7,45,3,27
3,26,10,50,3,27
3,27,1,46,3,27
3,27,4,48,3,27
3,27,7,45,3,27
3,27,10,46,3,27
3,28,1,48,3,27
3,28,4,48,3,27
3,28,7,41,6,27
3,29,4,53,3,27
3,29,7,52,3,27
3,29,10,48,3,27
3,30,1,53,3,27
3,30,4,41,3,27
3,30,7,48,3,27
3,30,10,46,3,27
3,31,1,45,3,27
3,31,4,53,3,27
3,31,7,52,3,27
3,31,10,48,3,27
3,32,1,53,3,27
3,32,4,41,3,27
3,32,7,48,3,27
3,32,10,58,3,27
3,33,1,57,3,27
3,33,4,53,3,27
3,33,7,58,3,27
3,33,10,55,3,27
3,34,1,60,3,27
3,34,4,57,3,27
3,34,7,62,3,27
3,34,10,58,3,27
3,35,1,57,3,27
3,35,4,53,3,27
3,35,7,58,3,27
3,35,10,55,3,27
3,36,1,60,3,27
3,36,4,48,3,27
3,36,7,41,3,27
3,36,10,53,6,27
3,37,4,52,3,27
3,37,7,53,3,27
3,37,10,50,3,27
3,38,1,51,3,27
3,38,4,47,3,27
3,38,7,48,3,27
3,38,10,60,6,27
3,39,4,59,3,27
3,39,7,60,3,27
3,39,10,57,3,27
3,40,1,58,3,27
3,40,4,54,3,27
3,40,7,55,9,27
3,41,4,58,3,27
3,41,7,60,3,27
3,41,10,63,3,27
3,42,1,65,3,27
3,42,4,57,3,27
3,42,7,58,3,27
3,42,10,62,3,27
3,43,1,63,3,27
3,43,4,55,3,27
3,43,7,57,3,27
3,43,10,60,3,27
3,44,1,62,3,27
3,44,4,54,3,27
3,44,7,55,3,27
3,44,10,62,3,27
3,45,1,58,2,27
3,45,3,62,1,27
3,45,4,67,1,27
3,45,5,65,2,27
3,45,7,63,2,27
3,45,9,67,1,27
3,45,10,60,1,27
3,45,11,63,2,27
3,46,1,57,2,27
3,46,3,60,1,27
3,46,4,65,1,27
3,46,5,63,2,27
3,46,7,62,2,27
3,46,9,65,1,27
3,46,10,58,1,27
3,46,11,62,2,27
3,47,1,55,2,27
3,47,3,58,1,27
3,47,4,63,1,27
3,47,5,62,2,27
3,47,7,60,2,27
3,47,9,63,1,27
3,47,10,57,1,27
3,47,11,60,2,27
3,48,1,54,2,27
3,48,3,57,1,27
3,48,4,62,1,27
3,48,5,60,2,27
3,48,7,58,3,27
3,48,10,55,3,27
3,49,1,60,3,27
3,49,4,62,3,27
3,49,7,58,3,27
3,49,10,63,3,27
3,50,1,60,3,27
3,50,4,62,3,27
3,50,7,58,3,27
3,50,10,63,3,27
3,51,1,60,3,27
3,51,4,62,3,27
3,51,7,58,3,27
3,51,10,60,3,27
3,52,1,62,3,27
3,52,4,50,3,27
3,52,7,43,3,27
3,52,10,55,3,27
3,53,1,48,3,27
3,53,4,50,3,27
3,53,7,46,3,27
3,53,10,51,3,27
3,54,1,48,3,27
3,54,4,50,3,27
3,54,7,46,3,27
3,54,10,51,3,27
3,55,1,48,3,27
3,55,4,50,3,27
3,55,7,46,3,27
3,55,10,48,3,27
3,56,1,50,3,27
3,56,4,50,3,27
3,56,7,43,2,27
3,56,9,55,1,27
3,56,10,53,1,27
3,56,11,51,2,27
3,57,1,50,3,27
3,57,4,58,3,27
3,57,7,57,3,27
3,57,10,53,3,27
3,58,1,58,3,27
3,58,4,46,3,27
3,58,7,53,3,27
3,58,10,51,3,27
3,59,1,50,3,27
3,59,4,58,3,27
3,59,7,57,3,27
3,59,10,53,3,27
3,60,1,58,3,27
3,60,4,46,3,27
3,60,7,53,3,27
3,60,10,63,3,27
3,61,1,62,3,27
3,61,4,58,3,27
3,61,7,63,3,27
3,61,10,67,3,27
3,62,1,62,3,27
3,62,4,58,3,27
3,62,7,63,3,27
3,62,10,67,3,27
3,63,1,64,3,27
3,63,4,60,3,27
3,63,7,65,3,27
3,63,10,69,3,27
3,64,1,64,3,27
3,64,4,60,3,27
3,64,7,53,6,27
3,65,1,58,3,27
3,65,4,62,3,27
3,65,7,63,3,27
3,65,10,55,3,27
3,66,1,57,3,27
3,66,4,60,3,27
3,66,7,62,3,27
3,66,10,53,3,27
3,67,1,55,3,27
3,67,4,58,3,27
3,67,7,60,3,27
3,67,10,51,3,27
3,68,1,53,3,27
3,68,4,57,3,27
3,68,7,58,2,27
3,68,9,65,1,27
3,68,10,64,1,27
3,68,11,65,2,27
3,69,1,62,2,27
3,69,3,65,1,27
3,69,4,58,1,27
3,69,5,62,2,27
3,69,7,55,2,27
3,69,9,63,1,27
3,69,10,62,1,27
3,69,11,63,2,27
3,70,1,60,2,27
3,70,3,63,1,27
3,70,4,57,1,27
3,70,5,60,2,27
3,70,7,53,2,27
3,70,9,62,1,27
3,70,10,60,1,27
3,70,11,62,2,27
3,71,1,58,2,27
