type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,27
2,0,0,0,0,0
3,1,1,59,3,27
3,1,4,66,3,27
3,1,1,51,2,27
3,1,1,63,6,27
3,1,1,39,2,27
3,2,7,51,3,27
3,5,7,47,6,27
3,3,1,58,2,27
3,8,1,42,3,27
3,3,1,54,3,27
3,5,4,61,2,27
3,4,4,56,2,27
3,3,1,56,3,27
3,4,1,59,2,27
3,7,10,52,2,27
3,6,1,52,2,27
3,11,4,47,3,27
3,5,4,52,1,27
3,6,1,51,1,27
3,21,1,47,3,27
3,6,1,44,3,27
3,6,1,37,2,27
3,6,10,54,1,27
3,6,4,51,3,27
3,7,1,49,6,27
3,6,7,56,3,27
3,6,4,58,2,27
3,9,1,47,2,27
3,12,1,54,3,27
3,9,10,47,3,27
3,10,4,58,1,27
3,7,1,49,2,27
3,7,10,49,6,27
3,17,1,56,3,27
3,13,1,61,2,27
3,18,1,51,3,27
3,15,10,61,2,27
3,9,10,59,3,27
3,13,10,52,1,27
3,22,10,47,6,27
3,12,10,53,1,27
3,11,10,42,1,27
3,12,1,42,3,27
3,14,1,54,6,27
3,9,10,37,3,27
3,8,10,44,3,27
3,12,10,42,3,27
3,14,10,59,1,27
3,14,10,53,2,27
3,13,1,54,3,27
3,10,1,39,1,27
3,18,10,54,2,27
3,22,4,40,3,27
3,18,10,56,6,27
3,15,1,56,3,27
3,16,1,54,1,27
3,12,1,39,3,27
3,19,10,46,6,27
3,14,10,54,2,27
3,17,1,42,3,27
3,14,10,56,6,27
3,24,10,47,1,27
3,19,7,52,1,27
3,18,10,59,2,27
3,21,4,59,2,27
3,13,1,51,3,27
3,13,1,61,2,27
3,18,1,54,2,27
3,22,4,39,2,27
3,11,4,54,2,27
3,19,1,54,2,27
3,27,10,51,3,27
3,17,1,56,3,27
3,23,1,37,6,27
3,15,4,49,1,27
3,24,4,54,3,27
3,16,10,54,3,27
3,20,10,42,3,27
3,21,10,47,3,27
3,22,1,56,2,27
3,26,4,58,3,27
3,21,10,47,2,27
3,14,4,56,3,27
3,18,4,39,2,27
3,19,10,59,3,27
3,21,10,61,3,27
3,16,10,59,6,27
3,18,4,58,1,27
3,21,4,44,3,27
3,20,1,49,1,27
3,16,1,59,2,27
3,23,10,49,1,27
3,25,4,44,2,27
3,21,4,46,3,27
3,19,4,54,3,27
3,24,4,42,2,27
3,20,1,44,2,27
3,23,1,52,1,27
3,21,1,47,2,27
3,32,10,42,6,27
3,24,10,37,3,27
3,27,7,49,6,27
3,36,1,49,2,27
3,25,10,58,2,27
3,25,1,49,3,27
3,30,10,46,6,27
3,33,1,54,2,27
3,37,10,58,3,27
3,31,1,47,2,27
3,22,1,39,1,27
3,39,10,42,2,27
3,22,4,58,1,27
3,39,10,47,3,27
3,30,10,42,1,27
3,36,4,58,3,27
3,23,4,47,2,27
3,36,10,54,3,27
3,31,4,47,2,27
3,29,10,46,6,27
3,37,1,54,6,27
3,32,10,44,1,27
3,30,4,46,2,27
3,37,1,42,2,27
3,40,4,47,2,27
3,48,4,39,6,27
3,41,10,49,3,27
3,42,4,54,2,27
3,30,1,42,1,27
3,30,4,44,1,27
3,34,10,47,3,27
3,41,4,54,6,27
3,37,4,58,6,27
3,38,4,46,3,27
3,32,4,54,2,27
3,31,10,44,3,27
3,37,10,49,6,27
3,33,10,39,1,27
3,48,10,47,6,27
3,38,10,51,2,27
3,53,10,54,2,27
3,43,4,35,2,27
3,55,1,59,2,27
3,49,10,35,3,27
3,50,1,49,2,27
3,65,10,58,2,27
3,53,10,42,2,27
3,41,4,35,6,27
3,38,10,44,6,27
3,32,10,59,2,27
3,34,10,44,6,27
3,48,4,35,2,27
3,50,4,56,3,27
3,36,4,44,6,27
3,47,10,44,1,27
3,48,10,56,6,27
3,37,4,51,2,27
3,52,10,46,3,27
3,39,4,54,3,27
3,37,1,54,1,27
3,41,10,59,3,27
3,40,4,54,3,27
3,35,4,47,1,27
3,54,10,56,2,27
3,42,4,35,2,27
3,48,10,49,2,27
3,55,10,59,6,27
3,64,10,39,3,27
3,41,10,54,2,27
3,52,4,47,3,27
3,55,1,47,3,27
3,53,4,39,1,27
3,47,1,35,2,27
3,46,4,42,1,27
3,39,1,58,2,27
3,56,10,58,2,27
3,51,10,49,3,27
3,39,4,51,3,27
3,45,4,49,1,27
3,50,4,51,2,27
3,65,10,35,1,27
3,56,4,47,1,27
3,37,4,35,2,27
3,42,10,37,6,27
3,63,10,47,3,27
3,72,10,42,6,27
3,59,4,42,2,27
3,49,4,58,6,27
3,55,10,47,2,27
3,51,10,59,2,27
3,40,4,59,3,27
3,39,1,59,3,27
3,52,4,59,2,27
3,59,1,58,6,27
3,55,1,35,6,27
3,46,1,54,6,27
3,65,1,58,3,27
3,65,1,59,6,27
3,76,1,39,3,27
3,52,4,49,3,27
3,50,10,56,2,27
3,65,10,39,3,27
3,65,10,54,2,27
3,68,4,49,2,27
3,71,10,42,2,27
3,55,1,39,3,27
3,64,4,46,3,27
3,40,4,42,1,27
3,65,10,35,6,27
3,52,4,49,1,27
3,55,10,39,3,27
3,53,10,49,2,27
3,53,10,37,1,27
3,55,1,47,6,27
3,53,1,35,3,27
3,60,4,47,2,27
3,76,10,58,1,27
3,69,10,47,6,27
3,51,10,46,2,27
3,55,4,47,3,27
3,52,4,54,6,27
3,71,4,35,6,27
3,67,4,39,6,27
3,66,10,49,2,27
3,66,10,51,3,27
3,88,10,46,6,27
3,66,1,44,3,27
3,71,1,59,2,27
3,71,4,49,1,27
3,74,10,35,6,27
3,66,4,39,3,27
3,53,4,56,3,27
3,66,4,42,3,27
3,77,10,44,2,27
3,76,10,37,1,27
3,82,4,49,3,27
3,49,10,47,3,27
3,61,1,47,3,27
3,79,4,54,2,27
3,67,1,35,1,27
3,65,10,46,3,27
3,72,10,35,2,27
3,61,10,54,2,27
3,70,10,51,1,27
3,62,4,37,2,27
3,71,4,54,2,27
3,70,10,42,1,27
3,50,4,54,1,27
3,59,1,44,2,27
3,63,10,49,3,27
3,63,4,47,3,27
3,82,10,44,2,27
3,82,4,42,3,27
3,66,4,54,6,27
3,77,4,44,3,27
3,79,10,56,2,27
3,76,10,59,2,27
0,0,0,0,0,0
