type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,26
2,0,0,0,0,0
3,1,7,71,2,26
3,1,9,68,1,26
3,1,10,67,6,26
3,2,4,68,6,26
3,2,10,63,3,26
3,3,1,56,2,26
3,3,3,59,1,26
3,3,4,63,3,26
3,3,7,61,3,26
3,3,10,59,3,26
3,4,1,58,2,26
3,4,3,59,1,26
3,4,4,56,3,26
3,4,10,59,1,26
3,4,11,61,2,26
3,5,1,58,3,26
3,5,7,61,2,26
3,5,9,63,1,26
3,5,10,59,3,26
3,6,1,64,3,26
3,6,4,63,3,26
3,6,7,61,3,26
3,6,10,59,3,26
3,7,1,58,3,26
3,7,4,56,3,26
3,7,7,55,3,26
3,7,10,55,1,26
3,7,11,56,2,26
3,8,1,58,3,26
3,8,4,51,6,26
3,9,1,63,3,26
3,9,4,61,1,26
3,9,5,59,2,26
3,9,7,58,2,26
3,9,9,61,1,26
3,9,10,59,1,26
3,9,11,63,2,26
3,10,1,65,2,26
3,10,3,67,1,26
3,10,4,68,1,26
3,10,5,70,2,26
3,10,7,71,2,26
3,10,9,68,1,26
3,10,10,67,6,26
3,11,4,68,6,26
3,11,10,63,3,26
3,12,1,56,2,26
3,12,3,59,1,26
3,12,4,63,3,26
3,12,7,61,3,26
3,12,10,59,3,26
3,13,1,58,2,26
3,13,3,59,1,26
3,13,4,56,3,26
3,13,10,59,1,26
3,13,11,61,2,26
3,14,1,58,3,26
3,14,7,61,2,26
3,14,9,63,1,26
3,14,10,59,3,26
3,15,1,64,3,26
3,15,4,63,3,26
3,15,7,61,3,26
3,15,10,59,3,26
3,16,1,58,3,26
3,16,4,56,3,26
3,16,7,55,2,26
3,16,9,61,1,26
3,16,10,59,1,26
3,16,11,58,2,26
3,17,1,56,2,26
3,17,3,55,1,26
3,17,4,56,3,26
3,17,7,61,4,26
3,17,11,63,1,26
3,17,12,64,1,26
3,18,1,63,3,26
3,18,4,63,1,26
3,18,5,61,2,26
3,18,7,59,2,26
3,18,9,58,1,26
3,18,10,56,3,26
3,19,7,67,3,26
3,19,10,68,1,26
3,19,11,67,2,26
3,20,1,68,2,26
3,20,3,70,1,26
3,20,3,70,1,26
3,20,4,71,6,26
3,20,10,68,3,26
3,21,1,70,3,26
3,21,4,63,3,26
3,21,7,63,3,26
3,21,10,68,3,26
3,22,1,61,3,26
3,22,4,61,3,26
3,22,7,66,6,26
3,23,4,64,6,26
3,24,1,63,2,26
3,24,3,66,1,26
3,24,4,64,1,26
3,24,5,63,2,26
3,24,7,61,2,26
3,24,9,59,1,26
3,24,10,61,1,26
3,24,11,64,2,26
3,25,1,63,2,26
3,25,3,61,1,26
3,25,4,59,1,26
3,25,5,58,2,26
3,25,7,59,2,26
3,25,9,63,1,26
3,25,10,61,1,26
3,25,11,59,2,26
3,26,1,58,2,26
3,26,3,56,1,26
3,26,4,54,3,26
3,26,7,66,3,26
3,26,10,54,3,26
3,27,1,63,2,26
3,27,3,59,1,26
3,27,4,58,1,26
3,27,5,59,2,26
3,27,7,64,6,26
3,28,1,63,2,26
3,28,3,61,1,26
3,28,4,59,1,26
3,28,5,58,2,26
3,28,7,59,3,26
3,28,10,54,3,26
3,29,1,58,3,26
3,29,4,59,5,26
3,29,9,61,1,26
3,29,10,63,1,26
3,29,11,64,2,26
3,30,1,63,2,26
3,30,3,59,1,26
3,30,4,58,1,26
3,30,5,59,2,26
3,30,7,64,6,26
3,31,1,63,2,26
3,31,3,61,1,26
3,31,4,59,1,26
3,31,5,58,2,26
3,31,7,59,3,26
3,31,10,54,3,26
3,32,1,58,3,26
3,32,4,59,6,26
3,33,1,66,3,26
3,33,4,64,1,26
3,33,5,63,2,26
3,33,7,64,3,26
3,33,10,63,3,26
3,34,1,63,3,26
3,34,4,71,3,26
3,34,7,70,3,26
3,34,10,68,1,26
3,34,11,67,2,26
3,35,1,68,2,26
3,35,3,68,1,26
3,35,4,67,6,26
3,35,10,68,3,26
3,36,1,63,3,26
3,36,4,64,1,26
3,36,5,63,2,26
3,36,7,64,2,26
3,36,9,61,1,26
3,36,10,63,6,26
3,37,7,63,6,26
3,38,1,61,3,26
3,38,4,59,1,26
3,38,5,58,2,26
3,38,7,56,3,26
3,38,10,70,3,26
3,39,1,71,2,26
3,39,3,68,1,26
3,39,4,67,6,26
3,39,10,68,6,26
3,40,4,63,3,26
3,40,7,56,2,26
3,40,9,59,1,26
3,40,10,63,3,26
3,41,1,61,3,26
3,41,4,59,3,26
3,41,7,58,2,26
3,41,9,59,1,26
3,41,10,56,3,26
3,42,4,59,1,26
3,42,5,61,2,26
3,42,7,58,3,26
3,43,1,61,2,26
3,43,3,63,1,26
3,43,4,59,3,26
3,43,7,64,3,26
3,43,10,63,3,26
3,44,1,61,3,26
3,44,4,59,3,26
3,44,7,58,3,26
3,44,10,56,3,26
3,45,1,55,3,26
3,45,4,55,1,26
3,45,5,56,2,26
3,45,7,58,3,26
3,45,10,51,6,26
3,46,7,63,3,26
3,46,10,61,1,26
3,46,11,59,2,26
3,47,1,58,2,26
3,47,3,61,1,26
3,47,4,59,1,26
3,47,5,63,2,26
3,47,7,65,2,26
3,47,9,67,1,26
3,47,10,68,1,26
3,47,11,70,2,26
3,48,1,71,2,26
3,48,3,68,1,26
3,48,4,67,6,26
3,48,10,68,6,26
3,49,4,63,3,26
3,49,7,56,2,26
3,49,9,59,1,26
3,49,10,63,3,26
3,50,1,61,3,26
3,50,4,59,3,26
3,50,7,58,2,26
3,50,9,59,1,26
3,50,10,56,3,26
3,51,4,59,1,26
3,51,5,61,2,26
3,51,7,58,3,26
3,52,1,61,2,26
3,52,3,63,1,26
3,52,4,59,3,26
3,52,7,64,3,26
3,52,10,63,3,26
3,53,1,61,3,26
3,53,4,59,3,26
3,53,7,58,3,26
3,53,10,56,3,26
3,54,1,55,2,26
3,54,3,61,1,26
3,54,4,59,1,26
3,54,5,58,2,26
3,54,7,56,2,26
3,54,9,55,1,26
3,54,10,56,3,26
3,55,1,61,4,26
3,55,5,63,1,26
3,55,6,64,1,26
3,55,7,63,3,26
3,55,10,63,1,26
3,55,11,61,2,26
3,56,1,59,2,26
3,56,3,58,1,26
3,56,4,56,6,26
4,0,0,0,0,0
