type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,26
2,0,0,0,0,0
3,1,7,60,6,27
3,3,1,65,6,27
3,2,1,56,6,27
3,4,1,63,3,27
3,3,7,51,6,27
3,4,1,56,6,27
3,4,7,56,6,27
3,7,7,53,6,27
3,7,1,58,6,27
3,4,7,58,6,27
3,7,1,58,12,27
3,7,1,47,3,27
3,7,7,56,6,27
3,10,1,60,3,27
3,10,1,56,3,27
3,7,7,61,6,27
3,11,7,56,1,27
3,10,7,56,6,27
3,10,1,56,6,27
3,10,1,56,3,27
3,15,1,56,12,27
3,11,1,61,6,27
3,13,7,52,6,27
3,15,1,49,6,27
3,14,7,51,6,27
3,12,7,49,12,27
3,14,1,54,3,27
3,17,1,52,6,27
3,15,7,42,6,27
3,12,1,46,6,27
3,19,7,58,1,27
3,24,1,58,1,27
3,19,1,54,6,27
3,15,1,54,6,27
3,17,1,54,12,27
3,17,1,56,6,27
3,21,1,59,6,27
3,23,7,52,6,27
3,16,1,47,1,27
3,22,1,35,12,27
3,18,1,49,6,27
3,23,1,58,6,27
3,28,1,47,6,27
3,26,1,42,12,27
3,21,7,42,6,27
3,18,7,47,6,27
3,24,7,47,1,27
3,24,1,47,6,27
3,30,1,51,3,27
3,22,1,54,3,27
3,22,1,59,3,27
3,36,7,51,6,27
3,25,7,40,3,27
3,26,1,63,6,27
3,23,7,61,3,27
3,42,1,47,3,27
3,22,1,59,3,27
3,29,1,42,6,27
3,26,1,56,3,27
3,33,1,49,6,27
3,25,1,54,3,27
3,33,1,56,3,27
3,35,7,49,6,27
3,28,7,56,3,27
3,26,1,51,3,27
3,37,1,58,3,27
3,27,1,54,6,27
3,47,1,54,3,27
3,27,7,59,3,27
3,37,7,54,6,27
3,36,1,52,3,27
3,27,7,46,6,27
3,38,1,51,6,27
3,30,1,61,6,27
3,48,7,52,12,27
3,38,7,49,6,27
3,39,7,56,3,27
3,31,7,52,3,27
3,51,7,58,6,27
3,42,1,52,6,27
3,30,1,42,12,27
3,40,7,52,6,27
3,37,7,61,6,27
3,56,1,58,12,27
3,44,1,51,6,27
3,43,1,51,6,27
3,45,1,37,6,27
3,36,7,59,12,27
3,52,7,59,12,27
3,36,7,44,3,27
3,46,1,40,1,27
3,50,7,54,3,27
3,56,1,37,3,27
3,54,1,47,3,27
3,38,1,47,6,27
3,37,1,59,3,27
3,40,1,42,12,27
3,50,1,49,6,27
3,37,1,44,3,27
3,56,1,47,12,27
3,55,1,39,12,27
3,57,7,54,3,27
3,50,1,52,6,27
3,51,1,59,6,27
3,61,7,37,6,27
3,44,1,40,12,27
3,44,7,49,6,27
3,58,1,51,6,27
3,63,7,59,3,27
3,43,1,42,3,27
3,60,1,51,6,27
3,57,1,39,3,27
3,53,7,39,12,27
3,44,1,42,6,27
3,46,7,49,6,27
3,55,7,49,6,27
3,57,7,47,3,27
3,66,1,35,6,27
3,68,1,47,3,27
3,47,1,44,3,27
3,56,7,37,3,27
3,52,1,51,6,27
3,70,1,49,1,27
3,50,7,56,6,27
3,58,1,47,6,27
3,66,1,56,6,27
3,59,7,49,1,27
3,63,7,59,6,27
3,62,7,59,6,27
3,57,1,49,12,27
3,66,7,42,12,27
3,70,1,39,12,27
3,78,1,51,6,27
3,67,1,37,3,27
3,69,7,49,6,27
3,64,1,49,12,27
3,68,1,44,3,27
3,75,1,56,6,27
3,70,1,61,12,27
3,81,1,59,3,27
3,69,1,40,6,27
3,80,1,51,3,27
3,69,7,49,3,27
3,75,1,44,3,27
3,73,7,44,6,27
3,60,1,42,3,27
3,69,1,58,6,27
3,63,7,49,1,27
3,65,1,49,6,27
3,60,1,39,5,27
3,70,7,56,6,27
3,76,1,44,12,27
3,62,1,54,6,27
3,65,1,39,3,27
3,73,7,47,3,27
3,64,1,47,6,27
3,83,1,56,6,27
3,61,1,49,6,27
3,64,7,47,5,27
3,78,7,51,12,27
3,65,1,47,6,27
3,81,7,52,6,27
3,71,7,54,6,27
3,86,7,54,6,27
3,84,7,44,3,27
3,97,1,58,6,27
3,86,1,56,6,27
3,77,7,47,6,27
3,73,1,52,6,27
3,86,1,49,6,27
3,79,7,44,6,27
3,84,1,56,6,27
3,106,7,49,3,27
3,81,7,49,3,27
3,77,1,52,6,27
3,79,7,51,6,27
3,105,1,58,12,27
3,91,7,51,12,27
3,84,7,59,6,27
3,106,7,59,6,27
3,81,7,46,6,27
3,86,1,52,3,27
3,80,1,54,3,27
3,80,7,49,6,27
3,103,1,49,6,27
3,85,1,47,6,27
3,80,7,47,6,27
3,91,1,44,12,27
3,91,1,42,3,27
3,83,1,56,6,27
3,83,1,59,3,27
3,97,7,42,12,27
3,93,7,52,3,27
3,77,1,42,12,27
3,128,1,51,6,27
3,121,7,58,6,27
3,83,1,54,6,27
3,106,1,42,6,27
3,104,1,51,6,27
3,127,7,56,6,27
3,121,7,56,6,27
3,101,7,44,6,27
3,118,1,52,6,27
3,81,7,46,6,27
3,103,1,56,6,27
3,103,1,42,12,27
3,110,7,59,3,27
3,101,1,51,6,27
3,112,1,49,6,27
3,112,7,51,3,27
3,128,7,42,6,27
3,121,1,49,3,27
3,124,1,44,6,27
3,107,1,49,6,27
3,129,7,54,6,27
3,109,7,47,6,27
3,125,7,42,6,27
3,129,1,54,3,27
3,150,7,44,12,27
3,112,1,56,6,27
3,124,7,56,6,27
3,117,1,51,12,27
3,110,1,49,6,27
3,133,7,56,6,27
3,130,7,44,5,27
3,126,7,47,6,27
3,140,7,63,3,27
3,121,7,47,6,27
3,151,1,61,3,27
3,123,7,51,6,27
3,117,7,49,6,27
3,150,7,61,12,27
3,134,1,49,3,27
3,151,1,63,12,27
3,126,7,54,12,27
3,133,1,52,6,27
3,123,1,47,12,27
3,142,1,58,3,27
3,142,7,52,6,27
3,131,1,47,3,27
3,128,7,59,3,27
3,142,1,46,3,27
3,134,7,51,6,27
3,127,1,51,12,27
3,134,1,54,6,27
3,151,7,47,12,27
3,131,7,52,3,27
3,127,1,58,6,27
3,121,7,49,6,27
3,170,1,54,6,27
3,169,7,42,6,27
3,156,7,56,6,27
3,160,1,56,3,27
3,134,1,58,12,27
3,152,1,52,6,27
3,148,7,59,6,27
3,172,1,52,12,27
3,172,1,52,12,27
3,155,1,51,3,27
3,172,7,47,6,27
3,133,1,51,6,27
3,165,1,52,3,27
3,167,7,56,6,27
3,187,1,59,12,27
3,173,1,59,6,27
3,154,7,44,6,27
3,172,1,54,6,27
3,152,1,49,6,27
3,167,7,44,6,27
3,175,1,52,3,27
3,169,1,54,6,27
3,170,1,54,12,27
3,171,1,63,3,27
3,180,1,42,6,27
3,176,1,59,12,27
3,168,7,54,6,27
3,172,7,46,12,27
3,178,7,44,6,27
3,180,1,59,6,27
3,158,1,63,3,27
3,155,1,44,6,27
0,0,0,0,0,0
