type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,26
2,0,0,0,0,0
3,1,7,63,6,26
3,2,1,56,6,26
3,2,7,68,6,26
3,3,1,68,12,26
3,4,1,67,6,26
3,4,7,68,1,26
3,4,7,70,1,26
3,4,7,71,6,26
3,5,1,70,6,26
3,5,7,68,6,26
3,6,1,70,6,26
3,6,1,71,1,26
3,6,7,68,3,26
3,6,10,67,3,26
3,7,1,68,12,26
3,8,7,59,6,26
3,9,1,59,12,26
3,10,1,58,6,26
3,10,7,59,1,26
3,10,7,61,1,26
3,10,7,63,6,26
3,11,1,61,6,26
3,11,7,59,6,26
3,12,1,61,6,26
3,12,1,63,1,26
3,12,7,59,3,26
3,12,10,58,3,26
3,13,1,59,3,26
3,13,4,63,3,26
3,13,7,61,3,26
3,13,10,59,3,26
3,14,1,64,6,26
3,14,7,63,6,26
3,15,1,61,6,26
3,15,7,54,6,26
3,16,1,66,12,26
3,18,1,66,12,26
3,20,1,66,12,26
3,21,7,66,6,26
3,22,1,68,3,26
3,22,4,70,3,26
3,22,7,71,3,26
3,22,10,68,3,26
3,23,1,71,3,26
3,23,4,70,3,26
3,23,7,68,3,26
3,23,10,66,3,26
3,24,1,68,3,26
3,24,4,70,3,26
3,24,7,71,3,26
3,24,10,68,3,26
3,25,1,71,3,26
3,25,4,70,3,26
3,25,7,68,3,26
3,25,10,66,3,26
3,26,1,68,3,26
3,26,4,70,3,26
3,26,7,71,3,26
3,26,10,68,3,26
3,27,1,70,3,26
3,27,4,68,3,26
3,27,7,66,12,26
3,28,7,65,6,26
3,29,1,66,6,26
3,29,7,58,6,26
3,30,1,59,6,26
3,30,7,61,6,26
3,31,1,54,6,26
3,31,7,66,12,26
3,32,7,65,6,26
3,33,1,66,6,26
3,33,7,58,6,26
3,34,1,59,6,26
3,34,7,61,6,26
3,35,1,54,6,26
3,35,7,64,6,26
3,36,1,63,6,26
3,36,7,61,6,26
3,37,1,58,6,26
3,37,1,59,1,26
3,37,7,56,3,26
3,37,10,54,3,26
3,38,1,59,12,26
3,39,1,58,6,26
3,39,7,64,6,26
3,40,1,63,6,26
3,40,7,61,6,26
3,41,1,58,6,26
3,41,1,59,1,26
3,41,7,56,3,26
3,41,10,54,3,26
3,42,1,66,12,26
3,43,7,66,6,26
3,44,1,64,3,26
3,44,4,63,3,26
3,44,7,61,3,26
3,44,10,59,3,26
3,45,1,61,6,26
3,45,7,58,6,26
3,46,1,59,6,26
3,46,7,52,6,26
3,47,1,54,12,26
3,48,1,58,12,26
3,49,1,59,12,26
3,51,1,64,12,26
3,52,1,63,6,26
3,52,7,68,6,26
3,53,1,66,6,26
3,53,7,64,12,26
3,54,7,63,3,26
3,54,10,61,3,26
3,55,1,63,3,26
3,55,4,66,3,26
3,55,7,64,3,26
3,55,10,63,3,26
3,56,1,68,3,26
3,56,4,66,3,26
3,56,7,64,3,26
3,56,10,63,3,26
3,57,1,61,6,26
3,57,7,56,6,26
3,58,1,60,6,26
3,58,7,56,6,26
3,59,1,63,6,26
3,59,7,56,6,26
3,60,1,61,18,26
3,62,1,60,12,26
3,63,1,61,6,26
3,63,7,63,3,26
3,63,10,64,3,26
3,64,1,63,12,26
3,65,1,66,6,26
3,65,7,63,3,26
3,65,10,66,3,26
3,66,1,64,6,26
3,66,7,61,3,26
3,66,10,64,3,26
3,67,1,63,6,26
3,67,7,69,6,26
3,68,1,68,6,26
3,68,7,66,6,26
3,69,1,64,6,26
3,69,7,63,3,26
3,69,10,61,3,26
3,70,1,60,6,26
3,70,7,61,3,26
3,70,10,63,3,26
3,71,1,56,20,26
3,76,1,66,15,26
3,77,7,68,3,26
3,77,10,66,3,26
3,78,1,65,6,26
3,78,7,63,6,26
3,79,1,62,6,26
3,79,7,58,6,26
3,80,1,65,6,26
3,80,7,58,6,26
3,81,1,70,6,26
3,81,7,58,6,26
3,82,1,63,6,26
3,82,7,51,6,26
3,83,1,56,12,26
3,85,1,58,12,26
3,87,1,54,12,26
3,89,1,59,3,26
3,89,4,58,3,26
3,89,7,56,3,26
3,89,10,54,3,26
3,90,1,53,6,26
3,90,7,51,6,26
3,91,1,62,6,26
3,91,7,63,3,26
3,91,10,65,3,26
3,92,1,58,6,26
3,92,7,62,6,26
3,93,1,63,3,26
3,93,4,65,3,26
3,93,7,66,3,26
3,93,10,68,3,26
3,94,1,70,6,26
3,94,7,63,6,26
3,95,1,68,6,26
3,95,7,71,3,26
3,95,10,70,3,26
3,96,1,71,15,26
3,97,7,70,3,26
3,97,10,68,3,26
3,98,1,66,6,26
3,98,7,65,6,26
3,99,1,63,12,26
3,101,1,64,15,26
3,102,7,63,6,26
3,103,1,61,6,26
3,103,7,71,6,26
3,104,1,70,6,26
3,104,7,68,6,26
3,105,1,67,6,26
3,105,7,51,6,26
3,106,1,63,15,26
3,107,7,61,6,26
3,108,1,68,6,26
3,108,7,66,6,26
3,109,1,64,6,26
3,109,7,63,6,26
3,110,1,61,6,26
3,110,7,59,6,26
3,111,1,58,3,26
3,111,4,61,3,26
3,111,7,59,3,26
3,111,10,58,3,26
3,112,1,59,6,26
3,112,7,51,6,26
3,113,1,52,6,26
3,113,7,64,12,26
3,114,7,63,6,26
3,115,1,61,6,26
3,115,7,59,6,26
3,116,1,58,6,26
3,116,7,56,6,26
3,117,1,51,12,26
3,119,1,68,12,26
3,120,1,56,12,26
3,121,7,68,6,26
3,122,1,70,6,26
3,122,7,71,6,26
3,123,1,59,6,26
3,123,7,68,6,26
3,124,1,59,6,26
3,124,7,67,6,26
3,125,1,68,6,26
3,125,7,71,3,26
3,125,10,70,3,26
3,126,1,68,3,26
3,126,4,66,3,26
3,126,7,64,3,26
3,126,10,63,3,26
3,127,1,64,12,26
3,129,1,63,6,26
3,129,7,59,3,26
3,129,10,63,3,26
3,130,1,61,6,26
3,130,7,58,3,26
3,130,10,61,3,26
3,131,1,59,12,26
3,133,1,61,6,26
3,133,7,64,3,26
3,133,10,63,3,26
3,134,1,61,3,26
3,134,4,59,3,26
3,134,7,58,3,26
3,134,10,56,3,26
3,135,1,55,6,26
3,135,7,56,6,26
3,136,1,58,6,26
3,136,7,51,6,26
3,138,1,63,12,26
3,140,1,64,12,26
3,142,1,61,6,26
3,142,7,59,3,26
3,142,10,58,3,26
3,143,1,59,6,26
3,143,7,63,3,26
3,143,10,61,3,26
3,144,1,59,6,26
3,144,7,58,6,26
3,145,1,56,6,26
3,145,7,64,3,26
3,145,10,63,3,26
3,146,1,61,3,26
3,146,4,59,3,26
3,146,7,58,3,26
3,146,10,56,3,26
3,147,1,55,6,26
3,147,7,56,6,26
3,148,1,58,6,26
3,148,7,51,6,26
3,149,1,56,6,26
3,149,7,71,6,26
3,150,1,51,6,26
3,150,7,67,6,26
3,151,1,68,12,26
4,0,0,0,0,0
