type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,51
2,0,0,0,0,0
3,1,1,71,3,51
3,1,4,71,3,51
3,1,7,71,3,51
3,1,10,71,3,51
3,2,1,71,3,51
3,2,4,73,1,51
3,2,5,75,2,51
3,2,7,76,3,51
3,2,10,76,3,51
3,3,1,76,3,51
3,3,4,76,3,51
3,3,7,76,3,51
3,3,10,75,1,51
3,3,11,73,2,51
3,4,1,75,3,51
3,4,4,73,3,51
3,4,7,71,3,51
3,4,10,73,3,51
3,5,1,75,3,51
3,5,4,76,3,51
3,5,7,75,3,51
3,5,10,73,3,51
3,6,1,71,3,51
3,6,4,73,3,51
3,6,7,75,3,51
3,6,10,77,3,51
3,7,1,78,3,51
3,7,4,73,3,51
3,7,7,82,3,51
3,7,10,73,3,51
3,8,1,80,3,51
3,8,4,73,3,51
3,8,7,78,3,51
3,8,10,73,3,51
3,9,1,80,3,51
3,9,4,73,3,51
3,9,7,77,3,51
3,9,10,73,3,51
3,10,1,78,3,51
3,10,4,73,3,51
3,10,7,82,3,51
3,10,10,73,3,51
3,11,1,80,3,51
3,11,4,73,3,51
3,11,7,78,3,51
3,11,10,73,3,51
3,12,1,80,3,51
3,12,4,73,3,51
3,12,7,77,3,51
3,12,10,73,3,51
3,13,1,78,6,51
3,13,10,76,3,51
3,14,1,75,3,51
3,14,4,73,3,51
3,14,7,75,3,51
3,14,10,71,3,51
3,15,1,71,3,51
3,15,4,71,3,51
3,15,7,71,3,51
3,15,10,73,1,51
3,15,11,75,2,51
3,16,1,76,3,51
3,16,4,71,3,51
3,16,7,80,3,51
3,16,10,71,3,51
3,17,1,78,3,51
3,17,4,71,3,51
3,17,7,76,3,51
3,17,10,71,3,51
3,18,1,78,3,51
3,18,4,71,3,51
3,18,7,75,3,51
3,18,10,71,3,51
3,19,1,76,3,51
3,19,4,71,3,51
3,19,7,80,3,51
3,19,10,71,3,51
3,20,1,78,3,51
3,20,4,71,3,51
3,20,7,76,3,51
3,20,10,71,3,51
3,21,1,78,3,51
3,21,4,71,3,51
3,21,7,75,3,51
3,21,10,71,3,51
3,22,1,76,6,51
3,23,7,80,3,51
3,23,10,78,3,51
3,24,1,76,3,51
3,24,4,75,3,51
3,24,7,73,3,51
3,24,10,71,3,51
3,25,1,76,3,51
3,25,4,75,3,51
3,25,7,73,3,51
3,25,10,71,3,51
3,26,1,70,3,51
3,26,4,68,3,51
3,26,7,66,9,51
3,27,4,76,3,51
3,27,7,75,3,51
3,27,10,73,1,51
3,27,11,71,2,51
3,28,1,76,3,51
3,28,4,75,1,51
3,28,5,73,2,51
3,28,7,78,6,51
3,29,1,66,6,51
3,29,7,71,3,51
3,29,10,78,3,51
3,30,1,75,3,51
3,30,4,78,3,51
3,30,7,71,3,51
3,30,10,78,3,51
3,31,1,73,3,51
3,31,4,78,3,51
3,31,7,70,3,51
3,31,10,78,3,51
3,32,1,73,3,51
3,32,4,78,3,51
3,32,7,75,6,51
3,33,1,71,6,51
3,34,1,70,6,51
3,34,7,73,6,51
3,35,1,70,6,51
3,35,7,71,3,51
3,35,10,78,3,51
3,36,1,78,2,51
3,36,3,80,2,51
3,36,5,78,2,51
3,36,7,78,2,51
3,36,9,80,2,51
3,36,11,78,2,51
3,37,4,78,3,51
3,37,7,78,2,51
3,37,9,80,2,51
3,37,11,78,2,51
3,38,1,78,2,51
3,38,3,80,2,51
3,38,5,78,2,51
3,38,10,78,3,51
3,39,1,80,3,51
3,39,4,78,3,51
3,39,7,76,3,51
3,39,10,75,3,51
3,40,1,76,6,51
3,40,7,73,6,51
3,41,7,72,6,51
3,42,1,75,6,51
3,42,7,72,6,51
3,43,1,73,3,51
3,43,4,80,3,51
3,43,7,76,3,51
3,43,10,80,3,51
3,44,1,73,3,51
3,44,4,80,3,51
3,44,7,75,3,51
3,44,10,80,3,51
3,45,1,72,3,51
3,45,4,80,3,51
3,45,7,75,3,51
3,45,10,80,3,51
3,46,1,76,3,51
3,46,4,73,3,51
3,46,7,73,3,51
3,46,10,73,3,51
3,47,1,73,3,51
3,47,4,75,1,51
3,47,5,76,2,51
3,47,7,78,3,51
3,47,10,78,3,51
3,48,1,78,3,51
3,48,4,78,3,51
3,48,7,78,3,51
3,48,10,76,1,51
3,48,11,75,2,51
3,49,1,76,6,51
3,49,7,80,6,51
3,50,1,78,6,51
3,50,7,76,6,51
3,51,1,78,6,51
3,51,7,75,6,51
3,52,1,76,6,51
3,52,7,80,6,51
3,53,1,78,6,51
3,53,7,76,6,51
3,54,1,78,6,51
3,54,7,75,6,51
3,55,1,76,6,51
3,56,1,75,6,51
3,56,7,74,6,51
3,57,7,77,6,51
3,58,1,70,6,51
3,58,7,74,6,51
3,59,1,70,6,51
3,59,7,75,6,51
3,60,1,78,13,51
3,61,4,77,3,51
3,61,7,77,3,51
3,61,10,77,3,51
3,62,1,77,3,51
3,62,4,78,1,51
3,62,5,80,2,51
3,62,7,82,6,51
3,63,1,82,13,51
3,64,4,80,3,51
3,64,7,80,3,51
3,64,10,80,3,51
3,65,1,77,3,51
3,65,4,73,3,51
3,65,7,78,6,51
3,67,4,66,3,51
3,67,7,70,3,51
3,67,10,73,3,51
3,68,1,78,3,51
3,68,4,80,1,51
3,68,5,77,2,51
3,68,7,78,6,51
3,70,3,66,1,51
3,70,4,68,1,51
3,70,5,70,2,51
3,70,7,71,2,51
3,70,9,70,1,51
3,70,10,71,1,51
3,70,11,73,2,51
3,71,1,75,2,51
3,71,3,73,1,51
3,71,4,75,1,51
3,71,5,77,2,51
3,71,7,78,6,51
3,72,4,76,3,51
