type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,51
2,0,0,0,0,0
3,1,1,51,12,51
3,2,1,47,12,51
3,3,1,66,6,51
3,4,1,70,12,51
3,3,7,71,6,51
3,4,7,75,3,51
3,9,7,63,12,51
3,6,1,68,9,51
3,9,1,61,18,51
3,8,1,63,3,51
3,11,7,68,12,51
3,19,1,59,6,51
3,9,1,61,15,51
3,10,7,66,3,51
3,16,7,66,12,51
3,10,1,66,6,51
3,14,1,64,6,51
3,14,1,61,3,51
3,14,1,68,6,51
3,14,1,54,12,51
3,24,7,54,6,51
3,11,1,70,15,51
3,17,1,75,6,51
3,11,7,70,6,51
3,15,7,58,6,51
3,13,1,58,3,51
3,20,1,64,6,51
3,12,1,61,6,51
3,19,7,70,6,51
3,18,7,66,6,51
3,19,7,71,6,51
3,24,7,66,3,51
3,26,1,61,6,51
3,15,7,70,3,51
3,24,7,56,6,51
3,24,1,75,6,51
3,32,1,75,6,51
3,28,1,66,2,51
3,18,7,56,3,51
3,32,1,63,6,51
3,27,1,66,6,51
3,23,1,66,3,51
3,23,1,66,2,51
3,25,7,66,6,51
3,27,1,66,12,51
3,30,1,68,3,51
3,27,1,68,6,51
3,25,1,61,6,51
3,23,7,70,6,51
3,42,7,68,6,51
3,23,1,66,12,51
3,31,1,54,3,51
3,29,7,66,12,51
3,33,1,59,6,51
3,31,7,54,12,51
3,32,7,66,6,51
3,34,7,66,5,51
3,34,7,71,6,51
3,27,7,54,6,51
3,35,7,63,12,51
3,27,1,70,6,51
3,30,7,66,3,51
3,25,1,71,6,51
3,35,7,68,6,51
3,44,1,71,6,51
3,40,7,61,6,51
3,42,1,66,3,51
3,42,7,66,3,51
3,33,7,61,6,51
3,41,1,70,12,51
3,44,1,66,12,51
3,38,1,66,6,51
3,40,7,70,12,51
3,39,1,61,3,51
3,38,7,59,6,51
3,42,7,66,3,51
3,38,1,71,6,51
3,44,7,63,15,51
3,51,7,66,6,51
3,36,7,66,6,51
3,54,7,66,3,51
3,47,1,70,6,51
3,50,1,61,3,51
3,32,1,71,6,51
3,47,1,70,3,51
3,38,7,65,6,51
3,52,1,61,6,51
3,53,7,68,12,51
3,55,7,70,3,51
3,41,7,75,6,51
3,45,7,70,6,51
3,40,7,73,6,51
3,51,1,71,3,51
3,43,1,75,12,51
3,56,7,71,12,51
3,39,1,58,6,51
3,53,1,65,3,51
3,47,1,73,3,51
3,44,7,68,3,51
3,41,7,75,3,51
3,44,7,58,3,51
3,67,1,71,6,51
3,49,1,66,12,51
3,68,1,70,6,51
3,51,7,56,6,51
3,47,1,70,6,51
3,45,7,70,6,51
3,66,1,63,6,51
3,63,1,75,6,51
3,49,7,71,6,51
3,50,1,63,3,51
3,52,1,66,6,51
3,67,7,68,6,51
3,67,7,68,12,51
3,70,1,66,6,51
3,70,7,73,3,51
3,65,1,68,15,51
3,58,1,56,6,51
3,70,7,58,6,51
3,47,7,54,6,51
3,67,1,63,6,51
3,64,7,75,3,51
3,62,7,71,6,51
3,67,1,70,3,51
3,66,1,58,6,51
3,52,7,58,6,51
3,73,1,66,6,51
3,59,7,58,3,51
3,80,1,73,6,51
3,64,7,70,6,51
3,71,7,71,12,51
3,64,1,68,3,51
3,71,7,73,3,51
3,77,7,65,6,51
3,77,1,75,12,51
3,81,7,66,6,51
3,75,1,56,3,51
3,85,1,59,6,51
3,72,7,54,3,51
3,74,1,73,6,51
3,63,1,61,6,51
3,74,1,59,12,51
3,70,1,61,6,51
3,77,1,70,3,51
3,74,1,71,12,51
3,67,1,70,6,51
3,64,7,73,6,51
3,77,7,61,15,51
3,93,7,59,12,51
3,78,1,66,12,51
3,78,1,61,15,51
3,81,1,51,6,51
3,74,7,63,3,51
3,69,1,64,12,51
3,86,7,75,6,51
3,65,1,75,3,51
3,83,1,66,3,51
3,89,1,75,6,51
3,87,7,73,6,51
3,75,1,59,15,51
3,79,1,59,6,51
3,75,7,71,15,51
3,79,1,68,3,51
3,83,1,70,6,51
3,86,1,75,3,51
3,96,1,58,3,51
3,91,1,54,6,51
3,86,1,61,3,51
3,86,1,56,3,51
3,93,1,61,6,51
3,98,7,66,6,51
3,73,1,61,3,51
3,79,7,70,6,51
3,84,7,70,6,51
3,92,7,63,6,51
3,98,7,61,6,51
3,108,1,73,12,51
3,79,1,68,3,51
3,78,7,70,6,51
3,105,1,68,6,51
3,108,7,63,6,51
3,88,1,70,6,51
3,79,7,63,6,51
3,108,1,70,6,51
3,78,7,68,12,51
3,93,7,54,6,51
3,85,1,75,12,51
3,92,1,56,6,51
3,81,1,61,3,51
3,97,7,75,6,51
3,86,1,61,3,51
3,93,1,75,6,51
3,106,7,71,6,51
3,85,1,68,12,51
3,100,1,73,6,51
3,92,7,70,12,51
3,88,7,71,6,51
3,92,1,71,6,51
3,108,7,71,3,51
3,107,1,68,6,51
3,105,7,70,6,51
3,111,7,56,6,51
3,92,7,71,6,51
3,117,1,75,12,51
3,110,1,68,12,51
3,99,1,71,3,51
3,99,1,73,6,51
3,124,1,73,12,51
3,110,7,63,3,51
3,98,1,51,12,51
3,106,1,68,12,51
3,106,1,66,3,51
3,115,7,61,6,51
3,95,7,59,6,51
3,106,1,70,6,51
3,96,7,56,6,51
3,108,7,71,6,51
3,124,7,63,12,51
3,124,7,70,6,51
3,113,7,71,3,51
3,110,7,71,6,51
3,110,7,75,12,51
3,91,1,66,12,51
3,107,7,63,9,51
3,114,1,66,3,51
3,130,1,70,3,51
3,123,7,68,3,51
3,124,7,71,6,51
3,127,1,63,3,51
3,125,7,75,3,51
3,116,1,68,12,51
