type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,3
2,0,0,0,0,0
3,1,4,51,2,51
3,1,7,54,3,51
3,1,7,66,6,51
3,1,4,66,6,51
3,3,7,78,3,51
3,3,7,73,3,51
3,5,1,59,3,51
3,3,1,66,3,51
3,2,10,49,3,51
3,3,1,49,3,51
3,3,10,61,3,51
3,3,4,66,3,51
3,4,4,66,3,51
3,4,7,47,3,51
3,6,7,66,3,51
3,4,4,71,3,51
3,9,4,75,3,51
3,7,4,64,1,51
3,6,10,47,1,51
3,8,4,66,3,51
3,4,4,76,3,51
3,3,4,75,3,51
3,5,4,66,3,51
3,3,4,68,3,51
3,5,4,56,3,51
3,6,10,54,3,51
3,8,4,63,3,51
3,10,4,76,3,51
3,6,10,70,3,51
3,10,4,68,6,51
3,9,4,59,3,51
3,8,4,73,3,51
3,26,4,70,3,51
3,18,10,61,3,51
3,6,4,70,3,51
3,9,10,75,2,51
3,8,1,61,3,51
3,18,7,66,3,51
3,11,1,78,3,51
3,20,4,78,3,51
3,14,1,66,3,51
3,13,7,70,3,51
3,25,4,75,3,51
3,14,10,56,3,51
3,10,7,71,3,51
3,9,1,66,3,51
3,13,10,56,3,51
3,25,7,68,3,51
3,10,4,54,2,51
3,11,7,66,6,51
3,15,1,54,6,51
3,17,7,73,6,51
3,26,1,66,3,51
3,18,7,70,3,51
3,14,4,68,1,51
3,11,7,49,2,51
3,15,7,71,3,51
3,26,10,68,3,51
3,27,4,78,3,51
3,19,4,70,6,51
3,18,7,70,2,51
3,22,4,73,2,51
3,25,1,75,6,51
3,21,4,68,3,51
3,13,7,66,3,51
3,16,7,65,3,51
3,14,4,78,3,51
3,24,7,71,3,51
3,28,7,70,6,51
3,15,4,54,2,51
3,15,7,73,3,51
3,25,4,71,6,51
3,20,7,73,3,51
3,31,4,73,3,51
3,30,4,70,2,51
3,22,4,71,3,51
3,19,7,68,3,51
3,25,4,63,3,51
3,16,4,63,2,51
3,23,7,66,3,51
3,23,4,59,3,51
3,34,4,68,3,51
3,23,7,68,3,51
3,24,7,73,3,51
3,22,4,73,6,51
3,32,1,66,3,51
3,29,7,63,6,51
3,20,4,71,1,51
3,18,1,49,1,51
3,26,7,75,3,51
3,18,10,75,6,51
3,33,1,68,3,51
3,31,4,54,6,51
3,34,1,71,3,51
3,31,1,63,2,51
3,23,1,75,3,51
3,32,7,54,2,51
3,35,1,61,2,51
3,21,1,56,3,51
3,34,1,70,3,51
3,33,4,59,2,51
3,27,7,68,2,51
3,25,7,54,3,51
3,28,1,71,3,51
3,35,4,68,3,51
3,36,1,66,2,51
3,33,4,75,6,51
3,19,1,73,3,51
3,30,4,56,3,51
3,21,7,56,6,51
3,23,7,54,3,51
3,19,4,49,2,51
3,21,1,61,6,51
3,20,7,75,2,51
3,22,4,61,3,51
3,23,4,75,3,51
3,36,1,56,2,51
3,26,1,66,1,51
3,40,4,78,1,51
3,26,1,71,3,51
3,35,4,54,2,51
3,30,4,73,1,51
3,23,4,68,3,51
3,28,1,68,1,51
3,28,4,73,3,51
3,29,1,54,6,51
3,24,1,68,3,51
3,21,4,75,2,51
3,34,4,59,3,51
3,45,7,59,2,51
3,41,7,56,1,51
3,40,4,47,3,51
3,31,1,71,6,51
3,34,4,68,1,51
3,31,4,66,1,51
3,33,1,73,3,51
3,32,1,71,1,51
3,26,4,70,3,51
3,38,4,49,1,51
3,38,4,78,3,51
3,33,1,56,1,51
3,34,4,73,3,51
3,48,4,73,2,51
3,25,7,70,1,51
3,35,1,75,3,51
3,30,1,63,3,51
3,36,7,47,2,51
3,46,1,66,2,51
3,41,1,56,3,51
3,32,1,70,3,51
3,36,4,73,3,51
3,33,4,66,3,51
3,48,1,73,3,51
3,37,7,59,1,51
3,37,4,68,3,51
3,40,1,63,1,51
3,42,7,68,3,51
3,34,1,68,2,51
3,36,7,66,1,51
3,48,1,66,3,51
3,37,4,68,3,51
3,45,4,56,1,51
3,40,10,54,1,51
3,35,4,66,3,51
3,41,7,49,3,51
3,37,10,75,2,51
3,46,4,68,3,51
3,30,1,75,2,51
3,46,4,54,3,51
3,29,4,54,1,51
3,31,1,66,2,51
3,37,4,49,3,51
3,46,4,71,3,51
3,46,10,47,1,51
3,44,4,56,1,51
3,41,10,61,6,51
3,39,1,68,2,51
3,38,4,73,3,51
3,56,1,70,3,51
3,35,10,66,2,51
3,40,4,54,2,51
3,48,10,61,2,51
3,49,4,56,3,51
3,49,7,68,2,51
3,39,7,66,1,51
3,44,10,47,2,51
3,47,4,70,3,51
3,45,4,61,3,51
3,43,4,73,3,51
3,57,1,71,1,51
3,49,1,73,2,51
3,70,7,47,3,51
0,0,0,0,0,0
3,39,7,61,2,51
3,55,4,59,3,51
3,30,7,73,1,51
0,0,0,0,0,0
