type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,51
2,0,0,0,0,0
3,1,1,71,6,51
3,1,10,71,3,51
3,2,1,70,6,51
3,2,10,70,3,51
3,3,1,68,6,51
3,3,10,68,3,51
3,4,1,66,6,51
3,4,10,70,3,51
3,5,1,71,3,51
3,5,4,75,1,51
3,5,5,76,2,51
3,5,7,78,3,51
3,5,10,78,3,51
3,6,1,73,3,51
3,6,4,75,1,51
3,6,5,76,2,51
3,6,7,78,3,51
3,6,10,78,3,51
3,7,1,71,3,51
3,7,4,80,1,51
3,7,5,80,2,51
3,7,7,76,2,51
3,7,9,75,1,51
3,7,10,73,1,51
3,7,11,71,2,51
3,8,1,70,3,51
3,8,4,85,1,51
3,8,5,83,2,51
3,8,7,82,2,51
3,8,9,80,1,51
3,8,10,78,1,51
3,8,11,76,2,51
3,9,1,75,2,51
3,9,3,73,1,51
3,9,4,71,3,51
3,9,10,72,3,51
3,10,1,73,3,51
3,10,4,77,1,51
3,10,5,82,2,51
3,10,7,82,2,51
3,10,9,80,1,51
3,10,10,80,1,51
3,10,11,78,2,51
3,11,1,78,2,51
3,11,3,77,1,51
3,11,4,75,3,51
3,11,10,75,3,51
3,12,1,77,3,51
3,12,4,80,1,51
3,12,5,85,2,51
3,12,7,85,2,51
3,12,9,83,1,51
3,12,10,83,1,51
3,12,11,82,2,51
3,13,1,82,2,51
3,13,3,80,1,51
3,13,4,78,3,51
3,13,10,78,3,51
3,14,1,77,6,51
3,14,10,77,3,51
3,15,1,75,6,51
3,15,10,75,3,51
3,16,1,73,6,51
3,16,10,77,3,51
3,17,1,78,2,51
3,17,3,73,1,51
3,17,4,78,1,51
3,17,5,83,2,51
3,17,7,80,4,51
3,17,11,78,2,51
3,18,1,78,3,51
3,18,4,85,1,51
3,18,5,83,2,51
3,18,7,82,2,51
3,18,9,80,1,51
3,18,10,78,1,51
3,18,11,76,2,51
3,19,1,75,3,51
3,19,4,78,1,51
3,19,5,76,2,51
3,19,7,75,2,51
3,19,9,73,1,51
3,19,10,71,1,51
3,19,11,69,2,51
3,20,1,68,3,51
3,20,4,80,1,51
3,20,5,78,2,51
3,20,7,71,3,51
3,20,10,75,3,51
3,21,1,76,3,51
3,21,4,76,1,51
3,21,5,80,2,51
3,21,7,80,2,51
3,21,9,76,1,51
3,21,10,76,1,51
3,21,11,80,2,51
3,22,1,80,2,51
3,22,3,78,1,51
3,22,4,75,1,51
3,22,5,78,2,51
3,22,7,78,2,51
3,22,9,75,1,51
3,22,10,75,1,51
3,22,11,78,2,51
3,23,1,78,2,51
3,23,3,76,1,51
3,23,4,73,1,51
3,23,5,76,2,51
3,23,7,76,2,51
3,23,9,73,1,51
3,23,10,73,1,51
3,23,11,76,2,51
3,24,1,76,2,51
3,24,3,75,1,51
3,24,4,75,1,51
3,24,5,73,2,51
3,24,7,80,2,51
3,24,9,78,1,51
3,24,10,76,1,51
3,24,11,75,2,51
3,25,1,73,2,51
3,25,3,78,1,51
3,25,4,78,1,51
3,25,5,78,2,51
3,25,7,78,2,51
3,25,9,75,1,51
3,25,9,76,1,51
3,25,10,78,1,51
3,25,11,70,2,51
3,26,1,71,6,51
3,26,10,70,3,51
3,27,1,68,2,51
3,27,3,83,1,51
3,27,4,83,1,51
3,27,5,83,2,51
3,27,7,83,2,51
3,27,9,80,1,51
3,27,9,82,1,51
3,27,10,83,1,51
3,27,11,75,2,51
3,28,1,76,3,51
3,28,4,88,3,51
3,28,7,88,8,51
3,29,3,88,1,51
3,29,4,87,1,51
3,29,5,88,2,51
3,29,7,85,4,51
3,29,11,83,2,51
3,30,1,83,3,51
3,30,4,83,1,51
3,30,5,82,2,51
3,30,7,80,2,51
3,30,9,78,1,51
3,30,10,78,1,51
3,30,11,77,2,51
3,31,1,77,3,51
3,31,4,71,3,51
3,31,7,71,9,51
3,32,4,83,1,51
3,32,5,82,2,51
3,32,7,82,2,51
3,32,9,80,1,51
3,32,10,80,1,51
3,32,11,78,2,51
3,33,1,78,2,51
3,33,3,85,1,51
3,33,4,85,1,51
3,33,5,85,2,51
3,33,7,85,2,51
3,33,9,82,1,51
3,33,9,83,1,51
3,33,10,85,1,51
3,33,11,76,2,51
3,34,1,75,6,51
3,34,10,75,3,51
3,35,1,73,2,51
3,35,3,80,1,51
3,35,4,80,1,51
3,35,5,80,2,51
3,35,7,80,2,51
3,35,9,76,1,51
3,35,9,78,1,51
3,35,10,80,1,51
3,35,11,71,2,51
3,36,1,70,2,51
3,36,3,82,1,51
3,36,4,83,1,51
3,36,5,85,2,51
3,36,7,82,4,51
3,36,11,83,2,51
3,37,1,83,3,51
3,37,4,75,1,51
3,37,5,71,2,51
3,37,7,78,3,51
3,37,10,66,3,51
3,38,1,71,6,51
4,0,0,0,0,0
