type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,51
2,0,0,0,0,0
3,1,1,73,6,51
3,1,7,78,6,51
3,2,1,75,3,51
3,2,4,77,1,51
3,2,5,78,2,51
3,2,7,80,3,51
3,2,10,78,3,51
3,3,1,77,3,51
3,3,4,73,3,51
3,3,7,82,3,51
3,3,10,73,3,51
3,4,1,75,3,51
3,4,4,71,3,51
3,4,7,80,3,51
3,4,10,71,3,51
3,5,1,73,3,51
3,5,4,70,3,51
3,5,7,78,3,51
3,5,10,70,3,51
3,6,1,71,3,51
3,6,4,68,3,51
3,6,7,77,3,51
3,6,10,68,3,51
3,7,1,70,3,51
3,7,4,78,3,51
3,7,7,68,3,51
3,7,10,77,3,51
3,8,1,66,3,51
3,8,4,78,3,51
3,8,7,77,3,51
3,8,10,73,3,51
3,9,1,78,6,51
3,9,7,90,6,51
3,10,4,89,1,51
3,10,5,87,2,51
3,10,7,85,3,51
3,10,10,87,1,51
3,10,11,89,2,51
3,11,1,78,3,51
3,11,4,87,1,51
3,11,5,85,2,51
3,11,7,84,3,51
3,11,10,85,1,51
3,11,11,87,2,51
3,12,1,77,3,51
3,12,4,85,1,51
3,12,5,84,2,51
3,12,7,82,3,51
3,12,10,84,1,51
3,12,11,85,2,51
3,13,1,75,3,51
3,13,4,84,1,51
3,13,5,82,2,51
3,13,7,80,3,51
3,13,10,82,1,51
3,13,11,84,2,51
3,14,1,73,3,51
3,14,4,75,1,51
3,14,5,77,2,51
3,14,7,78,3,51
3,14,10,77,1,51
3,14,11,75,2,51
3,15,1,77,6,51
3,16,3,73,1,51
3,16,4,75,1,51
3,16,5,77,2,51
3,16,7,78,2,51
3,16,9,80,1,51
3,16,10,82,1,51
3,16,11,84,2,51
3,17,1,85,12,51
3,18,1,85,6,51
3,18,7,84,6,51
3,19,1,83,6,51
3,19,7,82,6,51
3,20,1,82,6,51
3,20,7,80,6,51
3,21,1,80,6,51
3,21,7,79,6,51
3,22,1,80,2,51
3,22,3,77,1,51
3,22,4,78,1,51
3,22,5,80,2,51
3,22,7,82,2,51
3,22,9,70,1,51
3,22,10,72,1,51
3,22,11,73,2,51
3,23,1,75,2,51
3,23,3,73,1,51
3,23,4,75,1,51
3,23,5,77,2,51
3,23,7,75,2,51
3,23,9,77,1,51
3,23,10,78,1,51
3,23,11,80,2,51
3,24,1,73,6,51
3,24,7,78,6,51
3,25,1,75,3,51
3,25,4,77,1,51
3,25,5,78,2,51
3,25,7,80,3,51
3,25,10,78,3,51
3,26,1,77,3,51
3,26,4,73,3,51
3,26,7,82,3,51
3,26,10,73,3,51
3,27,1,75,3,51
3,27,4,71,3,51
3,27,7,80,3,51
3,27,10,71,3,51
3,28,1,73,3,51
3,28,4,70,3,51
3,28,7,78,3,51
3,28,10,70,3,51
3,29,1,71,3,51
3,29,4,68,3,51
3,29,7,77,3,51
3,29,10,68,3,51
3,30,1,70,3,51
3,30,4,78,3,51
3,30,7,68,3,51
3,30,10,77,3,51
3,31,1,66,3,51
3,31,4,68,1,51
3,31,5,70,2,51
3,31,7,71,3,51
3,31,10,70,1,51
3,31,11,68,2,51
3,32,1,70,3,51
3,32,4,71,1,51
3,32,5,73,2,51
3,32,7,75,3,51
3,32,10,73,1,51
3,32,11,71,2,51
3,33,1,73,3,51
3,33,4,75,1,51
3,33,5,77,2,51
3,33,7,78,3,51
3,33,10,77,1,51
3,33,11,75,2,51
3,34,1,77,3,51
3,34,4,78,1,51
3,34,5,80,2,51
3,34,7,82,3,51
3,34,10,80,1,51
3,34,11,78,2,51
3,35,1,80,3,51
3,35,4,73,3,51
3,36,1,76,6,51
3,37,1,75,6,51
3,38,1,79,6,51
3,39,4,80,3,51
3,39,7,80,3,51
3,39,10,80,3,51
3,40,1,77,2,51
3,40,3,78,1,51
3,40,4,80,3,51
3,40,7,80,3,51
3,40,10,80,3,51
3,41,1,74,3,51
3,41,4,80,3,51
3,41,7,80,3,51
3,41,10,80,3,51
3,42,1,70,3,51
3,42,4,82,1,51
3,42,5,80,2,51
3,42,7,82,2,51
3,42,9,80,1,51
3,42,10,78,1,51
3,42,11,77,2,51
3,43,1,78,2,51
3,43,3,77,1,51
3,43,4,78,1,51
3,43,5,80,2,51
3,43,7,78,2,51
3,43,9,80,1,51
3,43,10,77,1,51
3,43,11,78,2,51
3,44,1,80,2,51
3,44,3,78,1,51
3,44,4,80,1,51
3,44,5,82,2,51
3,44,7,80,2,51
3,44,9,82,1,51
3,44,10,78,1,51
3,44,11,80,2,51
3,45,1,82,6,51
3,45,7,87,6,51
3,46,1,84,3,51
3,46,4,85,1,51
3,46,5,87,2,51
3,46,7,89,3,51
3,46,10,87,3,51
3,47,1,86,3,51
3,47,4,82,3,51
3,47,7,90,3,51
3,47,10,82,3,51
3,48,1,83,3,51
3,48,4,80,3,51
3,48,7,89,3,51
3,48,10,80,3,51
3,49,1,82,3,51
3,49,4,78,3,51
3,49,7,87,3,51
3,49,10,78,3,51
3,50,1,80,3,51
3,50,4,77,3,51
3,50,7,86,3,51
3,50,10,77,3,51
3,51,1,78,3,51
3,51,4,87,3,51
3,51,7,77,3,51
3,51,10,86,3,51
3,52,1,75,3,51
3,52,4,77,1,51
3,52,5,78,2,51
3,52,7,80,3,51
3,52,10,78,1,51
3,52,11,77,2,51
3,53,1,78,3,51
3,53,4,87,3,51
3,53,7,77,3,51
3,53,10,86,3,51
3,54,1,75,3,51
3,54,4,71,3,51
3,54,7,68,3,51
3,54,10,70,3,51
3,55,1,75,2,51
3,55,3,82,1,51
3,55,4,80,1,51
3,55,5,82,2,51
