type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,20
2,0,0,0,0,0
3,1,7,68,6,21
3,1,1,51,6,21
3,2,1,58,6,21
3,3,1,68,6,21
3,2,10,72,3,21
3,6,7,77,3,21
3,4,7,46,1,21
3,4,7,72,3,21
3,3,7,70,3,21
3,2,7,70,6,21
3,5,7,70,3,21
3,5,7,68,3,21
3,15,1,66,3,21
3,6,1,68,2,21
3,3,7,65,6,21
3,2,7,65,3,21
3,3,1,63,3,21
3,9,1,41,3,21
3,6,7,53,3,21
3,9,1,77,6,21
3,8,1,73,3,21
3,8,1,75,3,21
3,6,7,65,1,21
3,7,1,68,2,21
3,10,1,63,3,21
3,6,1,70,3,21
3,11,7,73,3,21
3,13,7,75,6,21
3,12,1,75,3,21
3,17,1,65,2,21
3,10,1,72,1,21
3,22,1,75,3,21
3,16,1,63,3,21
3,7,7,58,3,21
3,11,7,63,3,21
3,13,4,75,3,21
3,10,1,63,3,21
3,11,10,77,3,21
3,17,1,73,3,21
3,13,7,66,3,21
3,18,1,65,6,21
3,14,7,66,3,21
3,26,1,68,3,21
3,12,1,51,6,21
3,30,7,53,3,21
3,23,1,66,6,21
3,31,1,66,6,21
3,20,1,75,3,21
3,15,1,56,3,21
3,24,7,73,3,21
3,13,1,68,3,21
3,14,7,66,6,21
3,26,7,66,6,21
3,22,7,77,6,21
3,15,1,66,6,21
3,23,7,51,3,21
3,14,7,65,6,21
3,18,1,68,3,21
3,34,7,61,6,21
3,26,1,51,3,21
3,24,1,70,3,21
3,37,7,63,6,21
3,26,7,63,3,21
3,28,1,75,3,21
3,34,7,66,6,21
3,32,7,65,3,21
3,23,7,70,3,21
3,18,1,68,3,21
3,24,1,75,3,21
3,25,7,61,6,21
3,42,1,56,3,21
3,32,1,68,6,21
3,46,1,68,6,21
3,33,1,72,3,21
3,29,7,70,3,21
3,30,7,51,6,21
3,34,1,56,3,21
3,30,7,68,6,21
3,32,7,77,3,21
3,40,7,66,6,21
3,41,1,63,3,21
3,41,1,73,3,21
3,26,7,75,3,21
3,44,1,68,9,21
3,40,1,61,3,21
3,50,7,75,6,21
3,36,1,56,3,21
3,43,7,75,3,21
3,32,1,66,6,21
3,37,7,65,6,21
3,45,7,73,6,21
3,37,1,61,3,21
3,41,7,63,3,21
3,54,1,65,3,21
3,43,7,65,3,21
3,56,7,56,6,21
3,32,7,68,3,21
3,51,7,58,3,21
3,52,1,70,6,21
3,43,7,70,3,21
3,37,7,75,3,21
3,46,1,68,3,21
3,48,1,65,3,21
3,39,1,70,3,21
3,45,1,63,3,21
3,45,7,72,6,21
3,51,7,66,3,21
3,50,7,65,3,21
3,61,1,63,3,21
3,53,1,77,3,21
3,40,1,66,3,21
3,52,7,75,6,21
3,58,7,65,1,21
3,52,7,66,3,21
3,39,7,53,6,21
3,47,7,53,3,21
3,51,7,51,2,21
3,50,1,72,6,21
3,46,7,75,3,21
3,48,7,58,1,21
3,45,1,65,6,21
3,55,1,73,6,21
3,51,7,75,6,21
3,58,7,75,6,21
3,46,7,65,3,21
3,62,1,58,6,21
3,51,1,63,6,21
3,65,7,58,6,21
3,53,7,61,3,21
3,54,7,66,3,21
3,68,7,61,6,21
3,70,7,58,3,21
3,63,7,61,3,21
3,49,7,77,1,21
3,56,7,75,6,21
3,54,7,68,3,21
3,57,7,65,3,21
3,88,7,63,6,21
3,56,1,68,6,21
3,48,1,54,6,21
3,49,1,66,6,21
3,54,1,65,3,21
3,49,1,58,3,21
3,60,7,68,2,21
3,54,1,63,6,21
3,62,1,61,3,21
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
