type,beat,position,pitch,duration,instrument
0,0,0,0,0,0
1,0,0,0,0,51
2,0,0,0,0,0
3,1,1,78,2,51
3,1,3,80,1,51
3,1,4,82,1,51
3,1,5,83,2,51
3,1,7,85,3,51
3,1,10,87,1,51
3,1,11,89,2,51
3,2,1,90,3,51
3,2,4,78,3,51
3,2,10,77,3,51
3,3,1,75,2,51
3,3,3,77,1,51
3,3,4,78,1,51
3,3,5,80,2,51
3,3,7,82,3,51
3,3,10,83,1,51
3,3,11,85,2,51
3,4,1,87,3,51
3,4,4,75,3,51
3,4,10,73,3,51
3,5,1,71,2,51
3,5,3,73,1,51
3,5,4,75,1,51
3,5,5,77,2,51
3,5,7,78,3,51
3,5,10,80,1,51
3,5,11,82,2,51
3,6,1,83,2,51
3,6,3,71,1,51
3,6,4,70,1,51
3,6,5,68,2,51
3,6,7,75,2,51
3,6,9,71,1,51
3,6,10,70,1,51
3,6,11,68,2,51
3,7,1,83,2,51
3,7,3,77,1,51
3,7,4,75,1,51
3,7,5,73,2,51
3,7,7,80,2,51
3,7,9,77,1,51
3,7,10,75,1,51
3,7,11,73,2,51
3,8,1,66,2,51
3,8,3,73,1,51
3,8,4,71,1,51
3,8,5,70,2,51
3,8,7,83,2,51
3,8,9,73,1,51
3,8,10,71,1,51
3,8,11,70,2,51
3,9,1,87,2,51
3,9,3,85,1,51
3,9,4,83,1,51
3,9,5,82,2,51
3,9,7,83,2,51
3,9,9,82,1,51
3,9,10,80,1,51
3,9,11,78,2,51
3,10,1,77,2,51
3,10,3,75,1,51
3,10,4,73,3,51
3,10,10,78,1,51
3,10,11,77,2,51
3,11,1,78,2,51
3,11,3,73,1,51
3,11,4,75,1,51
3,11,5,71,2,51
3,11,7,73,3,51
3,11,10,73,3,51
3,12,1,66,6,51
3,13,1,78,2,51
3,13,3,80,1,51
3,13,4,82,1,51
3,13,5,83,2,51
3,13,7,85,3,51
3,13,10,87,1,51
3,13,11,89,2,51
3,14,1,90,3,51
3,14,4,78,3,51
3,14,10,77,3,51
3,15,1,75,2,51
3,15,3,73,1,51
3,15,4,75,1,51
3,15,5,72,2,51
3,15,7,73,2,51
3,15,9,72,1,51
3,15,10,73,1,51
3,15,11,70,2,51
3,16,1,72,2,51
3,16,3,70,1,51
3,16,4,68,3,51
3,16,10,80,3,51
3,17,1,82,2,51
3,17,3,80,1,51
3,17,4,82,1,51
3,17,5,78,2,51
3,17,7,82,2,51
3,17,9,80,1,51
3,17,10,82,1,51
3,17,11,85,2,51
3,18,1,84,2,51
3,18,3,85,1,51
3,18,4,87,3,51
3,18,9,85,1,51
3,18,10,87,1,51
3,18,11,84,2,51
3,19,1,80,2,51
3,19,3,84,1,51
3,19,4,85,1,51
3,19,5,80,2,51
3,19,7,85,2,51
3,19,9,84,1,51
3,19,10,85,1,51
3,19,11,73,2,51
3,20,1,78,6,51
3,20,7,78,2,51
3,20,9,77,1,51
3,20,10,78,1,51
3,20,11,75,2,51
3,21,1,77,2,51
3,21,3,73,1,51
3,21,4,77,1,51
3,21,5,78,2,51
3,21,7,80,3,51
3,21,10,68,3,51
3,22,1,73,3,51
3,22,4,77,1,51
3,22,5,78,2,51
3,22,7,80,2,51
3,22,9,77,1,51
3,22,10,78,1,51
3,22,11,75,2,51
3,23,1,77,2,51
3,23,3,75,1,51
3,23,4,73,3,51
3,23,10,72,3,51
3,24,1,73,2,51
3,24,3,75,1,51
3,24,4,77,1,51
3,24,5,78,2,51
3,24,7,80,2,51
3,24,9,82,1,51
3,24,9,83,1,51
3,24,10,82,1,51
3,24,11,80,2,51
3,25,1,78,2,51
3,25,3,77,1,51
3,25,4,75,3,51
3,25,10,79,3,51
3,26,1,80,3,51
3,26,4,79,3,51
3,26,7,80,3,51
3,26,10,82,3,51
3,27,1,83,2,51
3,27,3,87,1,51
3,27,4,82,1,51
3,27,5,87,2,51
3,27,7,83,2,51
3,27,9,87,1,51
3,27,10,79,1,51
3,27,11,87,2,51
3,28,1,80,4,51
3,28,5,79,2,51
3,28,7,80,3,51
3,28,10,79,3,51
3,29,1,80,2,51
3,29,3,75,1,51
3,29,4,76,1,51
3,29,5,73,2,51
3,29,7,75,3,51
3,29,10,75,3,51
3,30,1,68,2,51
3,30,3,70,1,51
3,30,4,72,1,51
3,30,5,73,2,51
3,30,7,75,2,51
3,30,9,77,1,51
3,30,10,78,1,51
3,30,11,80,2,51
3,31,1,77,2,51
3,31,3,78,1,51
3,31,4,80,3,51
3,31,9,78,1,51
3,31,10,80,1,51
3,31,11,77,2,51
3,32,1,78,2,51
3,32,3,80,1,51
3,32,4,82,1,51
3,32,5,83,2,51
3,32,7,85,3,51
3,32,10,87,1,51
3,32,11,89,2,51
3,33,1,90,3,51
3,33,4,78,3,51
3,33,10,77,3,51
3,34,1,75,2,51
3,34,3,77,1,51
3,34,4,78,1,51
3,34,5,80,2,51
3,34,7,82,3,51
3,34,10,83,1,51
3,34,11,85,2,51
3,35,1,87,3,51
3,35,4,75,3,51
3,35,10,73,3,51
3,36,1,71,2,51
3,36,3,73,1,51
3,36,4,75,1,51
3,36,5,77,2,51
3,36,7,78,3,51
3,36,10,80,1,51
3,36,11,82,2,51
3,37,1,83,3,51
3,37,4,71,3,51
3,37,10,82,3,51
3,38,1,80,2,51
3,38,3,78,1,51
3,38,4,80,1,51
3,38,5,77,2,51
3,38,7,78,2,51
3,38,9,77,1,51
3,38,10,78,1,51
3,38,11,75,2,51
3,39,1,77,2,51
3,39,3,75,1,51
3,39,4,73,3,51
3,39,10,84,3,51
3,40,1,85,2,51
3,40,3,84,1,51
3,40,4,85,1,51
