Start of song
Instrument: viola
Start of notes
Note: beat=2, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=0, position=0, pitch=E5, duration=3, instrument=strings
Note: beat=0, position=0, pitch=D4, duration=6, instrument=strings
Note: beat=2, position=0, pitch=E5, duration=6, instrument=strings
Note: beat=1, position=0, pitch=G4, duration=6, instrument=strings
Note: beat=0, position=0, pitch=D4, duration=5, instrument=strings
Note: beat=3, position=6, pitch=D3, duration=3, instrument=strings
Note: beat=2, position=9, pitch=A3, duration=3, instrument=strings
Note: beat=4, position=0, pitch=B3, duration=3, instrument=strings
Note: beat=2, position=0, pitch=B3, duration=3, instrument=strings
Note: beat=4, position=0, pitch=E3, duration=3, instrument=strings
Note: beat=3, position=0, pitch=A4, duration=3, instrument=strings
Note: beat=23, position=0, pitch=A2, duration=6, instrument=strings
Note: beat=4, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=14, position=0, pitch=A4, duration=6, instrument=strings
Note: beat=9, position=0, pitch=D4, duration=6, instrument=strings
Note: beat=10, position=6, pitch=A2, duration=3, instrument=strings
Note: beat=9, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=8, position=0, pitch=A2, duration=6, instrument=strings
Note: beat=7, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=14, position=9, pitch=G4, duration=3, instrument=strings
Note: beat=10, position=6, pitch=D3, duration=5, instrument=strings
Note: beat=18, position=3, pitch=A4, duration=3, instrument=strings
Note: beat=8, position=0, pitch=E3, duration=3, instrument=strings
Note: beat=13, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=19, position=0, pitch=E4, duration=3, instrument=strings
Note: beat=7, position=0, pitch=D3, duration=3, instrument=strings
Note: beat=9, position=0, pitch=A3, duration=3, instrument=strings
Note: beat=16, position=0, pitch=B3, duration=3, instrument=strings
Note: beat=20, position=0, pitch=D5, duration=3, instrument=strings
Note: beat=11, position=0, pitch=D3, duration=6, instrument=strings
Note: beat=9, position=6, pitch=D4, duration=5, instrument=strings
Note: beat=23, position=6, pitch=E4, duration=5, instrument=strings
Note: beat=29, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=12, position=0, pitch=E4, duration=6, instrument=strings
Note: beat=19, position=0, pitch=E3, duration=3, instrument=strings
Note: beat=16, position=6, pitch=E4, duration=3, instrument=strings
Note: beat=10, position=0, pitch=A3, duration=1, instrument=strings
Note: beat=12, position=6, pitch=F#3, duration=1, instrument=strings
Note: beat=9, position=0, pitch=B3, duration=3, instrument=strings
Note: beat=28, position=0, pitch=B3, duration=3, instrument=strings
