Start of song
Instrument: viola
Start of notes
Note: beat=1, position=6, pitch=D4, duration=3, instrument=harpsichord
Note: beat=1, position=0, pitch=A4, duration=2, instrument=harpsichord
Note: beat=0, position=0, pitch=A4, duration=1, instrument=harpsichord
Note: beat=0, position=6, pitch=F#4, duration=3, instrument=harpsichord
Note: beat=0, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=0, position=6, pitch=F#4, duration=3, instrument=harpsichord
Note: beat=3, position=0, pitch=A3, duration=1, instrument=harpsichord
Note: beat=8, position=6, pitch=B3, duration=2, instrument=harpsichord
Note: beat=0, position=0, pitch=F#4, duration=1, instrument=harpsichord
Note: beat=1, position=0, pitch=B4, duration=3, instrument=harpsichord
Note: beat=4, position=0, pitch=E4, duration=3, instrument=harpsichord
Note: beat=2, position=0, pitch=D4, duration=1, instrument=harpsichord
Note: beat=4, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=3, position=6, pitch=B4, duration=3, instrument=harpsichord
Note: beat=14, position=6, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=7, position=6, pitch=G#4, duration=1, instrument=harpsichord
Note: beat=7, position=6, pitch=B4, duration=1, instrument=harpsichord
Note: beat=5, position=6, pitch=A3, duration=2, instrument=harpsichord
Note: beat=16, position=6, pitch=B4, duration=2, instrument=harpsichord
Note: beat=3, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=9, position=6, pitch=B3, duration=1, instrument=harpsichord
Note: beat=18, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=21, position=0, pitch=C#5, duration=3, instrument=harpsichord
Note: beat=4, position=6, pitch=E5, duration=3, instrument=harpsichord
Note: beat=15, position=6, pitch=D5, duration=3, instrument=harpsichord
Note: beat=10, position=0, pitch=G#3, duration=2, instrument=harpsichord
Note: beat=11, position=0, pitch=G#3, duration=2, instrument=harpsichord
Note: beat=8, position=6, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=16, position=6, pitch=F#4, duration=2, instrument=harpsichord
Note: beat=10, position=6, pitch=A4, duration=5, instrument=harpsichord
Note: beat=18, position=0, pitch=G#3, duration=5, instrument=harpsichord
Note: beat=13, position=6, pitch=D4, duration=1, instrument=harpsichord
Note: beat=8, position=6, pitch=B4, duration=3, instrument=harpsichord
Note: beat=9, position=0, pitch=A3, duration=5, instrument=harpsichord
Note: beat=13, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=11, position=0, pitch=B3, duration=5, instrument=harpsichord
Note: beat=11, position=0, pitch=F#4, duration=2, instrument=harpsichord
Note: beat=14, position=6, pitch=E4, duration=5, instrument=harpsichord
Note: beat=11, position=0, pitch=F#4, duration=3, instrument=harpsichord
