Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=0, pitch=B2, duration=6, instrument=harpsichord
Note: beat=0, position=6, pitch=B2, duration=3, instrument=harpsichord
Note: beat=0, position=9, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=1, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=1, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=1, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=2, position=0, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=2, position=3, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=2, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=2, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=3, position=0, pitch=C#3, duration=6, instrument=harpsichord
Note: beat=3, position=6, pitch=A#2, duration=6, instrument=harpsichord
Note: beat=4, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=4, position=3, pitch=B3, duration=3, instrument=harpsichord
Note: beat=4, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=4, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=5, position=0, pitch=F#3, duration=6, instrument=harpsichord
Note: beat=5, position=6, pitch=D#3, duration=6, instrument=harpsichord
Note: beat=6, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=6, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=6, position=9, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=7, position=0, pitch=G3, duration=9, instrument=harpsichord
Note: beat=7, position=9, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=8, position=0, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=8, position=3, pitch=B2, duration=3, instrument=harpsichord
Note: beat=8, position=6, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=8, position=9, pitch=F#2, duration=3, instrument=harpsichord
Note: beat=9, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=9, position=3, pitch=B3, duration=3, instrument=harpsichord
Note: beat=9, position=6, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=9, position=9, pitch=B3, duration=3, instrument=harpsichord
Note: beat=10, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=10, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=10, position=6, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=10, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=11, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=11, position=3, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=11, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=11, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=12, position=0, pitch=B2, duration=6, instrument=harpsichord
Note: beat=12, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=13, position=0, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=13, position=3, pitch=C#4, duration=3, instrument=harpsichord
