Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=0, position=3, pitch=A3, duration=6, instrument=harpsichord
Note: beat=0, position=9, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=1, position=0, pitch=A3, duration=2, instrument=harpsichord
Note: beat=1, position=2, pitch=E3, duration=1, instrument=harpsichord
Note: beat=1, position=3, pitch=A3, duration=1, instrument=harpsichord
Note: beat=1, position=4, pitch=C4, duration=2, instrument=harpsichord
Note: beat=1, position=6, pitch=B3, duration=2, instrument=harpsichord
Note: beat=1, position=8, pitch=E3, duration=1, instrument=harpsichord
Note: beat=1, position=9, pitch=B3, duration=1, instrument=harpsichord
Note: beat=1, position=10, pitch=D4, duration=2, instrument=harpsichord
Note: beat=2, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=2, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=2, position=6, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=2, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=3, position=0, pitch=A3, duration=2, instrument=harpsichord
Note: beat=3, position=2, pitch=E3, duration=1, instrument=harpsichord
Note: beat=3, position=3, pitch=A3, duration=1, instrument=harpsichord
Note: beat=3, position=4, pitch=C4, duration=2, instrument=harpsichord
Note: beat=3, position=6, pitch=B3, duration=2, instrument=harpsichord
Note: beat=3, position=8, pitch=E3, duration=1, instrument=harpsichord
Note: beat=3, position=9, pitch=B3, duration=1, instrument=harpsichord
Note: beat=3, position=10, pitch=D4, duration=2, instrument=harpsichord
Note: beat=4, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=4, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=4, position=6, pitch=C4, duration=3, instrument=harpsichord
Note: beat=4, position=9, pitch=A3, duration=3, instrument=harpsichord
Note: beat=5, position=0, pitch=D4, duration=2, instrument=harpsichord
Note: beat=5, position=2, pitch=A3, duration=1, instrument=harpsichord
Note: beat=5, position=3, pitch=F3, duration=1, instrument=harpsichord
Note: beat=5, position=4, pitch=A3, duration=2, instrument=harpsichord
Note: beat=5, position=6, pitch=D3, duration=2, instrument=harpsichord
Note: beat=5, position=8, pitch=F3, duration=1, instrument=harpsichord
Note: beat=5, position=9, pitch=A2, duration=1, instrument=harpsichord
Note: beat=5, position=10, pitch=C3, duration=2, instrument=harpsichord
Note: beat=6, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=6, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=6, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=6, position=9, pitch=B3, duration=5, instrument=harpsichord
Note: beat=7, position=2, pitch=G3, duration=1, instrument=harpsichord
Note: beat=7, position=3, pitch=E3, duration=1, instrument=harpsichord
Note: beat=7, position=4, pitch=G3, duration=2, instrument=harpsichord
Note: beat=7, position=6, pitch=C3, duration=2, instrument=harpsichord
Note: beat=7, position=8, pitch=E3, duration=1, instrument=harpsichord
Note: beat=7, position=9, pitch=G2, duration=1, instrument=harpsichord
Note: beat=7, position=10, pitch=B2, duration=2, instrument=harpsichord
Note: beat=8, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=8, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=8, position=6, pitch=D3, duration=2, instrument=harpsichord
Note: beat=8, position=8, pitch=F3, duration=1, instrument=harpsichord
Note: beat=8, position=9, pitch=B2, duration=1, instrument=harpsichord
Note: beat=8, position=10, pitch=D3, duration=2, instrument=harpsichord
Note: beat=9, position=0, pitch=G2, duration=3, instrument=harpsichord
Note: beat=9, position=3, pitch=B2, duration=3, instrument=harpsichord
Note: beat=9, position=6, pitch=C3, duration=2, instrument=harpsichord
Note: beat=9, position=8, pitch=E3, duration=1, instrument=harpsichord
Note: beat=9, position=9, pitch=A2, duration=1, instrument=harpsichord
Note: beat=9, position=10, pitch=C3, duration=2, instrument=harpsichord
Note: beat=10, position=0, pitch=F2, duration=3, instrument=harpsichord
Note: beat=10, position=3, pitch=D2, duration=3, instrument=harpsichord
Note: beat=10, position=6, pitch=G2, duration=2, instrument=harpsichord
Note: beat=10, position=8, pitch=G3, duration=1, instrument=harpsichord
Note: beat=10, position=9, pitch=F3, duration=1, instrument=harpsichord
Note: beat=10, position=10, pitch=G3, duration=2, instrument=harpsichord
Note: beat=11, position=0, pitch=C3, duration=2, instrument=harpsichord
Note: beat=11, position=2, pitch=G3, duration=1, instrument=harpsichord
Note: beat=11, position=3, pitch=C4, duration=1, instrument=harpsichord
Note: beat=11, position=4, pitch=E4, duration=2, instrument=harpsichord
Note: beat=11, position=6, pitch=D4, duration=2, instrument=harpsichord
