Start of song
Instrument: recorder
Start of notes
Note: beat=0, position=0, pitch=D4, duration=12, instrument=recorder
Note: beat=1, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=1, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=2, position=0, pitch=F5, duration=8, instrument=recorder
Note: beat=1, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=1, position=6, pitch=E5, duration=3, instrument=recorder
Note: beat=4, position=9, pitch=E5, duration=3, instrument=recorder
Note: beat=6, position=0, pitch=D4, duration=3, instrument=recorder
Note: beat=7, position=0, pitch=C5, duration=1, instrument=recorder
Note: beat=3, position=0, pitch=A4, duration=2, instrument=recorder
Note: beat=4, position=6, pitch=D3, duration=3, instrument=recorder
Note: beat=10, position=6, pitch=E5, duration=3, instrument=recorder
Note: beat=7, position=9, pitch=D5, duration=6, instrument=recorder
Note: beat=3, position=9, pitch=G3, duration=2, instrument=recorder
Note: beat=7, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=3, position=0, pitch=B4, duration=3, instrument=recorder
Note: beat=2, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=5, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=6, position=0, pitch=G4, duration=2, instrument=recorder
Note: beat=18, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=5, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=8, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=10, position=6, pitch=F5, duration=4, instrument=recorder
Note: beat=10, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=5, position=6, pitch=E4, duration=6, instrument=recorder
Note: beat=7, position=0, pitch=D4, duration=3, instrument=recorder
Note: beat=17, position=0, pitch=F3, duration=3, instrument=recorder
Note: beat=12, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=13, position=0, pitch=E4, duration=3, instrument=recorder
Note: beat=27, position=9, pitch=A4, duration=3, instrument=recorder
Note: beat=7, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=10, position=0, pitch=G5, duration=3, instrument=recorder
Note: beat=12, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=13, position=6, pitch=F4, duration=2, instrument=recorder
Note: beat=16, position=0, pitch=G5, duration=6, instrument=recorder
Note: beat=10, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=11, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=12, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=29, position=0, pitch=F4, duration=6, instrument=recorder
Note: beat=10, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=11, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=15, position=0, pitch=A4, duration=1, instrument=recorder
Note: beat=14, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=13, position=0, pitch=A#4, duration=2, instrument=recorder
Note: beat=21, position=6, pitch=F4, duration=3, instrument=recorder
Note: beat=24, position=6, pitch=E4, duration=3, instrument=recorder
Note: beat=17, position=6, pitch=F4, duration=3, instrument=recorder
Note: beat=20, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=20, position=0, pitch=F4, duration=2, instrument=recorder
Note: beat=14, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=18, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=14, position=6, pitch=D4, duration=3, instrument=recorder
Note: beat=21, position=0, pitch=D4, duration=3, instrument=recorder
Note: beat=16, position=6, pitch=D4, duration=1, instrument=recorder
Note: beat=16, position=6, pitch=D5, duration=1, instrument=recorder
Note: beat=36, position=9, pitch=C5, duration=1, instrument=recorder
Note: beat=22, position=3, pitch=E4, duration=3, instrument=recorder
Note: beat=18, position=0, pitch=A4, duration=2, instrument=recorder
Note: beat=18, position=0, pitch=F3, duration=6, instrument=recorder
Note: beat=21, position=0, pitch=F4, duration=6, instrument=recorder
Note: beat=18, position=3, pitch=C4, duration=6, instrument=recorder
Note: beat=29, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=22, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=29, position=3, pitch=G4, duration=1, instrument=recorder
Note: beat=29, position=3, pitch=C4, duration=3, instrument=recorder
Note: beat=24, position=0, pitch=F5, duration=1, instrument=recorder
Note: beat=19, position=0, pitch=G3, duration=2, instrument=recorder
Note: beat=21, position=3, pitch=C4, duration=3, instrument=recorder
Note: beat=24, position=3, pitch=E4, duration=3, instrument=recorder
Note: beat=24, position=3, pitch=G4, duration=6, instrument=recorder
Note: beat=22, position=3, pitch=C5, duration=6, instrument=recorder
Note: beat=22, position=3, pitch=C5, duration=1, instrument=recorder
Note: beat=33, position=0, pitch=D4, duration=3, instrument=recorder
Note: beat=40, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=22, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=22, position=0, pitch=F5, duration=6, instrument=recorder
Note: beat=30, position=0, pitch=G4, duration=4, instrument=recorder
Note: beat=28, position=3, pitch=G4, duration=3, instrument=recorder
Note: beat=23, position=9, pitch=G3, duration=3, instrument=recorder
Note: beat=25, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=34, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=40, position=3, pitch=E4, duration=3, instrument=recorder
Note: beat=26, position=3, pitch=A#4, duration=3, instrument=recorder
Note: beat=27, position=9, pitch=D5, duration=1, instrument=recorder
Note: beat=29, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=22, position=3, pitch=D4, duration=3, instrument=recorder
Note: beat=23, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=39, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=32, position=3, pitch=F4, duration=1, instrument=recorder
Note: beat=44, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=29, position=3, pitch=A4, duration=1, instrument=recorder
Note: beat=31, position=9, pitch=G3, duration=3, instrument=recorder
Note: beat=39, position=3, pitch=G4, duration=3, instrument=recorder
Note: beat=34, position=0, pitch=C4, duration=3, instrument=recorder
Note: beat=34, position=0, pitch=C4, duration=3, instrument=recorder
Note: beat=36, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=37, position=3, pitch=C5, duration=6, instrument=recorder
Note: beat=38, position=0, pitch=F5, duration=2, instrument=recorder
Note: beat=28, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=24, position=3, pitch=A4, duration=2, instrument=recorder
Note: beat=48, position=0, pitch=A4, duration=2, instrument=recorder
Note: beat=34, position=0, pitch=F5, duration=6, instrument=recorder
Note: beat=35, position=3, pitch=E4, duration=3, instrument=recorder
Note: beat=28, position=0, pitch=G5, duration=3, instrument=recorder
