Start of song
Instrument: recorder
Start of notes
Note: beat=0, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=1, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=2, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=1, position=0, pitch=C5, duration=2, instrument=recorder
Note: beat=1, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=2, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=2, position=0, pitch=E3, duration=3, instrument=recorder
Note: beat=2, position=0, pitch=E4, duration=6, instrument=recorder
Note: beat=3, position=0, pitch=G3, duration=6, instrument=recorder
Note: beat=5, position=0, pitch=D5, duration=9, instrument=recorder
Note: beat=8, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=3, position=6, pitch=C5, duration=2, instrument=recorder
Note: beat=7, position=0, pitch=D3, duration=6, instrument=recorder
Note: beat=8, position=0, pitch=A3, duration=3, instrument=recorder
Note: beat=9, position=6, pitch=G3, duration=3, instrument=recorder
Note: beat=7, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=7, position=6, pitch=A4, duration=6, instrument=recorder
Note: beat=8, position=6, pitch=A4, duration=12, instrument=recorder
Note: beat=8, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=11, position=6, pitch=F4, duration=6, instrument=recorder
Note: beat=9, position=6, pitch=B4, duration=3, instrument=recorder
Note: beat=5, position=0, pitch=C4, duration=12, instrument=recorder
Note: beat=16, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=12, position=0, pitch=A3, duration=6, instrument=recorder
Note: beat=15, position=0, pitch=F3, duration=12, instrument=recorder
Note: beat=11, position=6, pitch=D3, duration=6, instrument=recorder
Note: beat=16, position=0, pitch=F4, duration=6, instrument=recorder
Note: beat=14, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=13, position=0, pitch=C4, duration=12, instrument=recorder
Note: beat=9, position=0, pitch=A3, duration=6, instrument=recorder
Note: beat=9, position=0, pitch=G3, duration=12, instrument=recorder
Note: beat=20, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=18, position=0, pitch=E4, duration=3, instrument=recorder
Note: beat=17, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=21, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=18, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=13, position=0, pitch=D4, duration=3, instrument=recorder
Note: beat=16, position=0, pitch=D5, duration=12, instrument=recorder
