Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=9, pitch=F4, duration=12, instrument=recorder
Note: beat=0, position=0, pitch=D3, duration=9, instrument=recorder
Note: beat=1, position=0, pitch=G3, duration=6, instrument=recorder
Note: beat=1, position=9, pitch=G3, duration=9, instrument=recorder
Note: beat=1, position=6, pitch=E4, duration=3, instrument=recorder
Note: beat=1, position=9, pitch=F4, duration=12, instrument=recorder
Note: beat=3, position=0, pitch=D3, duration=3, instrument=recorder
Note: beat=4, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=5, position=0, pitch=C5, duration=1, instrument=recorder
Note: beat=4, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=10, position=0, pitch=G4, duration=9, instrument=recorder
Note: beat=5, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=8, position=0, pitch=F5, duration=6, instrument=recorder
Note: beat=5, position=6, pitch=B4, duration=3, instrument=recorder
Note: beat=9, position=0, pitch=A4, duration=9, instrument=recorder
Note: beat=7, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=7, position=9, pitch=E5, duration=5, instrument=recorder
Note: beat=15, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=10, position=0, pitch=D3, duration=3, instrument=recorder
Note: beat=6, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=11, position=3, pitch=G3, duration=3, instrument=recorder
Note: beat=6, position=6, pitch=B4, duration=2, instrument=recorder
Note: beat=10, position=6, pitch=C5, duration=2, instrument=recorder
Note: beat=9, position=3, pitch=B4, duration=3, instrument=recorder
Note: beat=17, position=6, pitch=D5, duration=2, instrument=recorder
Note: beat=13, position=0, pitch=C5, duration=1, instrument=recorder
Note: beat=11, position=0, pitch=E4, duration=6, instrument=recorder
Note: beat=7, position=6, pitch=G3, duration=2, instrument=recorder
Note: beat=10, position=6, pitch=D4, duration=3, instrument=recorder
Note: beat=9, position=0, pitch=G4, duration=2, instrument=recorder
Note: beat=30, position=6, pitch=G4, duration=2, instrument=recorder
Note: beat=11, position=6, pitch=G4, duration=2, instrument=recorder
Note: beat=11, position=0, pitch=A4, duration=1, instrument=recorder
Note: beat=10, position=0, pitch=E5, duration=1, instrument=recorder
Note: beat=14, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=15, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=11, position=0, pitch=G4, duration=1, instrument=recorder
Note: beat=20, position=0, pitch=E4, duration=2, instrument=recorder
Note: beat=16, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=10, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=16, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=13, position=6, pitch=E5, duration=3, instrument=recorder
Note: beat=8, position=6, pitch=G3, duration=3, instrument=recorder
Note: beat=14, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=13, position=6, pitch=C3, duration=3, instrument=recorder
Note: beat=8, position=6, pitch=B4, duration=3, instrument=recorder
Note: beat=15, position=0, pitch=C5, duration=2, instrument=recorder
Note: beat=11, position=6, pitch=E4, duration=3, instrument=recorder
Note: beat=9, position=6, pitch=A4, duration=2, instrument=recorder
Note: beat=19, position=0, pitch=G3, duration=2, instrument=recorder
Note: beat=25, position=6, pitch=C5, duration=2, instrument=recorder
Note: beat=11, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=25, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=10, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=16, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=14, position=6, pitch=G4, duration=1, instrument=recorder
Note: beat=11, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=17, position=0, pitch=G3, duration=1, instrument=recorder
Note: beat=18, position=0, pitch=A4, duration=1, instrument=recorder
Note: beat=14, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=22, position=0, pitch=E4, duration=3, instrument=recorder
Note: beat=17, position=6, pitch=A4, duration=1, instrument=recorder
Note: beat=24, position=6, pitch=B4, duration=1, instrument=recorder
Note: beat=31, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=23, position=6, pitch=C4, duration=1, instrument=recorder
Note: beat=21, position=6, pitch=D5, duration=1, instrument=recorder
Note: beat=22, position=0, pitch=G4, duration=2, instrument=recorder
Note: beat=15, position=0, pitch=F4, duration=2, instrument=recorder
Note: beat=17, position=6, pitch=D5, duration=2, instrument=recorder
Note: beat=23, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=17, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=28, position=0, pitch=A4, duration=1, instrument=recorder
Note: beat=15, position=6, pitch=F4, duration=2, instrument=recorder
Note: beat=30, position=0, pitch=E4, duration=3, instrument=recorder
Note: beat=30, position=0, pitch=G4, duration=1, instrument=recorder
Note: beat=24, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=16, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=23, position=0, pitch=F4, duration=6, instrument=recorder
Note: beat=19, position=0, pitch=C5, duration=1, instrument=recorder
Note: beat=15, position=0, pitch=D3, duration=3, instrument=recorder
Note: beat=24, position=0, pitch=C5, duration=1, instrument=recorder
Note: beat=28, position=6, pitch=F5, duration=2, instrument=recorder
Note: beat=18, position=6, pitch=D3, duration=3, instrument=recorder
Note: beat=29, position=0, pitch=E4, duration=1, instrument=recorder
Note: beat=22, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=33, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=28, position=3, pitch=G3, duration=3, instrument=recorder
Note: beat=22, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=23, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=32, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=20, position=3, pitch=A4, duration=2, instrument=recorder
Note: beat=44, position=9, pitch=F4, duration=1, instrument=recorder
Note: beat=26, position=6, pitch=C5, duration=2, instrument=recorder
Note: beat=22, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=37, position=0, pitch=D3, duration=1, instrument=recorder
Note: beat=26, position=6, pitch=D3, duration=2, instrument=recorder
Note: beat=41, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=42, position=0, pitch=D5, duration=1, instrument=recorder
Note: beat=31, position=9, pitch=D4, duration=3, instrument=recorder
Note: beat=34, position=3, pitch=B4, duration=3, instrument=recorder
Note: beat=47, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=37, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=38, position=9, pitch=A4, duration=2, instrument=recorder
Note: beat=49, position=0, pitch=E4, duration=3, instrument=recorder
Note: beat=31, position=0, pitch=F5, duration=1, instrument=recorder
Note: beat=33, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=50, position=9, pitch=C5, duration=2, instrument=recorder
Note: beat=45, position=9, pitch=E5, duration=2, instrument=recorder
Note: beat=46, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=45, position=9, pitch=A3, duration=1, instrument=recorder
Note: beat=46, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=41, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=47, position=9, pitch=A4, duration=6, instrument=recorder
Note: beat=48, position=0, pitch=B4, duration=3, instrument=recorder
Note: beat=31, position=9, pitch=D4, duration=2, instrument=recorder
Note: beat=45, position=3, pitch=G4, duration=6, instrument=recorder
Note: beat=50, position=6, pitch=E3, duration=1, instrument=recorder
Note: beat=39, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=35, position=0, pitch=C4, duration=3, instrument=recorder
Note: beat=46, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=29, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=33, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=31, position=3, pitch=F4, duration=3, instrument=recorder
Note: beat=49, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=54, position=9, pitch=E4, duration=6, instrument=recorder
Note: beat=38, position=9, pitch=D3, duration=3, instrument=recorder
Note: beat=31, position=3, pitch=C4, duration=2, instrument=recorder
Note: beat=51, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=51, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=45, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=48, position=3, pitch=D3, duration=3, instrument=recorder
Note: beat=52, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=41, position=3, pitch=E5, duration=3, instrument=recorder
Note: beat=43, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=47, position=9, pitch=C4, duration=1, instrument=recorder
Note: beat=47, position=3, pitch=F4, duration=3, instrument=recorder
Note: beat=34, position=3, pitch=D5, duration=2, instrument=recorder
Note: beat=50, position=3, pitch=A4, duration=1, instrument=recorder
Note: beat=50, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=50, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=42, position=3, pitch=G4, duration=2, instrument=recorder
Note: beat=43, position=9, pitch=D3, duration=3, instrument=recorder
Note: beat=41, position=3, pitch=D4, duration=1, instrument=recorder
Note: beat=39, position=9, pitch=B4, duration=3, instrument=recorder
Note: beat=53, position=9, pitch=G3, duration=1, instrument=recorder
Note: beat=46, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=48, position=3, pitch=D3, duration=3, instrument=recorder
Note: beat=50, position=9, pitch=G3, duration=3, instrument=recorder
Note: beat=40, position=3, pitch=E4, duration=2, instrument=recorder
Note: beat=43, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=54, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=50, position=9, pitch=C5, duration=2, instrument=recorder
Note: beat=48, position=9, pitch=D5, duration=3, instrument=recorder
Note: beat=46, position=0, pitch=A4, duration=2, instrument=recorder
Note: beat=43, position=3, pitch=G4, duration=1, instrument=recorder
Note: beat=61, position=9, pitch=C4, duration=6, instrument=recorder
Note: beat=53, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=43, position=9, pitch=E4, duration=3, instrument=recorder
Note: beat=45, position=3, pitch=A4, duration=1, instrument=recorder
Note: beat=45, position=6, pitch=F5, duration=1, instrument=recorder
Note: beat=69, position=9, pitch=E5, duration=3, instrument=recorder
Note: beat=55, position=3, pitch=D4, duration=3, instrument=recorder
Note: beat=69, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=65, position=3, pitch=A4, duration=6, instrument=recorder
Note: beat=57, position=9, pitch=C5, duration=2, instrument=recorder
Note: beat=65, position=9, pitch=B4, duration=3, instrument=recorder
Note: beat=56, position=3, pitch=A3, duration=3, instrument=recorder
Note: beat=71, position=9, pitch=A4, duration=6, instrument=recorder
Note: beat=54, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=47, position=9, pitch=D3, duration=3, instrument=recorder
Note: beat=65, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=51, position=9, pitch=B4, duration=2, instrument=recorder
Note: beat=73, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=71, position=3, pitch=G4, duration=1, instrument=recorder
Note: beat=61, position=9, pitch=E5, duration=3, instrument=recorder
Note: beat=69, position=3, pitch=D4, duration=3, instrument=recorder
Note: beat=50, position=9, pitch=A4, duration=3, instrument=recorder
Note: beat=54, position=0, pitch=C5, duration=1, instrument=recorder
Note: beat=69, position=9, pitch=A4, duration=3, instrument=recorder
Note: beat=54, position=0, pitch=E3, duration=2, instrument=recorder
Note: beat=71, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=69, position=3, pitch=C4, duration=2, instrument=recorder
Note: beat=63, position=3, pitch=G4, duration=3, instrument=recorder
Note: beat=75, position=3, pitch=C5, duration=2, instrument=recorder
Note: beat=66, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=75, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=80, position=9, pitch=A4, duration=3, instrument=recorder
Note: beat=73, position=0, pitch=G4, duration=2, instrument=recorder
Note: beat=71, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=73, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=60, position=3, pitch=D4, duration=3, instrument=recorder
Note: beat=87, position=3, pitch=E5, duration=3, instrument=recorder
Note: beat=74, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=72, position=9, pitch=A4, duration=3, instrument=recorder
Note: beat=80, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=65, position=3, pitch=A5, duration=2, instrument=recorder
Note: beat=62, position=9, pitch=G5, duration=2, instrument=recorder
Note: beat=79, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=61, position=3, pitch=C4, duration=6, instrument=recorder
Note: beat=80, position=3, pitch=B4, duration=3, instrument=recorder
Note: beat=76, position=9, pitch=G5, duration=2, instrument=recorder
Note: beat=67, position=3, pitch=D5, duration=2, instrument=recorder
Note: beat=71, position=9, pitch=G5, duration=3, instrument=recorder
