Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=3, pitch=E4, duration=3, instrument=harpsichord
Note: beat=0, position=6, pitch=D4, duration=3, instrument=harpsichord
Note: beat=0, position=9, pitch=C4, duration=3, instrument=harpsichord
Note: beat=1, position=0, pitch=F4, duration=2, instrument=harpsichord
Note: beat=1, position=2, pitch=E4, duration=1, instrument=harpsichord
Note: beat=1, position=3, pitch=D4, duration=1, instrument=harpsichord
Note: beat=1, position=4, pitch=C4, duration=2, instrument=harpsichord
Note: beat=1, position=6, pitch=D4, duration=2, instrument=harpsichord
Note: beat=1, position=8, pitch=G3, duration=1, instrument=harpsichord
Note: beat=1, position=9, pitch=G4, duration=1, instrument=harpsichord
Note: beat=1, position=10, pitch=F4, duration=2, instrument=harpsichord
Note: beat=2, position=0, pitch=E4, duration=2, instrument=harpsichord
Note: beat=2, position=2, pitch=D4, duration=1, instrument=harpsichord
Note: beat=2, position=3, pitch=E4, duration=3, instrument=harpsichord
Note: beat=2, position=6, pitch=A4, duration=3, instrument=harpsichord
Note: beat=2, position=9, pitch=G4, duration=3, instrument=harpsichord
Note: beat=3, position=0, pitch=F4, duration=3, instrument=harpsichord
Note: beat=3, position=3, pitch=G4, duration=3, instrument=harpsichord
Note: beat=3, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=3, position=9, pitch=C4, duration=3, instrument=harpsichord
Note: beat=4, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=4, position=3, pitch=D4, duration=3, instrument=harpsichord
Note: beat=4, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=4, position=9, pitch=C4, duration=3, instrument=harpsichord
Note: beat=5, position=0, pitch=F4, duration=3, instrument=harpsichord
Note: beat=5, position=3, pitch=G4, duration=3, instrument=harpsichord
Note: beat=5, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=5, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=6, position=0, pitch=C3, duration=9, instrument=harpsichord
Note: beat=6, position=9, pitch=E3, duration=9, instrument=harpsichord
Note: beat=7, position=6, pitch=F#3, duration=9, instrument=harpsichord
Note: beat=8, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=8, position=6, pitch=G2, duration=3, instrument=harpsichord
Note: beat=8, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=9, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=9, position=3, pitch=A2, duration=5, instrument=harpsichord
Note: beat=9, position=8, pitch=G2, duration=1, instrument=harpsichord
Note: beat=9, position=8, pitch=A2, duration=1, instrument=harpsichord
Note: beat=9, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=10, position=0, pitch=G2, duration=3, instrument=harpsichord
Note: beat=10, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=10, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=11, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=11, position=3, pitch=A2, duration=3, instrument=harpsichord
Note: beat=11, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=11, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=12, position=0, pitch=C3, duration=3, instrument=harpsichord
Note: beat=12, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=12, position=6, pitch=D2, duration=3, instrument=harpsichord
Note: beat=12, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=13, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=13, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=13, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=13, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=14, position=0, pitch=F3, duration=3, instrument=harpsichord
Note: beat=14, position=3, pitch=F3, duration=6, instrument=harpsichord
Note: beat=14, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=15, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=15, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=15, position=6, pitch=G2, duration=3, instrument=harpsichord
Note: beat=15, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=16, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=16, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=16, position=6, pitch=F3, duration=3, instrument=harpsichord
Note: beat=16, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=17, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=17, position=3, pitch=G3, duration=9, instrument=harpsichord
Note: beat=18, position=0, pitch=A3, duration=9, instrument=harpsichord
Note: beat=18, position=9, pitch=B3, duration=9, instrument=harpsichord
Note: beat=19, position=6, pitch=C4, duration=3, instrument=harpsichord
Note: beat=19, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=20, position=0, pitch=C3, duration=3, instrument=harpsichord
Note: beat=20, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=20, position=6, pitch=D3, duration=4, instrument=harpsichord
Note: beat=20, position=10, pitch=C3, duration=1, instrument=harpsichord
Note: beat=20, position=11, pitch=D3, duration=1, instrument=harpsichord
Note: beat=21, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=21, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=21, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=21, position=9, pitch=F3, duration=6, instrument=harpsichord
