Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=0, pitch=C4, duration=12, instrument=harpsichord
Note: beat=1, position=0, pitch=C3, duration=3, instrument=harpsichord
Note: beat=1, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=1, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=1, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=2, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=2, position=6, pitch=C4, duration=6, instrument=harpsichord
Note: beat=3, position=0, pitch=B3, duration=6, instrument=harpsichord
Note: beat=3, position=6, pitch=A3, duration=6, instrument=harpsichord
Note: beat=4, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=4, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=5, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=5, position=6, pitch=A3, duration=6, instrument=harpsichord
Note: beat=6, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=6, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=7, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=7, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=7, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=7, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=8, position=0, pitch=E3, duration=12, instrument=harpsichord
Note: beat=9, position=0, pitch=F3, duration=6, instrument=harpsichord
Note: beat=9, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=10, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=10, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=11, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=11, position=6, pitch=A2, duration=6, instrument=harpsichord
Note: beat=12, position=0, pitch=B2, duration=6, instrument=harpsichord
Note: beat=12, position=6, pitch=G2, duration=6, instrument=harpsichord
Note: beat=13, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=13, position=6, pitch=G3, duration=6, instrument=harpsichord
Note: beat=14, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=14, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=15, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=15, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=16, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=16, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=17, position=0, pitch=F3, duration=6, instrument=harpsichord
Note: beat=17, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=18, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=18, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=19, position=0, pitch=B2, duration=12, instrument=harpsichord
Note: beat=20, position=0, pitch=B3, duration=6, instrument=harpsichord
Note: beat=20, position=6, pitch=G3, duration=6, instrument=harpsichord
Note: beat=21, position=0, pitch=C4, duration=6, instrument=harpsichord
Note: beat=21, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=22, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=22, position=6, pitch=G2, duration=6, instrument=harpsichord
Note: beat=23, position=0, pitch=C3, duration=12, instrument=harpsichord
Note: beat=25, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=25, position=3, pitch=B2, duration=3, instrument=harpsichord
Note: beat=25, position=6, pitch=C3, duration=3, instrument=harpsichord
Note: beat=25, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=26, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=26, position=6, pitch=A3, duration=6, instrument=harpsichord
Note: beat=27, position=0, pitch=G#3, duration=6, instrument=harpsichord
Note: beat=27, position=6, pitch=A3, duration=6, instrument=harpsichord
Note: beat=28, position=0, pitch=B3, duration=6, instrument=harpsichord
Note: beat=28, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=29, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=29, position=6, pitch=G3, duration=6, instrument=harpsichord
Note: beat=30, position=0, pitch=F3, duration=12, instrument=harpsichord
Note: beat=31, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=31, position=6, pitch=G#3, duration=6, instrument=harpsichord
Note: beat=32, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=33, position=0, pitch=F#3, duration=6, instrument=harpsichord
Note: beat=34, position=0, pitch=G#3, duration=6, instrument=harpsichord
Note: beat=35, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=36, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=37, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=38, position=0, pitch=F3, duration=6, instrument=harpsichord
Note: beat=39, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=39, position=6, pitch=F#3, duration=6, instrument=harpsichord
Note: beat=40, position=0, pitch=G#3, duration=6, instrument=harpsichord
Note: beat=40, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=41, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=41, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=42, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=42, position=6, pitch=E2, duration=6, instrument=harpsichord
Note: beat=43, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=43, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=43, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=43, position=9, pitch=A3, duration=3, instrument=harpsichord
Note: beat=44, position=0, pitch=F#3, duration=6, instrument=harpsichord
Note: beat=44, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=45, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=45, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=46, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=46, position=6, pitch=D2, duration=6, instrument=harpsichord
Note: beat=47, position=0, pitch=G2, duration=6, instrument=harpsichord
Note: beat=47, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=48, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=48, position=6, pitch=G2, duration=6, instrument=harpsichord
Note: beat=49, position=0, pitch=A2, duration=6, instrument=harpsichord
Note: beat=50, position=0, pitch=G2, duration=6, instrument=harpsichord
Note: beat=51, position=0, pitch=A2, duration=6, instrument=harpsichord
Note: beat=52, position=0, pitch=G2, duration=6, instrument=harpsichord
Note: beat=53, position=0, pitch=A2, duration=6, instrument=harpsichord
Note: beat=53, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=54, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=54, position=6, pitch=A2, duration=6, instrument=harpsichord
Note: beat=55, position=0, pitch=B2, duration=12, instrument=harpsichord
Note: beat=56, position=0, pitch=F#3, duration=6, instrument=harpsichord
Note: beat=56, position=6, pitch=D#3, duration=6, instrument=harpsichord
Note: beat=57, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=57, position=6, pitch=A3, duration=6, instrument=harpsichord
Note: beat=58, position=0, pitch=B3, duration=6, instrument=harpsichord
Note: beat=58, position=6, pitch=B2, duration=6, instrument=harpsichord
Note: beat=59, position=0, pitch=E3, duration=12, instrument=harpsichord
Note: beat=61, position=0, pitch=C3, duration=3, instrument=harpsichord
Note: beat=61, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=61, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=61, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=62, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=62, position=6, pitch=C4, duration=6, instrument=harpsichord
Note: beat=63, position=0, pitch=B3, duration=6, instrument=harpsichord
Note: beat=63, position=6, pitch=A3, duration=6, instrument=harpsichord
Note: beat=64, position=0, pitch=G3, duration=6, instrument=harpsichord
