Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=0, position=3, pitch=B3, duration=3, instrument=harpsichord
Note: beat=0, position=6, pitch=C4, duration=3, instrument=harpsichord
Note: beat=0, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=1, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=1, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=1, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=1, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=2, position=0, pitch=F3, duration=3, instrument=harpsichord
Note: beat=2, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=2, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=2, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=3, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=3, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=3, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=3, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=4, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=4, position=3, pitch=B3, duration=3, instrument=harpsichord
Note: beat=4, position=6, pitch=C4, duration=3, instrument=harpsichord
Note: beat=4, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=5, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=5, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=5, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=5, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=6, position=0, pitch=F3, duration=3, instrument=harpsichord
Note: beat=6, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=6, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=6, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=7, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=7, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=7, position=6, pitch=B3, duration=3, instrument=harpsichord
